Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,16/07/1985 00:00:00,12/03/2017 00:00:00,757.000
WQ_OXY_SAT,16/07/1985 00:00:00,12/03/2017 00:00:00,662.000
TEMP,16/07/1985 00:00:00,12/03/2017 00:00:00,957.000
WQ_CAR_PH,16/07/1985 00:00:00,12/03/2017 00:00:00,966.000
COND,16/07/1985 00:00:00,12/03/2017 00:00:00,953.000
WQ_DIAG_TOT_TSS,07/06/1988 00:00:00,12/03/2017 00:00:00,697.000
WQ_DIAG_TOT_TURBIDITY,16/07/1985 00:00:00,12/03/2017 00:00:00,748.000
WQ_PHS_FRP,16/07/1985 00:00:00,12/03/2017 00:00:00,1226.000
WQ_DIAG_TOT_TP,16/07/1985 00:00:00,12/03/2017 00:00:00,1263.000
WQ_NIT_NIT,16/07/1985 00:00:00,12/03/2017 00:00:00,1257.000
WQ_NIT_AMM,12/08/1985 00:00:00,12/03/2017 00:00:00,1263.000
WQ_DIAG_TOT_TKN,16/07/1985 00:00:00,27/06/1994 00:00:00,232.000
WQ_DIAG_TOT_TN,16/07/1985 00:00:00,12/03/2017 00:00:00,1265.000
WQ_DIAG_TOT_TOC,16/09/1985 00:00:00,15/06/1987 00:00:00,15.000
WQ_RSI_SIL,16/07/1985 00:00:00,12/03/2017 00:00:00,1167.000
ENT,16/01/1996 00:00:00,22/12/2003 00:00:00,441.000
FC,07/05/1996 00:00:00,12/03/2017 00:00:00,754.000
