X,Y,Name
298561.457,6274234.131,SC002_SthCk
281772.039,6243198.877,SC11
280166.092,6241363.764,SC13
280950.216,6239982.419,SC14
283148.489,6233647.784,SC17
284137.496,6232323.755,SC20
286439.484,6232065.779,SC21
299065.05,6300326.856,SC211
298490.404,6299314.97,SC212
304194.213,6299371.533,SC214
302113.388,6298697.393,SC215
301605.443,6299125.586,SC217
304905.069,6295895.743,SC221
302799.707,6292147.155,SC222
285777.052,6229855.204,SC23
294062.772,6283203.805,SC230
302661.328,6285094.075,SC231
297990.635,6298710.24,SC234
287768.043,6228353.205,SC26
290364.124,6283106.93,SC274
298010.081,6281924.791,SC276
299196.684,6281866.309,SC278
297054.28,6279873.905,SC279
291199.08,6226976.025,SC28
286620.163,6278577.927,SC288
284727.312,6276808.067,SC290
282878.509,6267575.21,SC306
283084.496,6269504.242,SC308
292924.405,6220591.191,SC33
285440.405,6263794.568,SC331
284783.264,6264983.85,SC332
279300.842,6251042.824,SC355
280349.945,6250549.969,SC356
282320.772,6260534.46,SC359
292378.904,6216561.046,SC36
313293.901,6304222.884,SC378
281816.153,6212881.957,SC395
281392.874,6250143.199,SC397
285938.626,6215035.125,SC41
283420.858,6209370.449,SC417
290227.589,6213548.886,SC419
290582.614,6212008.68,SC420
291382.677,6224556.456,SC421
336782.333,6291697.094,SC422
330904.933,6291179.007,SC423
344276.743,6285627.007,SC424
324079.116,6294102.217,SC428
329178.99,6295808.672,SC429
334952.299,6287534.148,SC430
328812.307,6298048.647,SC432
335193.98,6284691.639,SC438
281515.69,6211637.73,SC44
325249.233,6290604.143,SC441
338756.463,6283146.122,SC489
311320.236,6301886.529,SC490
283783.119,6272718.794,SC491
324649.924,6289382.093,SC493
283380.888,6261655.885,SC498
279681.495,6255941.618,SC499
276983.587,6251888.06,SC500
306561.587,6291141.946,SC514
304911.685,6288043.228,SC515
316915.592,6300355.462,SC517
319897.619,6297945.007,SC518
332373.016,6292111.767,SC519
335708.645,6296742.614,SC521
325790.639,6279632.051,SC522
327825.813,6287864.444,SC523
327254.892,6283945.952,SC524
336847.141,6282177.085,SC526
329742.612,6275996.443,SC527
334031.278,6281466.347,SC528
333046.795,6279012.625,SC531
334323.558,6280474.735,SC533
343499.707,6282351.027,SC534
