Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
07/01/2012,0.00335574674451323,0.1,25.2023307182122,30.0645331821939,245.253514673805,0,4.6292699734854,18.5170798939416,1.27588594958724,0,400,25,12.3447199292944,41.6634297613686,0.537215136668313,1.5444935179214,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2012,0,0.1,25.2611764286895,0,244.065906567085,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2012,0.000683810228024808,0.1,25.317872676858,39.8384452721329,242.889305741087,0,8.12249310152936,32.4899724061174,2.44520589409408,0,400,25,21.6599816040783,73.1024379137642,1.02956037646066,2.95998608232441,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2012,0.0129733932971756,0.1,25.3724026794253,29.2418127808175,241.724060494622,0,3.31997268894814,13.2798907557926,0.814540001412328,0,400,25,8.85326050386172,29.8797542005333,0.34296421112098,0.986022106972819,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/01/2012,0,0.1,25.4247502943533,0,240.570515765012,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/01/2012,0,0.1,25.4749000256372,0,239.429013025974,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/01/2012,0,0.1,25.5228370278924,0,238.299890186543,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/01/2012,4.63310290894833e-06,0.1,25.5685471107489,39.3087274302246,237.18348149104,0,8.0557219449863,32.2228877799452,2.42419810871289,0,400,25,21.4819251866301,72.5014975048767,1.02071499314227,2.93455560528403,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/01/2012,0.0247378891736185,0.1,25.6120167430522,28.2667123012658,236.08011742013,0,3.7966439619481,15.1865758477924,1.00717763383029,0,400,25,10.1243838985283,34.1697956575329,0.424074793191701,1.21921503042614,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/01/2012,0.218171968908531,0.1,25.6532330568687,37.4667165810048,234.990124592991,0,6.12146198843445,24.4858479537378,1.83611332662453,0,400,25,16.3238986358252,55.09315789591,0.773100348052433,2.22266350065075,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/01/2012,0.162890146049729,0.1,25.6921838512949,35.6591655242043,233.91382567063,0,4.01485876105357,16.0594350442143,1.03486536194498,0,400,25,10.7062900294762,36.1337288494821,0.435732783976835,1.2527317539334,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/01/2012,0.00612074847954526,0.1,25.7288575960691,19.4951920677843,232.851539260369,0,2.39521396275815,9.58085585103259,0.562962429726651,0,400,25,6.38723723402173,21.5569256648233,0.237036812516485,0.681480835984893,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/01/2012,0,0.1,25.7632434349846,0,231.803579821526,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/01/2012,0,0.1,25.7953311891033,0,230.770257572335,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/01/2012,0.00319201458937541,0.1,25.8251113597692,6.61898516539051,229.751878398107,0,0.896154527230494,3.58461810892198,0.131507186445859,0,400,25,2.38974540594798,8.06539074507445,0.0553714469245724,0.159192909908146,0.01375,0.011,0.01375,0.01375,0,0,0,0
22/01/2012,0,0.1,25.8525751314198,0,228.74874376069,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/01/2012,0.00598624359762108,0.1,25.8777143741959,18.9634251335182,227.761150609223,0,2.16584101584753,8.66336406339012,0.485271289865584,0,400,25,5.77557604226008,19.4925691426278,0.204324753627614,0.587433666679391,0.01375,0.011,0.01375,0.01375,0,0,0,0
24/01/2012,0.0143391873426119,0.1,25.9005216463481,20.6227355036247,226.789391292236,0,2.20739456890507,8.82957827562029,0.48683704498508,0,400,25,5.88638551708019,19.8665511201457,0.204984018941086,0.589329054455623,0.01375,0.011,0.01375,0.01375,0,0,0,0
25/01/2012,0.0221017657102688,0.1,25.9209901964399,23.9771818532994,225.833753471109,0,3.0029568600604,12.0118274402416,0.749515615256142,0,400,25,8.00788496016107,27.0266117405436,0.315585522213112,0.907308376362698,0.01375,0.011,0.01375,0.01375,0,0,0,0
26/01/2012,0.200015403978702,0.1,25.9391139653462,35.9733359623522,224.894520034914,0,5.8920214409261,23.5680857637044,1.76585515199392,0,400,25,15.7120571758029,53.0281929683349,0.743517958734281,2.13761413136106,0.01375,0.011,0.01375,0.01375,0,0,0,0
27/01/2012,0.356748161351397,0.1,25.9548875880467,35.6277460593243,223.971969016682,0,5.12060177981488,20.4824071192595,1.47384052014877,0,400,25,13.6549380795063,46.0854160183339,0.620564429536325,1.78412273491693,0.01375,0.011,0.01375,0.01375,0,0,0,0
28/01/2012,0.234284228883395,0.1,25.9683063952143,32.6650792170034,223.066373511089,0,4.33414567261085,17.3365826904434,1.19742139221348,0,400,25,11.5577217936289,39.0073110534976,0.504177428300413,1.44951010636369,0.01375,0.011,0.01375,0.01375,0,0,0,0
29/01/2012,0.0986539186290226,0.1,25.9793664145975,26.9893308482688,222.178001593623,0,3.67799422582227,14.7119769032891,0.997401087150319,0,400,25,9.80798460219273,33.1019480324005,0.419958352484345,1.20738026339249,0.01375,0.011,0.01375,0.01375,0,0,0,0
30/01/2012,0.0294711772374548,0.1,25.9880643721958,9.11017913579059,221.307116241223,0,1.11387548901885,4.45550195607539,0.189422173525634,0,400,25,2.97033463738359,10.0248794011696,0.0797567046423722,0.22930052584682,0.01375,0.011,0.01375,0.01375,0,0,0,0
31/01/2012,0.027907162292492,0.1,25.9943976932292,8.20616631824788,220.453975254433,0,1.01379907348677,4.05519629394708,0.160683685753284,0,400,25,2.70346419596472,9.12419166138094,0.067656288738225,0.194511830122397,0.01375,0.011,0.01375,0.01375,0,0,0,0
01/02/2012,0.0388990651742101,0.1,25.9983645029001,12.3475287187671,219.618831181091,0,1.67924367592545,6.71697470370179,0.367162622797118,0,400,25,4.47798313580119,15.113193083329,0.154594788546155,0.444460017070196,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/02/2012,0.147465012669175,0.1,25.9999636269489,30.4718218217626,218.801931241564,0,4.71251580747375,18.850063229895,1.36210436705336,0,400,25,12.56670881993,42.4126422672637,0.573517628232992,1.64886318116985,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/02/2012,0.50989185484903,0.1,25.9991945920008,35.1151183215557,218.00351725557,0,5.47845960762379,21.9138384304952,1.62039541466844,0,400,25,14.6092256203301,49.3061364686141,0.682271753544608,1.96153129144075,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/02/2012,0.517293139170092,0.1,25.9960576257065,34.16244053959,217.22382557059,0,4.57627091263951,18.3050836505581,1.27932088554293,0,400,25,12.203389100372,41.1864382137556,0.53866142549176,1.54865159828881,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/02/2012,0.197556004013574,0.1,25.9905536566747,26.3611937536657,216.463086991908,0,3.37289738268663,13.4915895307465,0.888813593744775,0,400,25,8.99439302049769,30.3560764441797,0.374237302629379,1.07593224505946,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/02/2012,0.0644334060230325,0.1,25.9826843141968,8.7604844463867,215.721526714289,0,1.53319514909054,6.13278059636217,0.351206024819084,0,400,25,4.08852039757478,13.7987563418149,0.147876220976456,0.425144135307312,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/02/2012,0.0683098317798985,0.1,25.9724519277653,8.53592582678825,214.999364255309,0,1.34143776498525,5.36575105994098,0.275781868614995,0,400,25,3.57716737329399,12.0729398848672,0.116118681522103,0.333841209376047,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/02/2012,0.0673600225824668,0.1,25.9598595263838,12.0500084229025,214.296813390382,0,1.59201241343244,6.36804965372976,0.33632408453401,0,400,25,4.24536643581984,14.328111720892,0.141610140856425,0.407129154962223,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/02/2012,0.0501901265711171,0.1,25.9449108376702,12.804193607256,213.614082089472,0,1.40654895596506,5.62619582386024,0.263787898340764,0,400,25,3.75079721590683,12.6589406036855,0.111068588775058,0.319322192728293,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/02/2012,0.368869471251009,0.1,25.9276102867536,33.9998524988903,212.951372455532,0,5.61163890866276,22.446555634651,1.68209199982388,0,400,25,14.9643704231007,50.5047501779649,0.70824926308374,2.03621663136575,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/02/2012,0.339894437577895,0.1,25.9079629949642,32.2781401353403,212.308880664676,0,3.57879482648714,14.3151793059486,0.90827750024634,0,400,25,9.54345287063238,32.2091534383843,0.38243263168267,1.09949381608768,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/02/2012,0.0870935213644616,0.1,25.8859747783173,17.8343962693425,211.686796908109,0,2.79638133572046,11.1855253428818,0.744547067147671,0,400,25,7.45701689525455,25.1674320214841,0.313493501956914,0.901293818126129,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/02/2012,0.190151361277913,0.1,25.8616521457917,28.7962600224046,211.085305335824,0,4.54928239330431,18.1971295732173,1.31949607624546,0,400,25,12.1314197154782,40.9435415397388,0.555577295261247,1.59728472387608,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/02/2012,0.161860238405258,0.1,25.8350022974027,26.5596306945585,210.50458400209,0,3.03746311501548,12.1498524600619,0.7532952695697,0,400,25,8.09990164004129,27.3371680351394,0.317176955608295,0.911883747373848,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/02/2012,0.0694937190089148,0.1,25.8060331220709,16.494308690488,209.944804812745,0,2.04610431054732,8.18441724218929,0.469665633007188,0,400,25,5.45627816145953,18.4149387949259,0.197753950739869,0.568542608377123,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/02/2012,0.0331106706762011,0.1,25.774753195287,6.50521771383128,209.406133474307,0,0.888984309695248,3.55593723878099,0.129866517315214,0,400,25,2.370624825854,8.00085878725724,0.0546806388695637,0.157206836749996,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/02/2012,0.0355275588675029,0.1,25.7411717765731,6.3239821720823,208.888729444924,0,0.877561901601826,3.5102476064073,0.127252873828891,0,400,25,2.3401650709382,7.89805711441643,0.0535801574016383,0.15404295252971,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/02/2012,0.0443081422260617,0.1,25.7052988067417,14.8405886248868,208.392745887169,0,1.96485146091728,7.85940584366911,0.450995390641731,0,400,25,5.23960389577941,17.6836631482555,0.189892796059676,0.545941788671569,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/02/2012,0.0436760796402012,0.1,25.6671449049533,18.7772526877995,207.918329622699,0,1.94910162418975,7.79640649675899,0.409196683337311,0,400,25,5.19760433117266,17.5419146177077,0.172293340352552,0.495343353513586,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/02/2012,0.258399192608968,0.1,25.6267213655722,33.5723478052863,207.465621088795,0,5.53704927907845,22.1481971163138,1.65550984674263,0,400,25,14.7654647442092,49.8334435117061,0.697056777575845,2.00403823553055,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/02/2012,0.652801654296949,0.1,25.5840401548241,35.7376097053133,207.034754296791,0,5.21519420287189,20.8607768114876,1.51187680202359,0,400,25,13.9071845409917,46.936747825847,0.636579706115197,1.83016665508119,0.01375,0.011,0.01375,0.01375,0,0,0,0
22/02/2012,0.430894224307488,0.1,25.5391139072529,32.7656323671111,206.625856792401,0,3.76622681153163,15.0649072461265,0.978191552993297,0,400,25,10.0432714974177,33.8960413037846,0.411870127576125,1.18412661678136,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/02/2012,0.0815215158446677,0.1,25.4919559219814,13.4834737899093,206.239049617962,0,2.5753422390323,10.3013689561292,0.706632603651623,0,400,25,6.86757930408614,23.1780801512907,0.297529517326999,0.855397362315123,0.01375,0.011,0.01375,0.01375,0,0,0,0
24/02/2012,0.0498514292036148,0.1,25.4425801587739,6.6795354859294,205.874447276606,0,1.03398861052805,4.13595444211219,0.181892139857358,0,400,25,2.75730296140813,9.30589749475243,0.0765861641504664,0.220185221932591,0.01375,0.011,0.01375,0.01375,0,0,0,0
25/02/2012,0.0423567386059235,0.1,25.391001233904,6,205.532157698364,0,0.857142857142857,3.42857142857143,0.12258064516129,0,400,25,2.28571428571429,7.71428571428572,0.0516129032258065,0.148387096774194,0.01375,0.011,0.01375,0.01375,0,0,0,0
26/02/2012,0.0476862591642427,0.1,25.3372344158281,6,205.212282208215,0,0.859581773846911,3.43832709538765,0.123377882449497,0,400,25,2.29221806359176,7.7362359646222,0.0519485820839989,0.149352173491497,0.01375,0.011,0.01375,0.01375,0,0,0,0
27/02/2012,0.0380914178764129,0.1,25.2812956206654,6.36804156818045,204.91491549609,0,0.881434186675252,3.52573674670101,0.128257476633668,0,400,25,2.35049116446734,7.93290768007727,0.0540031480562812,0.155259050661809,0.01375,0.011,0.01375,0.01375,0,0,0,0
28/02/2012,0.0332327058941689,0.1,25.2232014074861,6.789030307288,204.640145588848,0,0.915136988084477,3.66054795233791,0.136809056420722,0,400,25,2.44036530155861,8.23623289276029,0.0576038132297776,0.16561096303561,0.01375,0.011,0.01375,0.01375,0,0,0,0
29/02/2012,0.0534302228943863,0.1,25.1629689734102,14.8996662865391,204.388053824211,0,2.09650886126352,8.38603544505407,0.496691508685636,0,400,25,5.59069029670271,18.8685797513717,0.209133266815004,0.601258142093138,0.01375,0.011,0.01375,0.01375,0,0,0,0
01/03/2012,0.554476739502541,0.1,25.1006161485163,35.7645718723961,204.158714826692,0,5.72810525289679,22.9124210115872,1.70986182314433,0,400,25,15.2749473410581,51.5529472760711,0.719941820271296,2.06983273327998,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/03/2012,0.761183229324467,0.1,25.0361613905638,35.6864639399793,203.952196485501,0,4.61189286010451,18.447571440418,1.27782089401551,0,400,25,12.2983809602787,41.5070357409406,0.538029850111794,1.54683581907141,0.01375,0.011,0.01375,0.01375,0,0,0,0
