Date,Q_m3s,TN_mgperL,TP_mgperL,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonia mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_orgs/100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2012 00:00:00,0.166358,345.276656,0.298754,0.494910,22.103853,1.034730,211.629488,0.000000,10.169959,260.599653,0.198057,0.019806,4049.397221,117.269446,70.702889,3.804156,0.004042,0.096656,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.624573,1.000000
02/01/2012 00:00:00,0.193110,426.475220,1.290323,0.493126,22.157369,1.000000,210.862634,0.000000,64.285714,295.271859,0.855408,0.085541,4053.333333,113.333333,63.241176,3.676471,0.017457,0.417457,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.339563,1.000000
03/01/2012 00:00:00,0.223574,239.063510,0.258065,0.518829,22.209358,1.386085,210.111992,0.000000,5.714286,159.414982,0.171082,0.017108,4009.577047,157.089620,68.838342,5.095900,0.003491,0.083491,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,1.000000
04/01/2012 00:00:00,0.182214,323.157319,0.258065,0.526864,22.259806,2.323210,209.377783,0.000000,64.285714,195.195600,0.171082,0.017108,3903.369550,263.297117,55.134792,8.541213,0.003491,0.083491,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.076126,1.000000
05/01/2012 00:00:00,0.198715,446.498754,0.267053,0.434876,22.308696,2.264160,208.660224,0.000000,5.714286,372.543777,0.177040,0.017704,3910.061825,256.604842,59.916572,8.324119,0.003613,0.086399,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,1.000000
06/01/2012 00:00:00,0.142715,256.144095,0.387097,0.574000,22.356015,1.000000,207.959527,0.000000,15.158269,189.862567,0.256622,0.025662,4053.333333,113.333333,47.446788,3.676471,0.005237,0.125237,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.720169,1.000000
07/01/2012 00:00:00,0.240596,314.088556,0.819742,0.456309,22.401748,2.872873,207.275901,0.000000,5.714286,247.666760,0.543441,0.054344,3841.074409,325.592257,50.145478,10.562033,0.011091,0.265211,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,1.000000
08/01/2012 00:00:00,0.252883,248.717394,1.290323,0.465366,22.445882,1.272802,206.609548,0.000000,5.714286,177.663230,0.855408,0.085541,4022.415742,144.250924,60.660458,4.679420,0.017457,0.417457,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.447433,1.000000
09/01/2012 00:00:00,0.561476,342.251057,0.418344,0.483270,22.488405,2.075986,205.960664,0.000000,5.714286,273.135234,0.277337,0.027734,3931.388204,235.278463,55.769234,7.632303,0.005660,0.135346,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,1.000000
10/01/2012 00:00:00,0.246972,354.145170,0.466512,0.434984,22.529302,1.000000,205.329443,0.000000,31.057296,266.293729,0.309270,0.030927,4053.333333,113.333333,53.117674,3.676471,0.006312,0.150930,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.052925,1.000000
