FVC file = HN_Cal_2013_2016_3D_wq_Background.fvc, Simulation Execution: 11/07/2022 21:42:55
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.28508482486167E+06, 0.62083221111473E+07,  0.1329999E+03,          37,  0.9056564E+04,           1
, 0.28500674539535E+06, 0.62084687251990E+07,  0.1320000E+03,          37,  0.1020418E+05,           2
, 0.28493064510589E+06, 0.62086105589795E+07,  0.1310000E+03,          37,  0.7445031E+04,           3
, 0.28485175557459E+06, 0.62087736761969E+07,  0.1290000E+03,          37,  0.5355533E+04,           4
, 0.28478099967636E+06, 0.62089296694827E+07,  0.1270000E+03,          37,  0.6191189E+04,           5
, 0.28470127521059E+06, 0.62090794064866E+07,  0.1250000E+03,          37,  0.7082070E+04,           6
, 0.28462946656861E+06, 0.62091899433847E+07,  0.1242169E+03,          37,  0.4588101E+04,           7
, 0.28457206652127E+06, 0.62092587766509E+07,  0.1236630E+03,          37,  0.4911540E+04,           8
, 0.28449869467959E+06, 0.62093130131190E+07,  0.1234250E+03,          37,  0.4687470E+04,           9
, 0.28441269899417E+06, 0.62093462780810E+07,  0.1228450E+03,          37,  0.4775428E+04,          10
, 0.28432687754397E+06, 0.62093597714356E+07,  0.1227710E+03,          37,  0.4741226E+04,          11
, 0.28423861458532E+06, 0.62093474525100E+07,  0.1210600E+03,          37,  0.4174869E+04,          12
, 0.28415101039293E+06, 0.62093173117714E+07,  0.1208010E+03,          37,  0.5174551E+04,          13
, 0.28407304592004E+06, 0.62092888904243E+07,  0.1211570E+03,          37,  0.5409423E+04,          14
, 0.28397676461903E+06, 0.62092759038856E+07,  0.1216800E+03,          37,  0.3794907E+04,          15
, 0.28388163157006E+06, 0.62092870804048E+07,  0.1208410E+03,          37,  0.3696484E+04,          16
, 0.28378518399435E+06, 0.62093006068616E+07,  0.1219710E+03,          37,  0.4170936E+04,          17
, 0.28369146690752E+06, 0.62093166245454E+07,  0.1224950E+03,          37,  0.4850981E+04,          18
, 0.28361182386430E+06, 0.62093290765239E+07,  0.1204690E+03,          37,  0.3285970E+04,          19
, 0.28353472668412E+06, 0.62093382070807E+07,  0.1210350E+03,          37,  0.2650250E+04,          20
, 0.28346242928085E+06, 0.62093517401849E+07,  0.1217490E+03,          37,  0.2622339E+04,          21
, 0.28341320405098E+06, 0.62093700154332E+07,  0.1213590E+03,          37,  0.1636816E+04,          22
, 0.28338115344076E+06, 0.62094051352382E+07,  0.1208790E+03,          37,  0.1965744E+04,          23
, 0.28335285491653E+06, 0.62094498381453E+07,  0.1202772E+03,          37,  0.2074688E+04,          24
, 0.28333446108539E+06, 0.62095270902294E+07,  0.1211960E+03,          37,  0.5195081E+04,          25
, 0.28333270075351E+06, 0.62096375390169E+07,  0.1222050E+03,          37,  0.5192570E+04,          26
, 0.28335279742913E+06, 0.62097480776090E+07,  0.1215800E+03,          37,  0.5854716E+04,          27
, 0.28337959011996E+06, 0.62098546442735E+07,  0.1205000E+03,          37,  0.6965808E+04,          28
, 0.28339340684123E+06, 0.62099322396684E+07,  0.1195050E+03,          37,  0.3209341E+04,          29
, 0.28338861119620E+06, 0.62099821803749E+07,  0.1193900E+03,          37,  0.2625420E+04,          30
, 0.28337388429213E+06, 0.62100318321212E+07,  0.1196190E+03,          37,  0.2224257E+04,          31
, 0.28334748004194E+06, 0.62100721342172E+07,  0.1195730E+03,          37,  0.2026826E+04,          32
, 0.28331159183563E+06, 0.62100939321808E+07,  0.1200180E+03,          37,  0.1953455E+04,          33
, 0.28326801677222E+06, 0.62100986099700E+07,  0.1205737E+03,          37,  0.1747624E+04,          34
, 0.28317593461761E+06, 0.62100821958458E+07,  0.1203860E+03,          37,  0.5177922E+04,          35
, 0.28302876275742E+06, 0.62100497917267E+07,  0.1200910E+03,          37,  0.4363034E+04,          36
, 0.28288121649723E+06, 0.62100072926743E+07,  0.1174260E+03,          37,  0.5079985E+04,          37
, 0.28274625822661E+06, 0.62099648766195E+07,  0.1153240E+03,          37,  0.5334659E+04,          38
, 0.28263637100972E+06, 0.62099287047888E+07,  0.1154450E+03,          37,  0.2185525E+04,          39
, 0.28255966700462E+06, 0.62098876100132E+07,  0.1150140E+03,          37,  0.2077638E+04,          40
, 0.28250625790208E+06, 0.62098467406969E+07,  0.1147680E+03,          37,  0.1467751E+04,          41
, 0.28246794780064E+06, 0.62098055307098E+07,  0.1145050E+03,          37,  0.2185064E+04,          42
, 0.28244468027655E+06, 0.62097616717066E+07,  0.1142780E+03,          37,  0.3275105E+04,          43
, 0.28243300216454E+06, 0.62097109450780E+07,  0.1141150E+03,          37,  0.3536783E+04,          44
, 0.28243343541309E+06, 0.62096293748204E+07,  0.1135380E+03,          37,  0.7395032E+04,          45
, 0.28244321892336E+06, 0.62095198544498E+07,  0.1131010E+03,          37,  0.6204642E+04,          46
, 0.28246127605874E+06, 0.62094072044018E+07,  0.1126770E+03,          37,  0.5127375E+04,          47
, 0.28248423614774E+06, 0.62092965503458E+07,  0.1155620E+03,          37,  0.5113555E+04,          48
, 0.28251526650064E+06, 0.62091917993905E+07,  0.1163100E+03,          37,  0.4971048E+04,          49
, 0.28254103152563E+06, 0.62091007510676E+07,  0.1150710E+03,          37,  0.3384059E+04,          50
, 0.28254256909351E+06, 0.62090215746820E+07,  0.1140490E+03,          37,  0.3635091E+04,          51
, 0.28251433673639E+06, 0.62089493757782E+07,  0.1139400E+03,          37,  0.4182817E+04,          52
, 0.28244658523480E+06, 0.62088951484111E+07,  0.1141950E+03,          37,  0.5623758E+04,          53
, 0.28235263602773E+06, 0.62088693771046E+07,  0.1140250E+03,          37,  0.6852831E+04,          54
, 0.28225523337582E+06, 0.62088682367598E+07,  0.1134360E+03,          37,  0.8162723E+04,          55
, 0.28207579806407E+06, 0.62089345329010E+07,  0.1104440E+03,          37,  0.2332144E+05,          56
, 0.28180582953580E+06, 0.62091017062304E+07,  0.1060000E+03,          37,  0.1943415E+05,          57
, 0.28157178721729E+06, 0.62093091425137E+07,  0.1053490E+03,          37,  0.1913530E+05,          58
, 0.28135772767340E+06, 0.62095166153050E+07,  0.1052950E+03,          37,  0.1446142E+05,          59
, 0.28110604562472E+06, 0.62097550261172E+07,  0.9967720E+02,          37,  0.1567954E+05,          60
, 0.28098096833955E+06, 0.62099481781746E+07,  0.9886800E+02,          37,  0.1652589E+05,          61
, 0.28099867987726E+06, 0.62101267373932E+07,  0.9863400E+02,          37,  0.1913112E+05,          62
, 0.28103086636715E+06, 0.62102910950740E+07,  0.1022130E+03,          37,  0.1058784E+05,          63
, 0.28098624298464E+06, 0.62104306031754E+07,  0.1000100E+03,          37,  0.6842873E+04,          64
, 0.28088931816721E+06, 0.62106105225234E+07,  0.1004770E+03,          37,  0.1354678E+05,          65
