Site,COND,ECLOI,ENT,FC,SAL,SED_GS_u22_9,SED_GS_u69_1,SED_ISO_C,SED_ISO_N,SED_MET_Fe,SED_MET_P,TEMP,WQ_CAR_PH,WQ_DIAG_ISO_del13CDOC_ppt,WQ_DIAG_ISO_del15NNOx,WQ_DIAG_ISO_del15NNOx_ppt,WQ_DIAG_ISO_del18ONOx,WQ_DIAG_OXY_SAT,WQ_DIAG_PHY_TCHLA,WQ_DIAG_PHY_TCHLA_EXO,WQ_DIAG_TOT_TDN,WQ_DIAG_TOT_TDP,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TON,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TSS_MINERAL,WQ_DIAG_TOT_TSS_ORGANIC,WQ_DIAG_TOT_TURBIDITY,WQ_DIAG_TOT_TURBIDITY_EXO,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_AMM_GREY,WQ_NIT_NIT,WQ_NIT_NITRITE,WQ_NIT_NITRITE_GREY,WQ_NIT_NIT_GREY,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_PON,WQ_OGM_fDOM,WQ_OXY_OXY,WQ_OXY_SAT,WQ_PHS_FRP,WQ_PHY_BGA_PE,WQ_SIL_RSI,spCOND,
EES_Sackville_Buoy, ,x, , ,x, , , , , , ,x, , , , , , ,x, , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , ,
Hornsby_061_Calabash, , , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , ,x, , , , , , ,x, , , ,
Hornsby_151_Bar_Island, , , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , , , ,x, , , ,
Hornsby_HAWK1_Gunyah_Point, , , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , , , ,x, , , ,
Hornsby_HAWK2_Courangra, , , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x,x,x,x, , , , , , ,x, ,x, , , ,x, , , , , , ,x, , , ,
Hornsby_HAWK3_Laughtondale, , , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x,x,x,x, , , , , , ,x, ,x, , , ,x, , , , , , ,x, , , ,
GR4301, , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , ,
N14, ,x,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x,x, ,x, , , , , , , , ,x, ,x, ,x, ,
N18,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , ,x,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N2202, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x, , , , , , ,x, ,x, , , ,x, , , , ,x, ,x, , , ,
