Site,Agency,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
EES_Sackville_Buoy,DPIE-bouy,302967.5561,6292552.3255,5,01-01-2018,31-12-2018,86700
Hornsby_061_Calabash,Hornsby,325545.5200,6282069.2500,9,01-01-2012,31-12-2018,737622
Hornsby_151_Bar_Island,Hornsby,327622.1500,6288513.6300,8,01-01-2012,31-12-2018,740253
Hornsby_HAWK1_Gunyah_Point,Hornsby,336713.5900,6284301.2000,8,01-01-2013,31-12-2018,634559
Hornsby_HAWK2_Courangra,Hornsby,326550.0600,6294767.3600,11,01-01-2012,31-12-2018,736536
Hornsby_HAWK3_Laughtondale,Hornsby,315623.0500,6302330.5100,11,01-01-2012,31-12-2018,740726
GR4301,SWC,286348.3300,6278808.1000,2,23-01-2012,11-02-2016,74
N14,SWC,312560.4100,6304893.0800,14,05-01-2005,23-06-2008,3024
N18,SWC,309321.2400,6299373.4678,22,30-11-1983,21-12-2018,14868
N2202,SWC,297988.5723,6298727.1281,10,10-07-2008,28-12-2018,3760
N26,SWC,302695.2500,6291184.0800,22,12-03-1980,21-12-2018,18660
N3001,SWC,304015.3600,6284809.7100,8,13-07-2009,21-12-2018,2608
N35,SWC,299331.9000,6283093.0400,22,12-03-1980,21-12-2018,18707
N38,SWC,297960.9576,6279730.3874,19,25-01-1980,28-11-2016,8838
N39,SWC,291367.1812,6283600.5563,21,19-06-1984,24-12-2018,11663
N42,SWC,287764.0761,6280763.9425,21,25-01-1980,24-12-2018,40562
N44,SWC,286564.3000,6278321.5400,16,27-09-2006,24-12-2018,7248
N48A,SWC,283711.2175,6272457.8251,8,15-10-2013,24-12-2018,400
N48,SWC,283378.4200,6272130.0700,21,17-03-1983,14-12-2017,19118
N51,SWC,282860.6300,6266898.3300,10,09-07-2008,24-12-2018,4330
N53,SWC,284883.4600,6264959.4900,15,21-01-2005,24-12-2018,4560
N57,SWC,285378.2000,6263689.6700,21,25-01-1980,24-12-2018,24797
N642,SWC,278395.9900,6248822.6900,13,14-05-2008,28-12-2018,1742
N67,SWC,281422.3199,6250237.9500,22,10-03-1980,28-12-2018,20377
N75,SWC,285593.3400,6230835.1400,21,09-05-1984,28-12-2018,19924
N7823,SWC,286036.1900,6228585.0000,10,03-05-2018,16-11-2018,50
N86,SWC,285120.4116,6208260.5634,10,20-12-2005,09-12-2014,880
N91,SWC,281838.0500,6212888.3500,21,16-07-1985,21-12-2018,19914
N92,SWC,281634.6300,6212691.1600,14,21-01-2005,21-12-2018,9380
NB11,SWC,328578.4700,6288639.3900,8,16-07-2009,21-12-2018,2656
NB13,SWC,326022.6500,6282317.1500,8,16-07-2009,21-12-2018,2640
NB42,SWC,324304.6200,6273251.2600,10,08-03-2018,31-12-2018,150
NB43,SWC,324069.6600,6272667.4800,10,08-03-2018,31-12-2018,150
NB825,SWC,322179.6600,6269513.6800,10,08-03-2018,31-12-2018,150
NB83,SWC,322078.9600,6269191.0500,10,08-03-2018,31-12-2018,150
NC11,SWC,305799.6800,6284944.6600,10,15-08-2007,28-12-2018,4180
NC2,SWC,309001.6600,6282385.5300,10,10-01-2005,12-08-2010,1410
NC3,SWC,307957.9600,6280347.0000,7,15-08-2007,12-08-2010,273
NC517,SWC,307503.0200,6273091.2900,10,15-08-2007,31-12-2018,2640
NCB280,SWC,307101.5000,6272698.4200,7,15-08-2007,12-08-2010,609
NS04,SWC,298218.4000,6279257.8600,10,10-07-2008,14-06-2019,2112
NS081,SWC,300312.8438,6272655.9898,15,10-01-2005,28-12-2018,2224
NS082,SWC,300761.0000,6272410.0000,17,10-01-2005,28-12-2018,4572
NS087,SWC,302747.3177,6265132.4087,13,10-01-2005,31-12-2018,3276
NS090,SWC,303889.1400,6264348.1300,13,10-01-2005,31-12-2018,3198
NS23,SWC,292956.4100,6266855.5900,12,14-09-2018,14-11-2018,52
NS26,SWC,292505.0000,6264390.0000,15,10-01-2005,14-11-2018,3904
NS45,SWC,293503.6800,6249282.4500,11,20-11-2006,21-04-2012,286
N411,SWC,288295.3264,6282368.0678,10,01-08-2018,24-12-2018,80
N412,SWC,287460.5786,6282316.3544,10,01-08-2018,24-12-2018,80
N464,SWC,283533.5800,6273237.8500,10,09-03-2018,24-12-2018,150
N46A,SWC,283716.3275,6273721.9319,10,09-03-2018,10-06-2019,230
N541,SWC,286015.8000,6263842.8200,10,09-07-2018,24-12-2018,90
N542,SWC,287764.6700,6264017.8700,10,09-07-2018,24-12-2018,90
N7824,SWC,286197.0997,6229113.8078,10,08-03-2018,28-12-2018,150
N78,SWC,287212.9238,6230847.9925,10,08-03-2018,28-12-2018,150
N911A,SWC,280985.9155,6213880.5056,2,08-03-2018,21-12-2018,28
N911,SWC,281634.0000,6213008.0000,2,08-03-2018,21-12-2018,28
NC53,SWC,306475.0200,6271500.6700,10,08-03-2018,31-12-2018,150
NC5,SWC,308096.9100,6273756.6900,10,08-03-2018,04-10-2018,100
NC75,SWC,313130.7800,6268038.5700,10,08-03-2018,31-12-2018,150
NC8,SWC,313049.5500,6267689.6300,10,08-03-2018,31-12-2018,150
N641,WNSW,279214.2500,6250281.1400,16,28-09-2006,28-12-2018,2224
N64,WNSW,278538.5100,6251107.0500,10,21-01-2005,30-01-2020,2610
Box_10_A,DPIE-mc,316098.7966,6302389.0447,36,05-09-2017,31-01-2018,111
Box_10_B,DPIE-mc,312508.3481,6305019.6463,36,05-09-2017,30-01-2018,111
Box_10_C,DPIE-mc,312017.1482,6302961.4642,36,05-09-2017,30-01-2018,111
Box_11_A,DPIE-mc,329303.3610,6295470.9214,36,05-09-2017,31-01-2018,111
Box_11_B,DPIE-mc,325020.4508,6295555.0716,36,05-09-2017,31-01-2018,111
Box_11_C,DPIE-mc,321054.2471,6297371.7332,36,05-09-2017,31-01-2018,111
Box_12_A,DPIE-mc,331707.4411,6288432.2657,36,05-08-2017,31-01-2018,111
Box_12_B,DPIE-mc,330363.6920,6291004.2404,36,05-08-2017,31-01-2018,111
Box_12_C,DPIE-mc,328852.6352,6290417.7872,36,05-09-2017,31-01-2018,111
Box_13_A,DPIE-mc,335382.8449,6288275.7333,36,05-08-2017,31-01-2018,111
Box_13_B,DPIE-mc,334382.1065,6287615.4359,36,05-08-2017,31-01-2018,111
Box_13_C,DPIE-mc,332918.9405,6287479.3363,36,05-08-2017,31-01-2018,111
Box_14_A,DPIE-mc,337213.8886,6284356.4887,36,05-08-2017,31-01-2018,111
Box_14_B,DPIE-mc,336630.1102,6286280.4117,36,05-08-2017,31-01-2018,111
Box_14_C,DPIE-mc,336264.7875,6288259.4921,36,05-08-2017,31-01-2018,111
Box_15_A,DPIE-mc,343349.9681,6284635.7745,36,05-08-2017,31-01-2018,111
Box_15_B,DPIE-mc,341438.7695,6284452.9331,36,05-08-2017,31-01-2018,111
Box_15_C,DPIE-mc,338831.0303,6283483.3823,36,05-08-2017,31-01-2018,111
Box_1_A,DPIE-mc,288039.5155,6226935.4382,36,09-06-2017,30-01-2018,111
Box_1_B,DPIE-mc,290309.9059,6214826.0917,36,09-06-2017,30-01-2018,111
Box_2_A,DPIE-mc,281414.1913,6250194.1611,36,09-06-2017,30-01-2018,111
Box_2_B,DPIE-mc,280111.4728,6239855.0065,36,09-06-2017,30-01-2018,111
Box_2_C,DPIE-mc,285690.5586,6231099.1479,36,09-06-2017,30-01-2018,111
Box_3_A,DPIE-mc,285319.2480,6263702.6826,36,09-07-2017,30-01-2018,111
Box_3_B,DPIE-mc,281768.5524,6259758.6282,36,09-07-2017,30-01-2018,111
Box_3_C,DPIE-mc,276899.0402,6252651.0934,36,09-07-2017,30-01-2018,111
Box_4_A,DPIE-mc,283306.6470,6264948.7579,36,09-07-2017,31-01-2018,111
Box_4_B,DPIE-mc,285318.5857,6264866.3511,36,09-07-2017,30-01-2018,111
Box_5_A,DPIE-mc,285977.4809,6277855.7629,36,09-07-2017,31-01-2018,111
Box_5_B,DPIE-mc,283810.5830,6273821.8181,36,09-07-2017,30-01-2018,111
Box_6_A,DPIE-mc,297843.7348,6279657.5413,36,05-10-2017,31-01-2018,111
Box_6_B,DPIE-mc,294455.1220,6282956.6998,36,23-05-2017,31-01-2018,111
Box_6_C,DPIE-mc,288692.1993,6281510.2176,36,23-05-2017,31-01-2018,111
Box_7_A,DPIE-mc,303390.0432,6283728.1923,36,05-10-2017,30-01-2018,111
Box_7_B,DPIE-mc,299529.3110,6283402.1550,36,05-10-2017,30-01-2018,111
Box_7_C,DPIE-mc,299513.8692,6280879.7268,36,05-10-2017,30-01-2018,111
Box_8_A,DPIE-mc,303382.9110,6294356.3898,36,05-10-2017,30-01-2018,111
Box_8_B,DPIE-mc,302692.3589,6291221.0715,36,05-10-2017,30-01-2018,111
Box_8_C,DPIE-mc,306317.5264,6291215.0528,36,05-10-2017,30-01-2018,111
Box_8_D,DPIE-mc,304931.2491,6290057.0216,36,05-10-2017,30-01-2018,111
Box_8_E,DPIE-mc,304540.0613,6287320.1908,36,05-10-2017,30-01-2018,111
Box_8_F,DPIE-mc,304007.1693,6284736.9748,36,05-10-2017,30-01-2018,111
Box_9_A,DPIE-mc,309686.7208,6301100.4080,36,05-10-2017,30-01-2018,111
Box_9_B,DPIE-mc,303537.4826,6298266.6514,36,05-10-2017,30-01-2018,111
Box_9_C,DPIE-mc,303871.7462,6296134.1184,36,05-10-2017,30-01-2018,111
Douglas_Park,DPIE-mc,288885.4688,6214195.2737,36,09-06-2017,30-01-2018,111
Maldon_Weir,DPIE-mc,281630.8632,6212656.5819,36,09-06-2017,30-01-2018,111
Winmalee_lagoon,DPIE-mc,283734.8151,6272824.3558,36,09-07-2017,31-01-2018,111
BCFP1,BC,303273.5870,6273524.8720,11,14-12-2017,14-02-2020,156
BCSO1,BC,294774.9430,6269886.4500,10,25-07-2013,29-01-2020,781
BCSO2,BC,297181.6370,6271447.2860,10,15-12-2017,29-01-2020,143
SC_1,DPIE-sc,298208.1668,6279302.8416,35,09-05-2017,09-05-2017,36
SC_10,DPIE-sc,302316.2862,6264460.9876,35,09-05-2017,09-05-2017,36
SC_11,DPIE-sc,302150.6280,6258978.2338,35,09-05-2017,09-05-2017,36
SC_12,DPIE-sc,297189.9053,6271455.4493,35,09-05-2017,09-05-2017,36
SC_13,DPIE-sc,296584.5134,6260411.1455,33,09-05-2017,09-05-2017,34
SC_14,DPIE-sc,293109.3534,6267291.1347,35,09-05-2017,09-05-2017,36
SC_15,DPIE-sc,292738.9314,6263460.9408,35,09-05-2017,09-05-2017,36
SC_16,DPIE-sc,292759.8323,6261158.2278,35,09-05-2017,09-05-2017,36
SC_17,DPIE-sc,293248.9557,6257222.1494,35,09-05-2017,09-05-2017,36
SC_18,DPIE-sc,292298.3548,6249495.1535,35,09-05-2017,09-05-2017,36
SC_19,DPIE-sc,293563.6625,6249367.3803,35,09-05-2017,09-05-2017,36
SC_2,DPIE-sc,298026.2233,6277312.7624,35,09-05-2017,09-05-2017,36
SC_20,DPIE-sc,296411.0517,6248885.4503,35,09-05-2017,09-05-2017,36
SC_21,DPIE-sc,292369.7821,6242023.5445,35,09-05-2017,09-05-2017,36
SC_22,DPIE-sc,291085.6458,6239742.6530,35,09-05-2017,09-05-2017,36
SC_23,DPIE-sc,298208.1668,6279302.8416,24,12-09-2017,12-09-2017,25
SC_3,DPIE-sc,298193.7033,6275476.3757,35,09-05-2017,09-05-2017,36
SC_4,DPIE-sc,300472.0043,6272693.0554,35,09-05-2017,09-05-2017,36
SC_45,DPIE-sc,298208.1668,6279302.8416,24,31-01-2018,31-01-2018,25
SC_5,DPIE-sc,300961.5941,6272566.5515,35,09-05-2017,09-05-2017,36
SC_52,DPIE-sc,302997.2701,6265167.3857,24,31-01-2018,31-01-2018,25
SC_53,DPIE-sc,303876.1166,6264368.9924,24,31-01-2018,31-01-2018,25
SC_58,DPIE-sc,293109.3534,6267291.1347,24,31-01-2018,31-01-2018,25
SC_59,DPIE-sc,292738.9314,6263460.9408,24,31-01-2018,31-01-2018,25
SC_6,DPIE-sc,300875.8534,6270698.6945,35,09-05-2017,09-05-2017,36
SC_7,DPIE-sc,302876.6877,6265638.3218,35,09-05-2017,09-05-2017,36
SC_8,DPIE-sc,302997.2701,6265167.3857,35,09-05-2017,09-05-2017,36
SC_9,DPIE-sc,303876.1166,6264368.9924,35,09-05-2017,09-05-2017,36
ww_Berowra_Creek_C,SWC-ww,325268.9782,6281791.5568,20,09-05-2017,29-11-2018,33
ww_WISEMANS_FERRY__Box_10_B,SWC-ww,312508.3481,6305019.6463,18,09-05-2017,29-11-2018,31
ww_Box_9_B,SWC-ww,303537.4826,6298266.6514,18,10-05-2017,29-11-2018,31
ww_Colo_River_B,SWC-ww,302106.2942,6298082.1209,18,10-05-2017,29-11-2018,31
ww_SACKVILLE_FERRY__Box_8_B,SWC-ww,302692.3589,6291221.0715,20,10-05-2017,29-11-2018,34
ww_DOWNSTREAM_CATTAI_CK__Box_8_F,SWC-ww,304007.1693,6284736.9748,20,10-05-2017,29-11-2018,35
ww_Cattai_Creek_B,SWC-ww,305795.4501,6284945.4379,19,29-11-2018,29-11-2018,19
ww_Cattai_Creek_D,SWC-ww,307958.6126,6280351.4556,19,29-11-2018,29-11-2018,19
ww_Box_7_B,SWC-ww,299529.3110,6283402.1550,19,10-05-2017,29-11-2018,34
ww_Box_6_A,SWC-ww,297843.7348,6279657.5413,19,10-05-2017,29-11-2018,34
ww_Grose_River,SWC-ww,286191.7103,6278703.1775,19,11-05-2017,29-11-2018,33
ww_Box_5_A,SWC-ww,285977.4809,6277855.7629,20,11-05-2017,29-11-2018,35
ww_DEVLINS_ROAD___Box_5_B,SWC-ww,283810.5830,6273821.8181,20,11-05-2017,29-11-2018,35
ww_Box_4_B,SWC-ww,285318.5857,6264866.3511,20,11-05-2017,29-11-2018,35
ww_Box_3_A,SWC-ww,285319.2480,6263702.6826,20,11-05-2017,29-11-2018,34
ww_WALLACIA_BRIDGE__Box_2_A,SWC-ww,281414.1913,6250194.1611,19,10-05-2017,29-11-2018,33
ww_Box_2_C,SWC-ww,285690.5586,6231099.1479,20,10-05-2017,29-11-2018,34
ww_Maldon_Weir,SWC-ww,281630.8632,6212656.5819,17,09-05-2017,29-11-2018,31
ww_lower_South_Ck__tidal,SWC-ww,298231.9270,6279298.4888,20,09-05-2017,29-11-2018,35
ww_Eastern_Ck_u_s_Riverstone_WWTP,SWC-ww,300472.0043,6272693.0554,20,09-05-2017,29-11-2018,35
ww_Eastern_Creek_at_Garfield_Road,SWC-ww,300875.8534,6270698.6945,20,09-05-2017,29-11-2018,35
ww_Eastern_Creek_at_Douglas_Park_downstream_Breakfast_Creek,SWC-ww,302876.6877,6265638.3218,20,11-05-2017,29-11-2018,35
ww_Breakfast_Ck_d_s_Quakers_Hill_WWTP,SWC-ww,302997.2701,6265167.3857,20,11-05-2017,29-11-2018,35
ww_Breakfast_Ck_u_s_Quakers_Hill_WWTP,SWC-ww,303876.1166,6264368.9924,20,11-05-2017,29-11-2018,35
ww_Eastern_Creek_at_Richmond_Rd,SWC-ww,302316.2862,6264460.9876,19,11-05-2017,29-11-2018,33
ww_Eastern_Creek_at_Great_Western_Hwy_Bridge,SWC-ww,302150.6280,6258978.2338,20,11-05-2017,29-11-2018,35
ww_South_Creek_at_Richmond_Road_Bridge,SWC-ww,297189.9053,6271455.4493,20,09-05-2017,29-11-2018,35
ww_Ropes_Creek_at_Great_Western_Hwy,SWC-ww,296584.5134,6260411.1455,20,10-05-2017,29-11-2018,35
ww_South_Ck_d_s_St_Marys_WWTP,SWC-ww,293109.3534,6267291.1347,20,11-05-2017,29-11-2018,35
ww_South_Ck_u_s_St_Marys_WWTP,SWC-ww,292738.9314,6263460.9408,20,10-05-2017,29-11-2018,35
ww_South_Creek_at_Great_Western_Hwy_Bridge_St_Marys,SWC-ww,292759.8323,6261158.2278,19,10-05-2017,29-11-2018,33
ww_South_Creek_at_Luddenham_Road,SWC-ww,293248.9557,6257222.1494,19,10-05-2017,29-11-2018,34
ww_Badgeries_Creek_at_Elizabeth_Drive,SWC-ww,292298.3548,6249495.1535,19,10-05-2017,29-11-2018,34
ww_South_Creek_at_Elizabether_Drive,SWC-ww,293563.6625,6249367.3803,20,10-05-2017,29-11-2018,35
ww_Kemps_Creek_at_Elizabeth_Drive,SWC-ww,296411.0517,6248885.4503,20,10-05-2017,29-11-2018,35
ww_South_Ck_downstream_proposed_Lowes_Ck_WWTP_at_Bringelly_Road,SWC-ww,292369.7821,6242023.5445,20,10-05-2017,29-11-2018,35
ww_Lowes_Creek_at_Northern_Rd_Bridge,SWC-ww,291085.6458,6239742.6530,20,10-05-2017,29-11-2018,35
ww_Market_Garden,SWC-ww,292809.5833,6268617.2425,20,11-05-2017,29-11-2018,35
ww_Urban_WSUD,SWC-ww,294293.2490,6264579.1583,19,10-05-2017,29-11-2018,33
ww_Urban_non_WSUD,SWC-ww,287095.1663,6266019.2880,20,11-05-2017,29-11-2018,35
ww_Intensive_Agriculture__Turf_Farms,SWC-ww,299030.7582,6283197.3612,20,09-05-2017,29-11-2018,35
ww_Industrial,SWC-ww,284813.9843,6261238.2040,20,11-05-2017,29-11-2018,35
ww_Commercial,SWC-ww,285762.3648,6262991.3673,20,11-05-2017,29-11-2018,35
ww_Pittwater_A,SWC-ww,342083.9329,6276331.1184,13,08-05-2017,08-05-2017,14
