Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
30/11/1983 00:00,8,97,22.7,8.2,401,11,46,0.01,0.23,0.22,0.04,2.1,2.32,11,,294.17,1.28,,
08/12/1983 00:00,,,,,,,,,,,,,,,,,,,
15/12/1983 00:00,,,,,,,,,,,,,,,,,,,
22/12/1983 00:00,,,,,,,,,,,,,,,,,,,
05/01/1984 00:00,,,,,,,,,,,,,,,,,,,
12/01/1984 00:00,6,87,26.3,7.2,25.8,,23,0.02,0.06,0.15,0.002,0.4,0.55,,,39.94,3.85,,
19/01/1984 00:00,6,77,23,6.7,22.4,,53,0.023,0.071,0.42,0.01,0.55,0.97,,,11.93,7.27,,
09/02/1984 00:00,,,,,,,,,,,,,,,,,,,
07/03/1984 00:00,,,24.3,,14.7,,20,,,,,,,,,,,,
15/03/1984 00:00,,75,24.1,6.8,19.4,,30,0.024,0.07,,,,,,,9.07,6.2,,
05/12/1984 00:00,,,,,,,,,,,,,,,,,,,
09/01/1985 00:00,6,85,26.6,7.4,386,,94,0.006,0.06,0.01,0.01,0.6,0.61,,,12.18,1.28,,
14/03/1985 00:00,7,93,25,7.6,685,,12.6,0.007,0.033,0.01,0.02,0.45,0.46,,,34.43,1.28,,
18/09/1985 00:00,7,85,16.4,,517,,,,,,,,,,,,,,
03/01/1986 00:00,7,87,25.2,7.1,42,13,24,,0.043,0.12,0.01,0.7,0.82,,,6.79,0.43,,
29/01/1986 00:00,7,90,25.2,,28.6,,,,,,,,,,,,,,
26/02/1986 00:00,6,80,26,7.2,377,29,49,0.018,0.085,0.63,0.03,0.8,1.43,,,15.56,2.35,,
30/04/1986 00:00,,,,,924,,,,,,,,,,,,,,
29/05/1986 00:00,7,88,17.3,,686,,,,,,,,,,,13.29,,,
29/05/1986 00:00,8,88,17.3,,564,,,,,,,,,,,9.59,,,
04/07/1986 00:00,9,96,13,7.4,823,2,9.3,0.004,0.02,0.15,0.01,0.45,0.6,,,5.88,2.99,,
