Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
25/01/1980,6,,27.5,7.5,,,,0.2,0.31,,,,,,,35.32,2.57,,
20/02/1980,6,,27,6.8,,,,0.11,0.33,,,,,,,34.3,16.9,,
26/02/1980,,,,,,,,,,,,,,,,,,,
06/03/1980,,,,,,,,,,,,,,,,,,,
12/03/1980,5,,23.2,7.3,,13,,1,1.2,1.5,0.53,,,,,26.26,7.91,,20
21/03/1980,,,,,,,,,,,,,,,,,,,
17/04/1980,,,,,,,,,,,,,,,,,,,
16/05/1980,7,,18,7,,,,0.022,0.047,,,,,,,2.7,7.7,,
12/06/1980,8,,14,7,,,,0.024,0.064,,,,,,,2.85,7.91,,
23/06/1980,,,,,,,,,,,,,,,,,,,
25/06/1980,9,,12.6,7,,5,,0.028,0.056,0.63,0.6,,,,,4.33,8.34,,78
10/07/1980,,,,,,,,,,,,,,,,,,,
07/08/1980,10,,12.2,7.1,,,,0.048,0.085,,,,,,,9.03,3.42,,
03/09/1980,,,,,,,,,,,,,,,,,,,
01/10/1980,,,,,,,,,,,,,,,,,,,
29/10/1980,,,,,,,,,,,,,,,,,,,
28/11/1980,,,,,,,,,,,,,,,,,,,
23/12/1980,9,,26.4,,,,,0.24,0.38,,,,,,,161.18,7.7,,
06/01/1981,,,,7.4,,,,0.26,0.53,,,,,,,,2.57,,
07/01/1981,,,,,,,,,,,,,,,,,,,
22/01/1981,5,,26.5,7.4,,,,0.23,0.41,,,,,,,88.93,0.64,,
06/02/1981,6,80,27.8,7.2,,,,,,,,,,,,45.83,,,
12/02/1981,5,60.6,24,7.1,,,,,,,,,,,,22.36,,,
19/02/1981,,,,,,,,,,,,,,,,,,,
26/02/1981,,,,,,,,,,,,,,,,,,,
02/03/1981,8,106.9,28.5,7.4,,7,,0.026,0.12,0.2,0.2,,,,,20.28,9.84,,152
13/03/1981,7,96,25.8,7,,,,,,,,,,,,18.21,,,
20/03/1981,,,,,,,,,,,,,,,,,,,
26/03/1981,7,86,24.2,7.4,,,,0.036,0.13,,,,,,,31.45,,,
