Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
10/03/1980 00:00,7,,23,7.4,,6,,0.01,0.012,0.2,0.29, ,, , ,3.55,5.134, ,50
23/06/1980 00:00,,,,,,,,,,,, ,, , ,,, ,
01/09/1980 00:00,9,,16,7.6,,2,,0.007,0.01,0.05,0.3,0.7,0.75, , ,1.54,1.283, ,5
02/03/1981 00:00,8,,28.5,7.6,,9,,0.005,0.024,0.01,0.1,0.6,0.61, , ,3.32,3.85, ,66
13/07/1981 00:00,,,,,,,,,,,, ,, , ,,, ,
09/11/1981 00:00,6,,20,6.2,,30,,0.04,0.01,,, ,, , ,,10.267, ,70
11/05/1982 00:00,,,,,,,,,,,, ,, , ,,, ,
27/09/1982 00:00,,,,,,,,,,,, ,, , ,,, ,
01/02/1983 00:00,,,,,,,,,,,, ,, , ,,, ,
03/03/1983 00:00,,,,,,,,,,,, ,, , ,,, ,
28/03/1983 00:00,,,,,,,,,,,, ,, , ,,, ,
20/06/1983 00:00,8,87,13,7.2,42,,76,0.036,0.11,1.46,0.51,1.54,3, , ,15.62,10.267, ,1600
19/09/1983 00:00,8,100,19.8,7.1,,,2.7,0.007,0.016,0.4,0.23,1.1,1.5, , ,5.32,2.995, ,10
25/10/1983 00:00,7,84,19,7.1,,,193,0.021,0.25,0.6,0.75,5.75,6.35, , ,19.58,5.561, ,
03/11/1983 00:00,4,53,21.2,6.9,,,64,0.03,0.11,0.76,0.2,2.55,3.31, , ,3.13,8.77, ,
14/11/1983 00:00,,,,,,,,,,,, ,, , ,,, ,
05/12/1983 00:00,7,85,21.7,7,46,,44,0.048,0.12,,, ,, , ,2.7,5.561, ,
09/12/1983 00:00,6,75,22.5,7,48.4,,,0.07,0.14,0.52,0.108,1.5,2.02, , ,3.84,8.342, ,
21/12/1983 00:00,7,,32.2,7.7,418,,3.1,,0.028,,, ,, , ,6.14,3.209, ,
05/03/1984 00:00,7,,23.5,6.4,,12,,0.028,0.053,0.24,0.2,0.95,1.19, , ,,, ,40
06/03/1984 00:00,,,,,,,,,,,, ,, , ,,, ,
22/05/1984 00:00,,,,,,,,,,,, ,, , ,,, ,
25/05/1984 00:00,,,,,,,,,,,, ,, , ,,, ,
03/07/1984 00:00,,,,,,,,,,,, ,, , ,,, ,
04/07/1984 00:00,9,,,7.3,,15,,0.02,0.07,0.58,0.11,0.7,1.28, , ,,, ,20
09/07/1984 00:00,,,,,,,,,,,, ,, , ,,, ,
25/07/1984 00:00,,,,,,,,,,,, ,, , ,,, ,
24/08/1984 00:00,,,11.7,6.7,14.5,,17.5,,,,, ,, , ,3.39,, ,
05/10/1984 00:00,16,179,18.9,9.1,55.7,,12.4,0.009,0.084,,, ,, , ,19.05,0.214, ,
