Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
19/06/1984,,117,13.4,7,18,,13.2,0.009,0.11,,,,,,,90.84,,,
29/08/1995,,,18,7.53,20.8,,,0.005,0.012,,0.02,,0.98,,,3.65,,,
29/08/1995,,112,17.9,7.27,20.9,,,0.005,0.013,0.51,0.02,,0.97,,,3.7,,,1100
29/08/1995,,112,17.9,7.27,20.9,,,0.005,0.011,0.5,0.02,,0.99,,,3.6,,,1300
26/09/1995,,84,14.9,7.38,18.2,,,0.019,0.089,0.24,0.06,,0.64,,,,,,2400
26/09/1995,,84,14.9,7.38,18.2,,,0.007,0.117,0.25,0.01,,0.63,,,,,,1200
10/10/1995,,112,22.7,7.21,21.6,,,0.03,0.08,0.52,0.08,,1.2,,,12.6,,,58
10/10/1995,,112,22.7,7.21,21.6,,,0.03,0.081,0.52,0.08,,1.12,,,16.4,,,98
07/11/1995,,,,,,,,0.009,0.02,0.22,0.01,,0.52,,,5.5,,,130
07/11/1995,,,,,,,,0.008,0.022,0.22,0.005,,0.53,,,5.1,,,150
21/11/1995,,,,,,,,0.02,0.03,0.27,0.02,,0.69,,,4.6,,,440
21/11/1995,,,,,,,,0.018,0.031,0.27,0.02,,0.75,,,9,,,480
05/12/1995,,,,,,,,0.02,0.043,0.14,0.01,,0.69,,,19.9,,,220
05/12/1995,,,,,,,,0.016,0.038,0.14,0.02,,0.68,,,18.3,,,220
05/12/1995,,,,,,,,,,,,,,,,,,,
05/12/1995,,,,,,,,,,,,,,,,,,,
16/01/1996,,,,,,,,0.012,0.021,0.15,0.05,,0.71,,,5.9,,,280
16/01/1996,,,,,,,,0.011,0.02,0.15,0.05,,0.74,,,4.5,,,340
13/02/1996,,,,,,,,0.014,0.027,0.06,0.03,,0.63,,,6.5,,,28
13/02/1996,,,,,,,,0.016,0.028,0.05,0.06,,0.67,,,6.4,,,16
12/03/1996,,,,,,,,0.006,0.019,0.15,0.04,,0.43,,,3.7,,,36
12/03/1996,,,,,,,,0.003,0.017,0.14,0.03,,0.41,,,4.3,,,32
10/04/1996,,,,,,,,0.01,0.016,0.12,0.02,,0.6,,,7.7,,,10
10/04/1996,,86,22.5,7.75,27.5,,,0.006,0.023,0.12,0.02,,0.6,,,7.3,,,12
07/05/1996,,82,17.6,7.93,17.5,,,0.023,0.041,0.14,0.07,,0.7,,,,,180,800
07/05/1996,,,,,,,,0.02,0.032,0.13,0.06,,0.58,,,,,210,700
21/05/1996,,,17.3,6.05,16.9,,,0.005,0.355,0.23,0.11,,0.83,,,9.8,,28,18
21/05/1996,,,,,,,,0.007,0.029,0.23,0.1,,0.88,,,9.8,,26,22
18/06/1996,,94.5,14.6,5.91,34.3,,,0.004,0.011,0.36,0.01,,0.52,,,8,,4,18
18/06/1996,,,,,,,,0.006,0.009,0.38,0.01,,0.59,,,10.7,,2,28
02/07/1996,,,,,,7,,0.015,0.05,1.5,0.02,,1.83,,,16.8,2.54,,92
02/07/1996,,,,,,7,,0.026,0.06,1.6,0.005,,2.1,,,15.9,2.57,,88
02/07/1996,,,,,,,,,,,,,,,,,,,
10/07/1996,,,,,,,,,,,,,,,,,,,
16/07/1996,,,,,,,,,,,,,,,,,,,
14/08/1996,,,,,,7,,,,,,,,,,,1.7,,
14/08/1996,,,,,,,,,,,,,,,,,,,
27/08/1996,,,,,,3,,0.006,0.013,0.87,0.02,,1.22,,,9.6,1.02,,780
27/08/1996,,,,,,,,,,,,,,,,,,,
02/09/1996,,91.4,12.8,7.2,33.5,,,0.018,0.069,0.46,0.03,,0.77,,,,,800,1300
02/09/1996,,91.4,12.8,7.2,33.5,,,0.015,0.103,0.46,0.03,,0.95,,,,,820,880
12/09/1996,,,,,,18,,,,,,,,,,,2.1,,
12/09/1996,,,,,,,,,,,,,,,,,,,
