Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,Total Kjedahl Nitrogen,TN_mg/L,TOC_mg/L,DOC,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
25/01/1980 00:00,,,,,,,,,,,, ,,, ,,,,
20/02/1980 00:00,,,29,8.9,,,,0.005,0.01,,, ,,, ,3.54,10.69518717,,
26/02/1980 00:00,,,,,,,,,,,, ,,, ,,,,
06/03/1980 00:00,,,27,,,,,0.003,0.015,,, ,,, ,4.32,5.347593583,,
10/03/1980 00:00,,,,,,,,,,,, ,,, ,,,,
21/03/1980 00:00,,,,,,,,,,,, ,,, ,,,,
17/04/1980 00:00,,,24.6,8.7,,,,0.003,0.005,,, ,,, ,2.5,5.989304813,,
16/05/1980 00:00,,,,,,,,,,,, ,,, ,,,,
12/06/1980 00:00,,,14.5,6.5,,,,0.003,0.02,,, ,,, ,3.88,7.486631016,,
23/06/1980 00:00,,,,,,,,,,,, ,,, ,,,,
10/07/1980 00:00,,,10,7.3,,,,0.003,0.008,,, ,,, ,1.41,9.411764706,,
07/08/1980 00:00,,,10.5,7,,,,0.005,0.012,,, ,,, ,1.98,8.342245989,,
01/09/1980 00:00,,,,,,,,,,,, ,,, ,,,,
01/10/1980 00:00,,,,,,,,,,,, ,,, ,,,,
29/10/1980 00:00,,,,,,,,,,,, ,,, ,,,,
28/11/1980 00:00,,,26.2,7.8,,,,0.008,0.046,,, ,,, ,1.66,3.85026738,,
23/12/1980 00:00,,,26,,,,,0.004,0.011,,, ,,, ,0.26,4.919786096,,
22/01/1981 00:00,,,,,,,,,,,, ,,, ,,,,
19/02/1981 00:00,,,,,,,,,,,, ,,, ,,,,
26/02/1981 00:00,,,25.4,7.7,,,,0.017,0.041,,, ,,, ,10.2,8.128342246,,
02/03/1981 00:00,,,,,,,,,,,, ,,, ,,,,
13/03/1981 00:00,,111.6,25.4,7.9,,,,,,,, ,,, ,10.08,,,
20/03/1981 00:00,,107.8,22,7.7,,,,0.003,0.017,,, ,,, ,1.51,8.556149733,,
26/03/1981 00:00,,,,,,,,,,,, ,,, ,,,,
01/04/1981 00:00,,98.6,22.8,7.1,,,,,,,, ,,, ,2.95,,,
01/04/1981 00:00,,,22.8,7.1,,,,,,,, ,,, ,4.05,,,
09/04/1981 00:00,,,,,,,,,,,, ,,, ,,,,
14/04/1981 00:00,,74.6,19.9,6.8,,,,,,,, ,,, ,6.87,,,
23/04/1981 00:00,,83,21,6.6,,,,0.005,0.02,,, ,,, ,9.01,8.342245989,,
24/04/1981 00:00,,,,,,,,,,,, ,,, ,,,,
29/04/1981 00:00,,,,,,,,,,,, ,,, ,,,,
07/05/1981 00:00,,82,17.5,6.9,,,,0.005,0.032,,, ,,, ,1.65,7.914438503,,
14/05/1981 00:00,,,,,,,,,,,, ,,, ,,,,
21/05/1981 00:00,,,,,,,,,,,, ,,, ,,,,
27/05/1981 00:00,,,,,,,,,,,, ,,, ,,,,
04/06/1981 00:00,,,,,,,,,,,, ,,, ,,,,
10/06/1981 00:00,,,,,,,,,,,, ,,, ,,,,
15/06/1981 00:00,,,,,,,,,,,, ,,, ,,,,
24/06/1981 00:00,,,,,,,,,,,, ,,, ,,,,
02/07/1981 00:00,,85,11,7,,,,0.004,0.01,,, ,,, ,2.86,7.914438503,,
08/07/1981 00:00,,,,,,,,,,,, ,,, ,,,,
13/07/1981 00:00,,,,,,,,,,,, ,,, ,,,,
22/07/1981 00:00,,,,,,,,,,,, ,,, ,,,,
30/07/1981 00:00,,,,,,,,,,,, ,,, ,,,,
05/08/1981 00:00,,96.5,10.7,7,,,,0.004,0.009,,, ,,, ,0.72,7.058823529,,
10/08/1981 00:00,,110.9,12.3,7.4,,,,,,,, ,,, ,0.78,,,
18/08/1981 00:00,,108,12.9,7.7,,,,0.003,0.006,,, ,,, ,0.69,5.347593583,,
27/08/1981 00:00,,,,,,,,,,,, ,,, ,,,,
28/08/1981 00:00,,108,12.8,7.9,,,,0.003,0.006,,, ,,, ,1.07,4.064171123,,
03/09/1981 00:00,,122.5,15.3,8.7,,,,0.002,0.006,,, ,,, ,2.2,3.20855615,,
08/09/1981 00:00,,,,,,,,,,,, ,,, ,,,,
17/09/1981 00:00,,,,,,,,,,,, ,,, ,,,,
24/09/1981 00:00,,,,,,,,,,,, ,,, ,,,,
30/09/1981 00:00,,,,,,,,,,,, ,,, ,,,,
07/10/1981 00:00,,,,,,,,,,,, ,,, ,,,,
15/10/1981 00:00,,,,,,,,,,,, ,,, ,,,,
19/10/1981 00:00,,94.9,18.9,7.3,,,,0.003,0.008,,, ,,, ,0.62,1.711229947,,
22/10/1981 00:00,,83,17,6.7,,,,0.005,0.027,,, ,,, ,1.13,5.13368984,,
28/10/1981 00:00,,104,21.7,6.4,,,6,0.004,0.01,,, ,,, ,1.22,5.347593583,,
05/11/1981 00:00,,79,21,6.4,,,,0.037,0.12,,, ,,, ,2.3,8.983957219,,
09/11/1981 00:00,,,20.8,6.4,,15,,0.027,0.078,,, ,,, ,,8.556149733,,
12/11/1981 00:00,,,,,,,,,,,, ,,, ,,,,
19/11/1981 00:00,,,,,,,,,,,, ,,, ,,,,
26/11/1981 00:00,,,,,,,,,,,, ,,, ,,,,
03/12/1981 00:00,,105.6,24.4,7,,,7,0.007,0.017,,, ,,, ,2.42,7.486631016,,
10/12/1981 00:00,,,,,,,,,,,, ,,, ,,,,
18/12/1981 00:00,,,,,,,,,,,, ,,, ,,,,
23/12/1981 00:00,,,,,,,,,,,, ,,, ,,,,
29/12/1981 00:00,,,,,,,,,,,, ,,, ,,,,
07/01/1982 00:00,,75.6,25.8,7,,,2,0.007,0.016,,, ,,, ,5.28,6.417112299,,
14/01/1982 00:00,,101,26.1,7.6,,,2,0.006,0.019,,, ,,, ,3.96,5.77540107,,
21/01/1982 00:00,,82.9,25,7,,,5,0.004,0.013,,, ,,, ,5.38,7.058823529,,
28/01/1982 00:00,,85.8,26,7,,,1,0.005,0.012,,, ,,, ,7,6.631016043,,
05/02/1982 00:00,,79,24.9,7.1,,,5,0.005,0.011,,, ,,, ,5.54,7.058823529,,
11/02/1982 00:00,,99,25.5,7.6,,,1,0.005,0.019,,, ,,, ,5.41,5.989304813,,
