Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
12/03/1980 00:00,7,,24.5,7.5,,12,,0.038,0.064,0.3,0.46,,,,,41.52,0.86,,10
12/03/1980 00:00,6,,24.5,7.6,,11,,0.03,0.06,0.2,0.45,,,,,37.5,1.07,,10
25/06/1980 00:00,,,,,,,,,,,,,,,,,,,
03/09/1980 00:00,,,,,,,,,,,,,,,,,,,
07/01/1981 00:00,,,,,,,,,,,,,,,,,,,
22/01/1981 00:00,,,,,,,,,,,,,,,,,,,
04/03/1981 00:00,,,,,,,,,,,,,,,,,,,
15/07/1981 00:00,,,,,,,,,,,,,,,,,,,
09/11/1981 00:00,,,,,,,,,,,,,,,,,,,
18/03/1982 00:00,6,80,22.2,6.8,,,15,0.074,0.13,,,,,,,18.66,,,
25/03/1982 00:00,,,,,,,,,,,,,,,,,,,
01/04/1982 00:00,,,,,,,,,,,,,,,,,,,
07/04/1982 00:00,,,,,,,,,,,,,,,,,,,
15/04/1982 00:00,,,,,,,,,,,,,,,,,,,
22/04/1982 00:00,7,86.8,21.3,7,,,7,0.047,0.094,,,,,,,14.74,,,
29/04/1982 00:00,,,,,,,,,,,,,,,,,,,
06/05/1982 00:00,,,,,,,,,,,,,,,,,,,
11/05/1982 00:00,10,,17.8,8.3,,10,,,0.07,0.39,0.23,1.68,,,,,,,6
11/05/1982 00:00,10,,17.9,8.2,,9,,,0.06,0.39,0.57,1.1,,,,,,,2
13/05/1982 00:00,9,104,17.8,7.7,,,8,0.026,0.066,,,,,,,36,0.64,,
20/05/1982 00:00,10,106.7,17,8.1,,,8,0.025,0.075,0.24,0.04,0.89,,,,47.46,0.86,,
27/05/1982 00:00,10,110.9,16,8.4,,,9,0.01,0.065,,,,,,,47.18,0.86,,
03/06/1982 00:00,,,,,,,,,,,,,,,,,,,
11/06/1982 00:00,10,110.7,14.4,8.6,,,8,0.023,0.084,,,,,,,53.17,0.86,,
17/06/1982 00:00,10,105.7,15.2,8.5,,,5.7,0.016,0.09,0.43,0.02,0.75,,,,48.22,0.64,,
24/06/1982 00:00,,,,,,,,,,,,,,,,,,,
01/07/1982 00:00,11,114,12.8,8.5,,,6,0.007,0.088,,,,,,,61.41,0.21,,
08/07/1982 00:00,,,,,,,,,,,,,,,,,,,
15/07/1982 00:00,,,,,,,,,,,,,,,,,,,
22/07/1982 00:00,,,,,,,,,,,,,,,,,,,
29/07/1982 00:00,,,,,,,,,,,,,,,,,,,
05/08/1982 00:00,,,,,,,,,,,,,,,,,,,
12/08/1982 00:00,,,,,,,,,,,,,,,,,,,
19/08/1982 00:00,,,,,,,,,,,,,,,,,,,
26/08/1982 00:00,9,102,15.8,9.1,,,12,0.08,0.2,,,,,11,,135.05,1.07,,
02/09/1982 00:00,9,98,16.9,8.6,,,11,0.074,0.18,1.4,0.2,1.97,,5,,125,0.86,,
09/09/1982 00:00,9,104,16.4,8.3,,,10,0.076,0.18,,,,,8,,123.9,0.64,,
16/09/1982 00:00,10,117.8,17.2,8.8,,,12,0.058,0.18,1.3,0.056,1.42,,6,,149.61,0.43,,
23/09/1982 00:00,7,77.8,13.8,7.4,,,15,0.26,0.37,2.4,0.44,2.02,,9,,82.42,0.43,,
27/09/1982 00:00,5,,17.5,6.8,,18,,,1.1,2.7,2.4,,,7,,,,,10
27/09/1982 00:00,6,,17.9,6.9,,17,,,0.86,1.3,0.6,,,9,,,,,10
28/09/1982 00:00,5,44.7,17,7.7,,,14,0.72,0.86,1.2,0.31,1.21,,8,,50.43,2.35,,
07/10/1982 00:00,5,60.7,17.6,7,,,18,0.31,0.5,,,,,6,,41.82,3.42,,
14/10/1982 00:00,9,103.8,19.1,7.5,,,,0.19,0.34,0.34,0.096,1.03,,9,,72.34,0.86,,
20/10/1982 00:00,9,112,19.8,7.8,,,,0.16,0.3,,,,,6,,84.96,,,
27/10/1982 00:00,,,,,,,,,,,,,,,,,,,
04/11/1982 00:00,,,,,,,,,,,,,,,,,,,
11/11/1982 00:00,11,132.8,23.5,9.2,,,7,0.11,0.19,1,0.14,1.55,,8,,87.52,0.64,,
18/11/1982 00:00,9,119,23.7,9.3,,,7.5,0.15,0.21,,,,,7,,73.23,1.28,,
24/11/1982 00:00,11,142,26,9.6,,,11,0.11,0.21,0.5,0.02,,,8,,76.65,1.5,,
01/12/1982 00:00,,,,,,,,,,,,,,,,,,,
09/12/1982 00:00,,,,,,,,,,,,,,,,,,,
16/12/1982 00:00,,,,,,,,,,,,,,,,,,,
22/12/1982 00:00,,,,,,,,,,,,,,,,,,,
29/12/1982 00:00,,,,,,,,,,,,,,,,,,,
06/01/1983 00:00,,,,,,,,,,,,,,,,,,,
13/01/1983 00:00,7,88,26.2,7.8,,31,10,0.016,0.11,,,,,16.5,,47.77,4.06,,
20/01/1983 00:00,,,,,,,,,,,,,,,,,,,
27/01/1983 00:00,,,,,,,,,,,,,,,,,,,
01/02/1983 00:00,9,116.9,26,8.6,314,19,12.5,0.09,0.22,,,,,9,,100.14,0.43,,
01/02/1983 00:00,10,,26,8.6,,14,,0.09,0.22,0.4,0.8,1.17,,9,,,,,16
01/02/1983 00:00,10,,26.2,8.5,,21,,,,0.1,0.1,,,,,,,,20
10/02/1983 00:00,,,,,,,,,,,,,,,,,,,
17/02/1983 00:00,,,,,,,,,,,,,,,,,,,
25/02/1983 00:00,,,,,,,,,,,,,,,,,,,
02/03/1983 00:00,7,102,28.1,8.2,,10,11,,,0.08,0.004,2,,,,65.23,0.43,,
09/03/1983 00:00,,,,,,,,,,,,,,,,,,,
16/03/1983 00:00,6,84.6,26.3,7.7,,20,7,,,,,,,,,47.89,1.71,,
18/03/1983 00:00,,,,,,,,,,,,,,,,,,,
21/03/1983 00:00,7,85.6,24.3,,,21,20,,,0.61,0.06,2.3,,,,83.68,1.07,,
23/03/1983 00:00,3,39,21.5,6.7,,8,120,,,1.1,0.08,1.11,,,,10.69,8.77,,
28/03/1983 00:00,4,,22.3,6.5,,26,,0.1,0.1,0.79,0.46,1.37,,,,,,,900
28/03/1983 00:00,5,,22.3,6.2,,39,,0.1,0.15,0.79,0.59,1.41,,,,,,,200
29/03/1983 00:00,4,57,22.3,6.7,,38,32,,,,,,,,,5.19,8.98,,
06/04/1983 00:00,5,67,22.1,6.6,,7,21,,,,,,,,,7.07,8.34,,
20/04/1983 00:00,7,86,19.6,7.2,,11,20,,,0.67,0.07,0.68,,,,34.31,8.98,,
27/04/1983 00:00,,,,,,,,,,,,,,,,,,,
04/05/1983 00:00,,,,,,,,,,,,,,,,,,,
11/05/1983 00:00,,,,,,,,,,,,,,,,,,,
18/05/1983 00:00,,,,,,,,,,,,,,,,,,,
25/05/1983 00:00,,,,,,,,,,,,,,,,,,,
31/05/1983 00:00,7,71,14.3,6.8,,20,53,,,0.67,0.14,0.99,,,,11.34,,,
07/06/1983 00:00,7,79.5,14.1,6.8,,32,28,,,,0.07,1.51,,,,3.25,,,
14/06/1983 00:00,,,,,,,,,,,,,,,,,,,
20/06/1983 00:00,8,,12.8,6.7,,8,,0.19,0.26,2.55,0.76,1.36,,,,,,,330
20/06/1983 00:00,8,78,12.7,6.8,366,17,19,0.19,0.26,2.55,0.76,1.36,,,,12.56,10.05,,
20/06/1983 00:00,8,,12.6,6.7,,10,,0.21,0.26,2.5,0.63,1.23,,,,,,,350
21/06/1983 00:00,,,,,,,,,,,,,,,,,,,
28/06/1983 00:00,7,73,12.1,6.8,,19,41,0.15,0.2,0.91,0.168,1.2,,,,6.25,8.77,,
05/07/1983 00:00,,,,,,,,,,,,,,,,,,,
12/07/1983 00:00,,,,,,,,,,,,,,,,,,,
19/07/1983 00:00,,,,,,,,,,,,,,,,,,,
26/07/1983 00:00,,,,,,,,,,,,,,,,,,,
02/08/1983 00:00,,,,,,,,,,,,,,,,,,,
09/08/1983 00:00,,,,,,,,,,,,,,,,,,,
16/08/1983 00:00,,,,,,,,,,,,,,,,,,,
23/08/1983 00:00,,,,,,,,,,,,,,,,,,,
26/08/1983 00:00,,,,,,,,,,,,,,,,,,,
