Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NH_mg/L,NOx_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
09/05/1984,9,96,15,7,23,,12,,,,,,,, ,,,,
16/05/1984,9,94,15.3,6.8,29,,10.8,,,,,,,, ,,,,
22/05/1984,9,102,15.5,6.9,37,,6.2,,0.27,,,,,, ,,,,
30/05/1984,10,100,13.2,6.6,36.5,,5.8,,0.53,,,,,, ,,,,
14/06/1984,10,101,11.2,6.7,46.2,,7.7,,0.25,,,,,, ,8.83,,,
20/06/1984,9,92,11.6,7.2,68.1,,51,0.14,0.34,,,,,, ,14.69,7.272727273,,
28/06/1984,10,95,11.5,7,46.5,,8.9,0.25,0.22,,,,,, ,5.09,6.631016043,,
11/07/1984,,,,,,,,,0.12,,,,,, ,,,,
25/07/1984,11,104,10.4,7.3,73,,11,0.156,0.45,,,,,, ,52.12,4.919786096,,
10/08/1984,,,,6.6,27.6,,7.9,0.066,0.36,,,,,, ,6.49,7.058823529,,
05/09/1984,10,100,13.7,6.6,44.2,,5,0.33,0.29,,1.1,,,, ,,3.422459893,,
25/09/1984,9,104,16.9,7.2,59,,6.6,0.19,0.17,,0.78,,,, ,26.61,2.56684492,,
11/12/1984,,,,,,,,,0.46,,,,,, ,,,,
13/02/1985,6,72,23.4,7,63,,5.1,0.23,0.345,,,,,, ,13.36,7.272727273,,
17/06/1985,7,75,11.3,6.6,22,,47,0.082,0.076,0.06,0.36,,,, ,3.14,7.272727273,,
12/08/1985,,,,,,,,,0.034,,,,,, ,,,,
16/09/1985,8,83,15.7,7.1,58,,75,0.34,0.032,0.02,0.37,,,7, ,14.55,2.994652406,,
14/10/1985,6,68,17.4,7.1,57,,21,0.2,0.103,0.14,0.46,,,4, ,20.41,2.139037433,,
18/11/1985,8,93,21,6.6,14.9,,16.7,0.044,0.66,0.02,0.13,,,5, ,14.94,6.417112299,,
03/12/1985,8,91,19.7,6.7,12.2,,19,0.015,0.58,0.03,0.14,,,6, ,1.83,7.700534759,,
16/12/1985,8,98,22.9,6.4,8,,8,0.014,1.55,0.01,0.04,,,2, ,2.86,3.20855615,,
20/01/1986,6,72,23.1,6.9,24.4,,24,0.051,1.6,0.01,0.01,,,, ,11.01,7.486631016,,
17/02/1986,5,68,23.4,6.8,45,,29,0.505,0.97,0.05,1,,,6, ,14.98,8.556149733,,
24/03/1986,6,77,23.2,7,62,,13,0.48,0.14,0.01,1.3,,,6, ,16.54,8.556149733,,
21/04/1986,6,70,17.8,6.8,62.9,,16,1.45,0.44,0.09,5.5,,,, ,12.94,11.76470588,,
19/05/1986,7,76,14.3,6.4,53,,24,1.45,0.29,0.1,4.5,,,6, ,7.95,9.839572193,,
23/06/1986,10,88,8.4,6.9,47.3,,24,0.83,0.11,0.3,3.5,,,7, ,7.98,6.203208556,,
26/08/1986,8,82,14,6.5,42,,45,,0.345,0.06,1.3,,,11, ,4.99,10.69518717,,
22/09/1986,8,89,17.3,6.7,42.7,,19,0.38,0.236,0.08,2.1,,,6, ,22.65,8.770053476,,
20/10/1986,7,84,18.6,6.8,39.7,,17.7,0.22,1.967,0.04,1.5,,,7, ,22.27,8.128342246,,
17/11/1986,8,91,20.3,7,26.6,,70,0.05,0.056,0.06,0.27,,,7, ,12.61,4.49197861,,
15/12/1986,7,90,23.5,6.4,25.7,,14,0.315,0.119,0.06,1.1,,,6, ,14.67,4.919786096,,
02/02/1987,,,,,,,,,0.036,,,,,, ,,,,
09/03/1987,6,77,20.3,7,39,,27,0.183,0.066,0.09,0.7,,,8, ,12.37,7.058823529,,600
06/04/1987,,,,,,,,,0.062,,,,,, ,,,,
11/05/1987,3,40,17,6.8,55,,3.9,1.908,0.04,0.14,4.8,,,, ,3.57,3.422459893,,44
15/06/1987,,,,,,,,,0.034,,,,,, ,,,,
13/07/1987,,,,,,,,,0.087,,,,,, ,,,,
17/08/1987,10,107,14.8,7.6,45.6,,8,,0.071,0.01,0.4,,,, ,13.11,4.278074866,,20
07/09/1987,8,84,13.2,6.8,24,,22,0.088,0.15,0.21,0.56,,,, ,9.89,5.77540107,,50
12/10/1987,,,,,,,,,0.061,,,,,, ,,,,
09/11/1987,7,93,22.2,6.6,16.2,,6.4,0.016,0.24,0.01,0.32,,,, ,16.33,5.77540107,,0
07/12/1987,8,105,25.5,7.1,19.2,,10.6,0.009,0.09,0.01,0.21,,,, ,20.28,6.417112299,,60
11/01/1988,10,136,27.7,8,34.4,,6.9,0.014,0.03,0.01,0.02,,,, ,25.28,6.631016043,,100
15/02/1988,,,,,,,,,0.141,,,,,, ,,,,
15/03/1988,,,,,,,,,0.029,,,,,, ,,,,
18/04/1988,8,87,17.2,6.7,11.8,,8.2,0.023,0.038,,0.2,,,, ,3.6,8.342245989,,0
16/05/1988,9,92,14.4,6.5,16.4,,12.9,0.018,0.042,0.01,0.4,,,, ,2.2,8.128342246,,300
14/06/1988,9,92,13.1,7,24,,21,,0.05,0.01,0.33,,,, ,1.56,,,600
25/07/1988,,,11.7,7.1,21,,,,0.058,0.23,,,1.07,, ,2.9,,,100
25/07/1988,9,91,11.7,7.1,21,,13,0.052,0.032,0.23,0.54,,,, ,2.89,7.700534759,,100
05/09/1988,,,15.4,6.6,24,,,,0.025,0.08,,,0.75,, ,6.9,,,180
05/09/1988,8,89,15.4,6.6,24,,13,,0.038,0.08,0.34,,,, ,6.9,,,180
20/09/1988,,,14.9,7,31,,,,0.043,0.49,,,1.43,, ,10.5,,,8000
20/09/1988,8,87,14.9,7,31,,23,,0.038,0.49,0.2,,,, ,10.46,6.631016043,,8000
17/10/1988,,,20,7,32,,,,0.033,0.03,,,0.87,, ,22,,,31
17/10/1988,9,107,20,7,32,,6,0.199,0.136,0.03,0.29,,,, ,32.02,2.139037433,,30
21/11/1988,,,21.7,6.9,45,,,,0.08,1.2,,,25.04,, ,42.8,,,81
21/11/1988,3,37,21.7,6.9,45,,6,,0.126,1.2,0.74,,,, ,42.8,,,80
19/12/1988,,,,,,,,,0.02,,,,,, ,,,,
23/01/1989,,,24.2,7,15,,,,0.016,0.03,,,0.34,, ,7.9,,,180
23/01/1989,6,82,24.2,7,15,,12,,0.025,0.03,0.09,,,, ,7.94,,,180
20/02/1989,,,24.1,7.2,17.6,,,,0.018,0.01,,,0.61,, ,33.4,,,51
20/02/1989,7,86,24.1,7.2,17.6,,7,,0.012,0.01,0.17,,,, ,33.37,,,50
20/03/1989,,,22.1,7.4,26.9,,,,0.02,0.03,,,0.54,, ,9.7,,,240
20/03/1989,8,100,22.1,7.4,26.9,,8,,0.046,0.03,0.16,,,, ,9.66,,,240
10/04/1989,,,18.1,7,13,,,,0.013,,,,,, ,,,,180
10/04/1989,8,95,18.1,7,13,,19,,0.037,,,,,, ,,,,180
17/04/1989,,,18.1,7.1,13,,,,0.379,0.07,,,0.8,, ,1.4,,,120
17/04/1989,8,96,18.1,7.1,13,,13,,0.013,0.07,0.14,,,, ,1.36,,,120
15/05/1989,,,16.7,7.2,15,,,,0.026,0.03,,,0.49,, ,1.6,,,210
15/05/1989,8,92,16.7,7.2,15,,7,,0.033,0.03,0.21,,,, ,1.6,,,210
19/06/1989,,,12.1,7.1,16,,,,0.025,0.16,,,0.92,, ,0.7,,,1000
19/06/1989,9,95,12.1,7.1,16,,7,,0.018,0.16,0.41,,,, ,0.71,,,1000
24/07/1989,,,8.9,7,21,,,,0.028,0.19,,,1.29,, ,1.6,,,200
24/07/1989,10,94,8.9,7,21,,7,,0.047,0.19,0.63,,,, ,1.59,,,200
21/08/1989,,,11.8,7.3,25,,,,0.034,0.24,,,1.25,, ,8.2,,,61
21/08/1989,10,98,11.8,7.3,25,,5,,0.032,0.24,0.5,,,, ,8.21,,,60
25/09/1989,,,15.4,7.2,20,,,,0.145,0.09,,,0.63,, ,9.3,,,61
25/09/1989,9,95,15.4,7.2,20,,10,,0.014,0.09,0.27,,,, ,9.34,,,60
09/10/1989,,,17.8,6.8,17,,,,0.015,0.14,,,0.45,, ,,,,33
09/10/1989,8,91,17.8,6.8,17,,5,,0.016,0.14,0.27,,,, ,,,,32
16/10/1989,,,20.9,7.3,21,,,,0.017,0.3,,,0.92,, ,24.5,,,
16/10/1989,10,118,20.9,7.3,21,,9,,0.02,0.3,0.36,,,, ,24.5,,,
07/11/1989,,,21.9,7.4,34,,,,0.02,0.4,,,2.01,, ,46.5,,,31
07/11/1989,11,129,21.9,7.4,34,,7,,0.025,0.4,1.31,,,, ,46.5,,,30
11/12/1989,,,23.8,7,40,,,,0.021,0.26,,,1.27,, ,30.6,,,61
11/12/1989,7,92,23.8,7,40,,8,,0.03,0.26,0.7,,,, ,30.6,,,60
15/01/1990,,,24.2,7.5,51,,,,0.02,1.53,,,3.29,, ,24.7,,,
15/01/1990,10,123,24.2,7.5,51,,8,,0.028,1.53,1.05,,,, ,24.7,,,
09/02/1990,,,22.9,7.2,24,,,,0.05,0.27,,,0.6,, ,6.7,,,8000
09/02/1990,7,87,22.9,7.2,24,,114,,0.02,0.27,0.23,,,, ,6.7,,,8000
12/02/1990,7,86,20,6.9,16,41,230,,0.034,0.13,0.11,,,, ,4.4,,,4100
20/03/1990,,,21.3,6.2,14,,,,0.076,0.06,,,0.46,, ,5.2,,,190
20/03/1990,7,91,21.3,6.2,14,,8,,0.052,0.06,0.22,,,, ,5.2,,,190
23/04/1990,8,,,,,10,,,0.03,,,,,, ,,,,
30/04/1990,,,16.6,6,13,,,,0.05,0.05,,,0.6,, ,2,,,
30/04/1990,8,91,16.6,6,13,,6,,0.045,0.05,0.41,,,, ,2,,,
28/05/1990,,,14.3,7.1,10,,,,0.068,0.06,,,0.73,, ,1.8,,,470
28/05/1990,9,98,14.3,7.1,10,,13,,0.137,0.06,0.08,,,, ,1.8,,,470
25/06/1990,,,10.5,6.8,21,,,,0.022,0.13,,,0.83,, ,2,,,
25/06/1990,10,94,10.5,6.8,21,,5,,0.035,0.13,0.61,,,, ,2,,,
24/07/1990,,,11.2,7.2,26,,,,0.037,0.1,,,0.44,, ,19.6,,,
24/07/1990,10,97,11.2,7.2,26,,6,,0.037,0.1,0.1,,,, ,19.6,,,
20/08/1990,,,11.1,6.2,15,,,,0.028,0.12,,,0.85,, ,0.7,,,
20/08/1990,10,98,11.1,6.2,15,,23,,0.019,0.12,0.53,,,, ,0.7,,,
17/09/1990,,,13.4,7.2,24,,,,0.019,0.01,,,0.63,, ,4.9,,,1400
17/09/1990,9,96,13.4,7.2,24,,37,,0.026,0.01,0.28,,,, ,4.9,,,1400
24/09/1990,,,,,,,,,0.016,,,,,, ,6.6,,,
15/10/1990,,,18.4,6.9,23,,,,0.025,0.25,,,1.06,, ,8.6,,,
15/10/1990,8,91,18.4,6.9,23,,5,,0.02,0.25,0.76,,,, ,8.6,,,
12/11/1990,,,21.3,6.6,32,,,,0.019,0.31,,,2.15,, ,20,,,
12/11/1990,9,115,21.3,6.6,32,,5,,0.028,0.31,1.5,,,, ,20,,,
12/12/1990,,,24.8,6.6,40,,,,0.014,0.41,,,3.65,, ,4,,,
12/12/1990,6,81,24.8,6.6,40,,5,,0.014,0.41,3,,,, ,4,,,
02/01/1991,,,28.7,7.2,43,,,,0.028,0.09,,,2.56,, ,12,,,
02/01/1991,7,99,28.7,7.2,43,,6,0.006,0.007,0.09,2.16,,,, ,12,1.28342246,,
07/01/1991,,,26.7,7,48,,,,0.021,0.22,,,15.18,, ,13.3,,,
07/01/1991,7,94,26.7,7,48,,6,,0.011,0.22,2.18,,,, ,13.3,,,
05/02/1991,,,28,8.4,51,,,,0.016,0.03,,,1.41,, ,24.4,,,
05/02/1991,9,116,28,8.4,51,,6,,0.018,0.03,0.79,,,, ,24.4,,,
21/02/1991,,,25.3,7,57,,,,0.011,0.05,,,3.04,, ,23.9,,,
21/02/1991,8,99,25.3,7,57,,5,,0.007,0.05,2.32,,,, ,23.9,,,
05/03/1991,,,24.9,7.5,30,,,,0.01,0.14,,,0.84,, ,8.8,,,
05/03/1991,6,85,24.9,7.5,30,,4,,0.023,0.14,0.28,,,, ,8.8,,,
02/04/1991,,,22,6.7,37,,,,0.003,0.17,,,3.03,, ,9.5,,,
02/04/1991,5,69,22,6.7,37,,4,,0.008,0.17,2.5,,,, ,9.5,,,
30/04/1991,,,15.9,7,14,,,,0.013,,,,,, ,3,,,
30/04/1991,9,93,15.9,7,14,,5,,0.008,,,,,, ,3,,,
24/05/1991,,,15,7.1,14,,,,0.009,0.19,,,1.35,, ,18.5,,,21
24/05/1991,8,84,15,7.1,14,,6,,0.013,0.19,0.75,,,, ,18.5,,,20
28/05/1991,,,16,7,14,,,,0.014,0.15,,,1.38,, ,8.9,,,31
28/05/1991,8,92,16,7,14,,3,,0.03,0.15,0.87,,,, ,8.9,,,30
04/06/1991,,,14.6,7.1,19,,,,0.008,0.14,,,2.21,, ,14.9,,,25
04/06/1991,8,86,14.6,7.1,19,,5,,0.012,0.14,1.57,,,, ,14.9,,,24
11/06/1991,,,14.5,6.6,7,,,,0.009,0.01,,,1.1,, ,7.2,,,3000
11/06/1991,9,95,14.5,6.6,7,88,380,0.013,0.017,0.01,0.3,,,, ,7.2,5.13368984,,3000
19/06/1991,,,13.4,6.7,10,,,,0.009,0.05,,,0.85,, ,1.8,,,65
19/06/1991,9,90,13.4,6.7,10,23,41,0.007,0.011,0.05,0.53,,,, ,1.8,5.77540107,,64
25/06/1991,,,12.8,6.6,16,,,,0.011,0.07,,,1.12,, ,1.6,,,33
25/06/1991,9,89,12.8,6.6,16,13,23,,0.014,0.07,0.84,,,, ,1.6,7.058823529,,32
