Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonium_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL,Conductivity
14/09/2018,0.429072894,21.4,,9,0.01,1.98,2.84,0.028,,0.014,,,,2.9,,95,69,926
4/10/2018,0.394410244,18.6,,7.8,0.02,2.22,3.11,0.052,,0.026,,,,14.3,,160,83,857
31/10/2018,0.468022576,20.6,,7.6,0.02,2.26,3.24,0.043,,0.023,,,,3.5,,100,82,1003
14/11/2018,0.414475885,21.5,,7.5,0.02,1.86,2.74,0.033,,0.028,,,,2.5,,210,81,897
