Date,Conductivity_microSpercm,TN_mgperL,TP_mgperL,TSS_mgperL,Ammonium_mgperL,NOx_mgperL,Chlorophyll_mgperm3,Temp_degC,Sal_gperL,DO_mgperL,FRP_mgperL
25/07/2013,808.2,1.4,0.21,28,,1.67,9,10.39,0.370041684,NaN,NaN
27/08/2013,784.5,1.6,0.05,17,,1.49,70,13.33,0.358253017,NaN,NaN
10/09/2013,610.1,1.3,0.04,12,,1.49,27,18.76,0.272527846,NaN,NaN
17/10/2013,580.6,2.4,0.03,13,,1.08,8,20.98,0.258224285,NaN,NaN
14/11/2013,397.8,2.6,0.08,22,,1.45,2,21.18,0.171146095,NaN,NaN
19/11/2013,247.3,2.2,0.22,48,,1.03,1,18.66,0.102047141,NaN,NaN
17/12/2013,949.8,1.1,0.04,24,0.01,0.16,49,26.12,0.441082591,NaN,NaN
15/01/2014,985.5,0.9,0.04,23,0.01,0.2,19,26.76,0.459146553,NaN,NaN
13/02/2014,951.8,1.5,0.02,12,0.02,0.78,16,25.75,0.442093023,NaN,NaN
11/03/2014,698.4,1.7,0.05,14,0.03,0.99,8,24.58,0.315695383,NaN,NaN
9/04/2014,920.5,1.9,0.11,5,0.06,1.1,5,20.53,0.426301372,NaN,NaN
21/05/2014,859.8,3,0.03,6,0.06,2.08,3,15.36,0.395812207,NaN,NaN
11/06/2014,418.1,1.9,0.03,9,0.04,1.19,4,13.87,0.180667575,NaN,NaN
7/07/2014,795.3,2.6,0.04,5,0.05,1.8,1,9.49,0.363621246,NaN,NaN
18/08/2014,377.6,2.1,0.31,50,0.22,0.31,2,13.46,0.161713785,NaN,NaN
3/09/2014,882,4.6,0.33,37,0.1,2.61,1,14.21,0.406941869,NaN,NaN
22/09/2014,890,2.4,0.1,15,0.02,1.33,9,17.21,0.410958623,NaN,NaN
13/10/2014,939,2,0.04,16,0.06,1.22,7,20.34,0.435629498,NaN,NaN
17/11/2014,718.4,1.7,0.14,21,0.04,0.58,14,22.88,0.325541931,NaN,NaN
8/12/2014,314.8,1.8,0.17,54,0.07,0.94,1,23.51,0.132682553,NaN,NaN
15/12/2014,722.2,2.1,0.18,36,0.16,0.78,1,22.93,0.327415518,NaN,NaN
19/01/2015,621.8,1.2,0.21,12,0.06,0.76,10,25.79,0.278217791,NaN,NaN
17/02/2015,673.4,1,0.04,8,0.12,0.38,4,25.07,0.303422051,NaN,NaN
16/03/2015,801.6,1.1,0.05,9,0.06,0.42,5,21.36,0.366755676,NaN,NaN
20/04/2015,657,1.7,0.06,29,0.05,1.13,1,19.75,0.295392359,NaN,NaN
14/05/2015,935.8,3.3,0.2,25,0.01,1.9,2,14.11,0.434014821,NaN,NaN
16/06/2015,1122,4.9,0.06,12,0.07,3.54,1,15.23,0.528729909,NaN,NaN
21/07/2015,1203,3.1,0.14,24,0.01,1.8,8,10.73,0.570380405,NaN,NaN
24/08/2015,1216,3.5,0.05,8,0.09,2.5,3,16.58,0.577088461,NaN,NaN
15/09/2015,1339,3.2,0.08,21,0.1,2.11,2,17.41,0.640860582,NaN,NaN
7/10/2015,1118,3.1,0.04,7,0.03,2.08,6,20.29,0.526679776,NaN,NaN
11/11/2015,1428,2.8,0.07,15,0.04,1.61,1,21.63,0.687329513,NaN,NaN
15/12/2015,1073,1.6,0.04,12,0.03,1.02,11,24.92,0.503660655,NaN,NaN
4/01/2016,567,1.4,0.12,13,0.2,0.45,4,21.77,0.25165137,NaN,NaN
19/01/2016,851.6,1.8,0.14,24,0.01,0.84,2,23.97,0.391707594,NaN,NaN
16/02/2016,1032,2.7,0.15,14,0.01,1.49,13,26.69,0.482761272,NaN,NaN
