Date,Conductivity_microSpercm,TN_mgperL,TP_mgperL,TSS_mgperL,Ammonium_mgperL,NOx_mgperL,Chlorophyll_mgperm3,Temp_degC,Sal_gperL,DO_mgperL,FRP_mgperL
15/12/2017,2298,0.7,0.07,14,0.03,0.07,6,22.7,1.15326259,NaN,NaN
28/03/2018,688,1.2,0.03,46,0.07,0.81,5,21.2,0.31058491,NaN,NaN
25/06/2018,784,3.3,0.04,16,0.1,2.39,2,10.3,0.358004645,NaN,NaN
3/09/2018,884,2.3,0.02,10,0.03,1.47,,13.7,0.407945758,NaN,NaN
10/09/2018,900,1.7,0.03,19,0.11,1.06,2,15.2,0.415984022,NaN,NaN
8/10/2018,739,2.7,0.06,36,0.19,1.91,3,17.7,0.335709065,NaN,NaN
19/11/2018,1038,1.8,0.06,36,0.09,0.82,11,20.9,0.485815234,NaN,NaN
5/02/2019,554,1.2,0.09,13,20,0.37,2,28.9,0.245381361,NaN,NaN
15/03/2019,266,2.5,0.24,84,0.24,0.94,2,22.6,0.110468356,NaN,NaN
13/05/2019,669,4.3,0.04,19,0.02,2.94,1,15.6,0.30126604,NaN,NaN
8/07/2019,526,1.5,0.06,23,0.04,0.86,1,14.3,0.231920928,NaN,NaN
25/11/2019,921,1.9,0.02,12,0.03,1.32,9,26.5,0.426553268,NaN,NaN
29/01/2020,592,1,0.04,16,0.02,0.31,0.01,29.3,0.263744372,NaN,NaN
