Variable,River,Coorong,Lakes
nSAL,10.0000,35.0000,20.0000, 0.2000, 0.2000, 0.1500, 0.1000, 0.1000,
nTEMP,14.0000,16.0000,14.5000,14.5000,14.5000,13.0000,12.0000,12.0000,
nWQ_NCS_SS1, 5.2000, 5.2000, 5.2000, 5.2000, 5.2000, 5.2000, 5.2000, 5.2000,
nWQ_OXY_OXY,301.8750,301.8750,301.8750,301.8750,301.8750,301.8750,301.8750,301.8750,
nWQ_SIL_RSI,298.0000,298.0000,298.0000,298.0000,518.0000,64.0000,80.0000,80.0000,
nWQ_NIT_AMM, 0.4900, 0.5300, 1.0700, 1.4600, 0.7900, 1.4800, 5.7600, 7.6000,
nWQ_NIT_NIT, 9.1000, 1.8000, 3.3000,27.3900,18.7000,25.0000,30.0000,149.0000,
nWQ_PHS_FRP, 0.3972, 0.3972, 0.3972, 0.2300, 0.1200, 0.1800, 0.1200, 0.7500,
nWQ_PHS_FRP_ADS, 0.0397, 0.0397, 0.0397, 0.0230, 0.0120, 0.0180, 0.0120, 0.0750,
nWQ_OGM_DOC,104.1667,208.3333,208.3333,208.3333,208.3333,208.3333,208.3333,416.6667,
nWQ_OGM_POC,104.1667,208.3333,208.3333,208.3333,208.3333,208.3333,208.3333,416.6667,
nWQ_OGM_DON, 8.2050, 5.8350, 8.3150, 9.0750, 7.2550, 9.2600,-2.3800,27.7000,
nWQ_OGM_PON, 8.2050, 5.8350, 8.3150, 9.0750, 7.2550, 9.2600,-2.3800,27.7000,
nWQ_OGM_DOP, 0.0965, 0.0565, 0.1065, 0.2635, 0.1890, 0.1310, 0.0990, 0.6625,
nWQ_OGM_POP, 0.0965, 0.0565, 0.1065, 0.2635, 0.1890, 0.1310, 0.0990, 0.6625,
nWQ_PHY_GRN, 0.0000, 0.0000, 4.3542,11.8438,11.4583, 6.1354, 3.3167,11.0833,
nWQ_PHY_BGA, 5.8958, 5.0000, 4.3542,11.8438,11.4583, 6.1354, 3.3167,11.0833,
nWQ_PHY_FDIAT, 0.0000, 0.0000, 4.3542,11.8438,11.4583, 6.1354, 3.3167,11.0833,
nWQ_PHY_MDIAT, 5.8958, 5.0000, 4.3542,11.8438,11.4583, 6.1354, 0.0000, 0.0000,
nWQ_TRC_AGE, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
