Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_nmmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2012 00:00,0.6688,0.0231,23.6086,0.0000,265.3219259,0,3.52822729,30.4458244,0.195165849,0,11.18427847,0,0,0,0.003982977,0.09524509,0.0000,0.0000,0.0000,0.0000,0.0000,0.2435,0.0000,0.0000
02/01/2012 00:00,0.7698,0.0231,23.8352,0.0000,264.3178628,0,2.354312574,25.42692396,0.257689037,0,14.76346131,0,0,0,0.00525896,0.125757738,0.0000,0.0000,0.0000,0.0000,0.0000,0.2840,0.0000,0.0000
03/01/2012 00:00,0.7372,0.0231,24.8000,0.0000,260.24195,0,0.357142857,21.27076696,0.193723756,0,39.41878407,0,3.840204513,0,0.003953546,0.094541318,0.0000,0.0000,0.0000,0.0000,0.0000,0.1986,0.0000,0.0000
04/01/2012 00:00,0.7373,0.0231,24.8000,0.0000,260.24195,0,3.327013448,5.714285714,0.198850328,0,29.25562431,0,13.29626426,0,0.00405817,0.097043194,0.0000,0.0000,0.0000,0.0000,0.0000,0.1824,0.0000,0.0000
05/01/2012 00:00,0.7762,0.0231,23.1127,0.0000,267.5818705,0,2.582703247,30.24177381,0.190012437,0,23.57298638,0,0,0,0.003877805,0.092730116,0.0000,0.0000,0.0000,0.0000,0.0000,0.1888,0.0000,0.0000
06/01/2012 00:00,0.7637,0.0231,24.2112,0.0000,262.6908982,0,3.88573159,16.69694851,0.233998138,0,9.181980149,0,20.71014651,0,0.004775472,0.114196074,0.0000,0.0000,0.0000,0.0000,0.0000,0.3152,0.0000,0.0000
07/01/2012 00:00,0.8402,0.0231,24.6420,0.0000,260.8873457,0,2.788835163,7.2351751,0.146179915,0,8.333333333,0,7.512440628,0,0.002983264,0.071338912,0.0000,0.0000,0.0000,0.0000,0.0000,0.2050,0.0000,0.0000
08/01/2012 00:00,0.7140,0.0231,24.8000,0.0000,260.24195,0,2.011510204,36.53145812,0.180875344,0,8.333333333,0,0,0,0.003691334,0.08827102,0.0000,0.0000,0.0000,0.0000,0.0000,0.2108,0.0000,0.0000
09/01/2012 00:00,0.7330,0.0231,24.6664,0.0000,260.7869663,0,0.357142857,5.714285714,0.146539535,0,8.333333333,0,26.07283277,0,0.002990603,0.071514414,0.0000,0.0000,0.0000,0.0000,0.0000,0.2524,0.0000,0.0000
10/01/2012 00:00,0.6370,0.0231,24.2783,0.0000,262.4056228,0,0.357142857,22.87773352,0.159399942,0,28.31785098,0,0,0,0.00325306,0.077790566,0.0000,0.0000,0.0000,0.0000,0.0000,0.1756,0.0000,0.0000
