Site,X,Y
Bargo.csv,280985.291,6209939.698
Cattai.csv,304141.964,6284427.100
Cobbity.csv,284682.347,6236230.844
Colo_2.csv,297240.422,6299118.792
Currency.csv,302833.279,6291394.838
Erskine.csv,276822.278,6252226.154
FootOnslow.csv,291446.169,6222643.235
Glenbrook.csv,281771.369,6259829.105
Jerrys.csv,281401.802,6250988.435
LittleCattai.csv,304829.827,6287666.081
Marsden_SthCk.csv,298797.885,6274269.277
Matahil.csv,286349.890,6229875.662
McKenzie_SthCk.csv,299684.062,6279839.722
MtHunter.csv,283681.821,6232944.083
Mulgoa.csv,282749.342,6261070.767
Patonga.csv,340075.760,6285088.949
Redbank.csv,290013.232,6282486.843
Rickabys.csv,297181.512,6279569.442
SC001_SthCk.csv,298160.861,6278999.131
SC002_SthCk.csv,298561.457,6274234.131
SC003_SthCk.csv,297487.177,6272867.855
SC010_SthCk.csv,299409.093,6274541.754
SC011_SthCk.csv,298031.398,6277411.636
SC012_SthCk.csv,298032.769,6278304.732
SC014_SthCk.csv,298050.025,6277861.468
SC020_SthCk.csv,298200.799,6275455.432
SC10.csv,281619.095,6248309.049
SC11.csv,281772.039,6243198.877
SC12.csv,280669.662,6242476.855
SC125_SthCk.csv,298138.640,6278859.290
SC126_SthCk.csv,299462.060,6279271.560
SC127_SthCk.csv,299096.923,6274821.110
SC13.csv,280166.092,6241363.764
SC130_SthCk.csv,297805.388,6271748.871
SC131_SthCk.csv,297523.882,6271479.370
SC14.csv,280950.216,6239982.419
SC15.csv,280908.351,6240046.506
SC16.csv,279912.115,6240582.423
SC17.csv,283148.489,6233647.784
SC177_SthCk.csv,299573.121,6279969.894
SC198.csv,311346.071,6307022.665
SC199.csv,314756.877,6302409.035
SC20.csv,284137.496,6232323.755
SC207.csv,306452.462,6300496.252
SC208.csv,316726.937,6302175.920
SC209.csv,313466.334,6302743.687
SC21.csv,286439.484,6232065.779
SC210.csv,297916.669,6299857.122
SC211.csv,299065.050,6300326.856
SC212.csv,298490.404,6299314.970
SC213.csv,304465.379,6299879.018
SC214.csv,304194.213,6299371.533
SC215.csv,302113.388,6298697.393
SC216.csv,309184.552,6299438.423
SC217.csv,301605.443,6299125.586
SC218.csv,309706.457,6299781.286
SC219.csv,304923.108,6292475.183
SC22.csv,283355.764,6236914.969
SC220.csv,304762.298,6296435.494
SC221.csv,304905.069,6295895.743
SC222.csv,302799.707,6292147.155
SC223.csv,304845.255,6292560.632
SC224.csv,307321.132,6290139.110
SC225.csv,302417.562,6293622.095
SC23.csv,285777.052,6229855.204
SC230.csv,294062.772,6283203.805
SC231.csv,302661.328,6285094.075
SC232.csv,299343.306,6283221.086
SC234.csv,297990.635,6298710.240
SC24.csv,284961.711,6232458.370
SC25.csv,288035.599,6230132.099
SC26.csv,287768.043,6228353.205
SC273.csv,301258.703,6283814.005
SC274.csv,290364.124,6283106.930
SC276.csv,298010.081,6281924.791
SC277.csv,287289.134,6280237.743
SC278.csv,299196.684,6281866.309
SC279.csv,297054.280,6279873.905
SC28.csv,291199.080,6226976.025
SC283.csv,304048.920,6283920.104
SC287.csv,297766.332,6280857.830
SC288.csv,286620.163,6278577.927
SC290.csv,284727.312,6276808.067
SC292.csv,283842.493,6273456.292
SC295.csv,283445.173,6272196.028
SC297.csv,283892.493,6274166.111
SC301.csv,282880.889,6271187.698
SC306.csv,282878.509,6267575.210
SC308.csv,283084.496,6269504.242
SC32.csv,293085.251,6222027.165
SC33.csv,292924.405,6220591.191
SC330.csv,282751.426,6267012.712
SC331.csv,285440.405,6263794.568
SC332.csv,284783.264,6264983.850
SC333.csv,282695.771,6265694.562
SC339.csv,285588.023,6264297.542
SC341.csv,283596.363,6261860.646
SC346.csv,280469.233,6257379.650
SC35.csv,288380.571,6226869.147
SC351.csv,279498.758,6255714.535
SC355.csv,279300.842,6251042.824
SC356.csv,280349.945,6250549.969
SC359.csv,282320.772,6260534.460
SC36.csv,292378.904,6216561.046
SC378.csv,313293.901,6304222.884
SC379.csv,283189.817,6272072.814
SC39.csv,292867.792,6217477.974
SC390.csv,280868.646,6238975.613
SC395.csv,281816.153,6212881.957
SC397.csv,281392.874,6250143.199
SC398.csv,281511.623,6245801.844
SC399.csv,282648.822,6244860.479
SC40.csv,280785.997,6211353.920
SC400.csv,282579.477,6244441.730
SC401.csv,280439.900,6241931.619
SC402.csv,281033.549,6238310.202
SC403.csv,282306.162,6237728.196
SC405.csv,281715.293,6238069.727
SC406.csv,283039.495,6234041.433
SC407.csv,291614.952,6226441.635
SC408.csv,289040.886,6226759.094
SC409.csv,291547.272,6225822.583
SC41.csv,285938.626,6215035.125
SC410.csv,290094.851,6226805.126
SC411.csv,291962.760,6222514.507
SC412.csv,289119.568,6214229.836
SC413.csv,282329.378,6212779.312
SC414.csv,292214.884,6215294.383
SC415.csv,284060.590,6212663.969
SC416.csv,282273.470,6208873.975
SC417.csv,283420.858,6209370.449
SC418.csv,281844.548,6209072.446
SC419.csv,290227.589,6213548.886
SC420.csv,290582.614,6212008.680
SC421.csv,291382.677,6224556.456
SC422.csv,336782.333,6291697.094
SC423.csv,330904.933,6291179.007
SC424.csv,344276.743,6285627.007
SC425.csv,320272.525,6295953.918
SC426.csv,328244.090,6295714.044
SC427.csv,318728.841,6298369.179
SC428.csv,324079.116,6294102.217
SC429.csv,329178.990,6295808.672
SC43.csv,287085.976,6214667.930
SC430.csv,334952.299,6287534.148
SC431.csv,328089.419,6292549.420
SC432.csv,328812.307,6298048.647
SC433.csv,344047.196,6287954.238
SC434.csv,343995.869,6287152.964
SC436.csv,337295.351,6288115.095
SC438.csv,335193.980,6284691.639
SC44.csv,281515.690,6211637.730
SC440.csv,329266.859,6295415.290
SC441.csv,325249.233,6290604.143
SC442.csv,337277.101,6298094.102
SC446.csv,333645.422,6294304.259
SC448.csv,326152.253,6287175.914
SC449.csv,328658.087,6288454.741
SC450.csv,333138.487,6287308.055
SC452.csv,327028.236,6286355.806
SC454.csv,334371.858,6284121.793
SC455.csv,335028.593,6283819.078
SC456.csv,329407.899,6286109.774
SC457.csv,343242.002,6281759.339
SC458.csv,328810.518,6283810.001
SC459.csv,325916.585,6282287.713
SC460.csv,338613.887,6281186.186
SC461.csv,341187.491,6278243.787
SC464.csv,332600.844,6281795.159
SC466.csv,337973.249,6280532.241
SC469.csv,326989.934,6282586.917
SC470.csv,335288.080,6279103.160
SC471.csv,330322.180,6277709.486
SC473.csv,325922.442,6278925.047
SC476.csv,330010.653,6276645.161
SC478.csv,332164.185,6277241.845
