Var,Zone 1a,Zone 1b,Zone 1c,Zone 2a,Zone 2b,Zone 3,Zone 4,Zone SC,
WQ_NCS_SS1,0.0000,Unknown,Unknown,11.0000,0.0000,10.4000,1.0000,Unknown,
WQ_OXY_OXY,0.0000,0.0000,0.0000,310.9375,0.0000,301.8750,341.6667,233.1250,
WQ_SIL_RSI,0.0000,Unknown,0.0000,267.5044,645.6406,59.5730,81.7319,0.0000,
WQ_NIT_AMM,0.5357,0.7143,1.6875,0.9286,0.9603,0.5617,5.3631,12.0000,
WQ_NIT_NIT,3.9286,1.4286,7.3393,19.6905,15.5151,19.6011,22.1786,124.1429,
WQ_PHS_FRP,0.0000,0.0000,0.3972,0.2323,0.1869,0.1606,0.1659,2.4387,
WQ_PHS_FRP_ADS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_DOC,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,Unknown,
WQ_OGM_POC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_DON,0.0000,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_PON,0.0000,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_DOP,0.0000,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_POP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_GRN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_BGA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_FDIAT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_MDIAT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_TRC_AGE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_DIAG_TOT_TN,19.2857,13.5714,30.9196,44.3122,32.3111,38.3874,35.4576,201.2857,
WQ_DIAG_TOT_TP,0.6452,0.6129,0.8724,0.8275,0.5708,0.4636,0.4533,5.1290,
WQ_DIAG_PHY_TCHLA,3.7030,2.1239,5.3747,8.4181,9.3363,6.1642,1.0821,6.0400,
ECLOI,Unknown,Unknown,Unknown,Unknown,0.0000,1.4167,Unknown,Unknown,
ENT,0.0000,Unknown,Unknown,37.0000,0.0000,3.2500,0.0000,Unknown,
FC,0.0000,Unknown,Unknown,31.2778,0.0000,4.5313,20.0000,Unknown,
