FVC file = HN_Cal_2014.fvc, Simulation Execution: 14/02/2020 17:01:03
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.33866800000000E+06, 0.62933740000000E+07,  0.0000000E+00,  0.1126987E+03,  0.1126987E+03,,,          16,          16
, 0.32972000000000E+06, 0.62745750000000E+07,  0.4998316E+00,  0.0000000E+00,  0.2155696E+03,        1867,           0,          17,          17
, 0.32963778400000E+06, 0.62745053000000E+07,  0.0000000E+00,  0.1077848E+03,  0.2155696E+03,        1866,           0,          17,          17
, 0.32955556800000E+06, 0.62744356000000E+07,  0.0000000E+00,  0.2155696E+03,  0.2155696E+03,,,          17,          17
, 0.33419549900000E+06, 0.62764513800000E+07,  0.0000000E+00,  0.0000000E+00,  0.1700270E+03,        1570,           0,          18,          18
, 0.33415225000000E+06, 0.62763781900000E+07,  0.0000000E+00,  0.8501324E+02,  0.1700270E+03,        1571,           0,          18,          18
, 0.33410900000000E+06, 0.62763050000000E+07,  0.0000000E+00,  0.1700270E+03,  0.1700270E+03,,,          18,          18
, 0.33652107700000E+06, 0.62762261800000E+07,  0.0000000E+00,  0.0000000E+00,  0.1310851E+03,        1518,           0,          19,          19
, 0.33646703800000E+06, 0.62761890900000E+07,  0.0000000E+00,  0.6554298E+02,  0.1310851E+03,        1519,           0,          19,          19
, 0.33641300000000E+06, 0.62761520000000E+07,  0.0000000E+00,  0.1310851E+03,  0.1310851E+03,,,          19,          19
, 0.33799100000000E+06, 0.62981750000000E+07,  0.0000000E+00,  0.0000000E+00,  0.8475848E+02,        2312,           0,          20,          20
, 0.33796300000000E+06, 0.62980950000000E+07,  0.0000000E+00,  0.8475848E+02,  0.8475848E+02,,,          20,          20
, 0.32268200000000E+06, 0.62890910000000E+07,  0.5000000E+00,  0.0000000E+00,  0.1531176E+03,        2437,           0,          21,          21
, 0.32268800000000E+06, 0.62892440000000E+07,  0.0000000E+00,  0.1531176E+03,  0.1531176E+03,,,          21,          21
, 0.33239700000000E+06, 0.63000830000000E+07,  0.0000000E+00,  0.0000000E+00,  0.2602787E+03,        3157,           0,          22,          22
, 0.33231800000000E+06, 0.62998350000000E+07,  0.0000000E+00,  0.2602787E+03,  0.2602787E+03,,,          22,          22
, 0.32781200000000E+06, 0.63022020000000E+07,  0.0000000E+00,  0.0000000E+00,  0.2660000E+03,        3137,           0,          23,          23
, 0.32807800000000E+06, 0.63022020000000E+07,  0.0000000E+00,  0.2660000E+03,  0.2660000E+03,,,          23,          23
, 0.34526261200000E+06, 0.62893723900000E+07,  0.0000000E+00,  0.0000000E+00,  0.4670260E+03,         113,           0,          24,          24
, 0.34572000000000E+06, 0.62892780000000E+07,  0.0000000E+00,  0.4670260E+03,  0.4670260E+03,,,          24,          24
, 0.29922830000000E+06, 0.62735030000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1281913E+02,        7929,           0,          25,          25
, 0.29921550000000E+06, 0.62735037000000E+07,  0.0000000E+00,  0.1281913E+02,  0.1281913E+02,,,          25,          25
, 0.29742510000000E+06, 0.62714257000000E+07,  0.0000000E+00,  0.0000000E+00,  0.2629239E+02,        8139,           0,          26,          26
, 0.29741760000000E+06, 0.62714509000000E+07,  0.0000000E+00,  0.2629239E+02,  0.2629239E+02,,,          26,          26
, 0.28514687000000E+06, 0.62082499800000E+07,  0.1329999E+03,  0.0000000E+00,  0.4558037E+02,       10646,           0,          27,          27
, 0.28510397000000E+06, 0.62082345800000E+07,  0.0000000E+00,  0.4558037E+02,  0.4558037E+02,,,          27,          27
, 0.32841100000000E+06, 0.62908580000000E+07,  0.0000000E+00,  0.0000000E+00,  0.6828088E+03,        1933,        1954,          28,          28
, 0.32856819800000E+06, 0.62908569600000E+07,  0.0000000E+00,  0.1572014E+03,  0.6828088E+03,        1934,        1955,          28,          28
, 0.32866548100000E+06, 0.62908666400000E+07,  0.0000000E+00,  0.2549649E+03,  0.6828088E+03,        1935,        1941,          28,          28
, 0.32873318800000E+06, 0.62908829800000E+07,  0.0000000E+00,  0.3246157E+03,  0.6828088E+03,        1917,        1939,          28,          28
, 0.32880104400000E+06, 0.62908998300000E+07,  0.0000000E+00,  0.3945325E+03,  0.6828088E+03,        1915,        1937,          28,          28
, 0.32886843900000E+06, 0.62908694000000E+07,  0.0000000E+00,  0.4684789E+03,  0.6828088E+03,        1914,        1936,          28,          28
, 0.32893620900000E+06, 0.62908910100000E+07,  0.0000000E+00,  0.5396109E+03,  0.6828088E+03,        1916,        1938,          28,          28
, 0.32900413900000E+06, 0.62909131300000E+07,  0.0000000E+00,  0.6110516E+03,  0.6828088E+03,        1918,        1940,          28,          28
, 0.32907223100000E+06, 0.62909357700000E+07,  0.0000000E+00,  0.6828088E+03,  0.6828088E+03,,,          28,          28
, 0.32170619300000E+06, 0.62961496500000E+07,  0.0000000E+00,  0.0000000E+00,  0.5247333E+03,        3304,        3308,          29,          29
, 0.32182652500000E+06, 0.62962019000000E+07,  0.0000000E+00,  0.1311863E+03,  0.5247333E+03,        3305,        3309,          29,          29
