Depth,Sal,Temp,TSS,DO,Si,NH3,NOx,FRP,FRP_ADS,DON,PON,DOP,POP,DOC,POC,PHY_GRN,PHY_GRN_IN,PHY_GRN_IP,PHY_BGA,PHY_BGA_IN,PHY_BGA_IP,PHY_FDIA,PHY_FDIA_IN,PHY_FDIA_IP,PHY_MDIA,PHY_MDIA_IN,PHY_MDIA_IP
  0.0, 0.3,20.8, 9.0,240.6,147.9, 8.57, 88.60,1.100,0.0,0.6,31.20,0.1, 0.98, 250.0, 250.0,4.620000,0.431970,0.025641,0.475200,0.038254,0.002756,1.320000,0.148500,0.006336,0.066000,0.009075,0.000201
100.0, 0.3,20.8, 9.0,240.6,147.9, 8.57, 88.60,1.100,0.0,0.6,31.20,0.1, 0.98, 250.0, 250.0,4.620000,0.431970,0.025641,0.475200,0.038254,0.002756,1.320000,0.148500,0.006336,0.066000,0.009075,0.000201
