Date,Conductivity_microSpercm,Sal_gperL,Temp_degC,TSS_mgperL,Ammonium_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,FRP_mgperL,Chlorophyll_mgperm3
8/07/2019,113,0.043530172,15.7,86,0.01,0.26,1.3,0.23,0.04,27
27/11/2019,2700,1.374324063,19.1,36,0.05,0.01,1,0.23,0.08,3
29/01/2020,1664,0.811749877,29,25,0.01,0.01,0.9,0.13,0.02,0.009
14/02/2020,696,0.314515446,25.8,23,0.05,0.4,1.8,0.27,0.15,8
14/12/2017,1166,0.55132328,31.5,96,0.29,2.04,3.2,0.11,0.01,1
28/02/2018,1221,0.579670164,20.1,53,0.33,0.16,1.2,0.24,0.05,14
28/03/2018,1256,0.597767883,20.7,26,0.03,0.01,0.7,0.1,0.02,7
26/06/2018,1047,0.490399082,9.4,22,0.06,0.03,0.5,0.06,0.01,1
8/10/2018,1008,0.470561092,15.5,43,0.07,0.48,1.3,0.24,0.24,6
19/11/2018,1890,0.932366796,19.5,79,0.99,0.005,1.4,0.24,0.54,2
5/02/2019,1135,0.535397262,26.5,9,0.03,0.03,0.8,0.11,0.04,1
15/03/2019,730,0.33126401,22.6,187,0.04,0.25,1.8,0.42,0.13,7
13/05/2019,1846,0.908779429,13.7,23,0.04,0.07,0.7,0.06,0.01,5
