ID,X,Y,Z
1,346127.5143,6286868.484,-15.66248131
2,346074.2902,6286468.839,-17.83214378
3,345848.5633,6285909.465,-20.05984306
4,345622.8374,6285350.097,-20.18027306
5,345397.113,6284790.737,-20.41518402
6,345171.3914,6284231.377,-20.05670929
7,344945.6717,6283672.024,-14.4016161
8,344769.9583,6283354.38,-4.568202972
9,345655.7342,6286769.706,-16.2699337
10,345571.1177,6286343.238,-17.96271896
11,346026.7327,6287126.884,-13.04973412
12,345651.4093,6287097.956,-14.24906063
13,345386.6011,6285815.749,-18.7960434
14,345202.0965,6285288.293,-18.88589096
15,345017.6066,6284760.882,-19.00569534
16,344833.135,6284233.521,-18.09528923
17,344648.691,6283706.235,-13.14763165
18,344584.625,6283386.047,-6.381575108
19,344463.6667,6283315.667,-6.042694092
20,345085.1803,6286655.948,-14.16549969
21,344985.1203,6286206.107,-15.67247009
22,345129.4418,6287030.62,-12.88957024
23,344847.7249,6285712.153,-16.70678139
24,345844.0078,6287405.477,-13.1537199
25,345590.4183,6287363.4,-12.8688612
26,345157.5643,6287378.916,-11.7481451
27,344710.3294,6285218.206,-16.90081024
28,344572.9371,6284724.27,-16.61786461
29,344435.5484,6284230.342,-16.17042732
30,344298.162,6283736.427,-12.13895321
31,344191.0309,6283359.266,-7.01837492
32,344142.5247,6283098.965,-5.269567013
33,344367,6283049.333,-1.726796031
34,344452.3961,6286511.852,-11.63393497
35,344374.7703,6286075.43,-13.08273888
36,344498.3421,6286902.334,-10.95369625
37,344280.3077,6285614.116,-7.366296768
38,344534.2364,6287274.375,-10.23110676
39,344185.8445,6285152.808,-13.65532112
40,345703.6357,6287676.12,-12.50565147
41,345251.8599,6287743.559,-10.48117161
42,344700.6726,6287671.142,-9.58160305
43,344091.3821,6284691.505,-14.13900375
44,343996.9205,6284230.207,-14.26527882
45,343902.462,6283768.915,-11.94301987
46,343826.6313,6283418.005,-8.61003685
47,343787.1112,6283168.062,-6.878822803
48,344097.5622,6282835.542,-3.714869976
49,344390.7718,6282737.871,-1.854406953
50,344467.3934,6282905.263,-1.940621972
51,343731.573,6282894.857,-5.825246811
52,343856.6055,6286359.866,-11.05575657
53,343801.0716,6285943.11,-5.703732014
54,343900.3604,6286752.111,-10.03665161
55,343742.8059,6285515.425,-8.062492371
56,343939.2348,6287134.589,-9.067299843
57,343684.5405,6285087.736,-12.05162239
58,344338.0893,6287670.427,-8.861059189
59,343949.6563,6287505.868,-8.312786102
60,343626.2748,6284660.042,-12.10844707
61,345387.0449,6288198.218,-2.815404892
62,344917.6864,6288147.756,-8.491991997
63,344451.1032,6288047.947,-8.468156815
64,343568.0069,6284232.338,-12.5374012
65,343509.7371,6283804.621,-11.36659908
66,343464.3832,6283480.972,-9.295781136
67,343436.9291,6283239.275,-7.732227802
68,343374.4339,6282954.497,-6.594421387
69,344017.7996,6282571.739,-3.283940077
70,344316.6821,6282517.563,-1.534508944
71,343618.7236,6282607.377,-5.06060791
72,343233.4889,6282642.197,-5.780478001
73,343352.8175,6286223.423,-8.853862762
74,343315.1146,6285832.716,-7.086643219
75,343387.1397,6286601.039,-9.423604965
76,343280.5779,6285434.533,-10.15853024
77,343420.9442,6286976.468,-8.535290718
78,343246.041,6285036.344,-10.50811195
79,343483.2111,6287348.135,-7.870192051
80,343211.5025,6284638.152,-10.85247517
81,344003.7599,6287927.173,-7.759216785
82,343600.4448,6287752.924,-7.561587811
83,343176.9649,6284239.954,-11.00868893
84,345443.1686,6288679.764,-2.113573074
85,344989.45,6288655.891,-4.055287838
86,345766.5,6288706,-3.287539959
87,344536.2161,6288572.144,-7.188022137
88,344093.9661,6288458.576,-6.924325943
89,343142.4259,6283841.744,-10.56459427
90,343117.111,6283562,-6.240478039
91,343222.25,6283475.917,-7.786004543
92,343210.639,6283317.417,-3.685022593
93,343158.8437,6282995.353,-4.43519783
94,343921.7182,6282312.839,-2.876924992
95,344236.0971,6282297.349,-1.432139993
96,343461.9632,6282331.806,-4.784224033
97,343023.194,6282348.936,-4.975440025
98,343086.561,6286205.69,-4.250791073
99,342934.9037,6285699.54,-9.226340294
100,343115.4117,6286561.513,-7.050680161
101,343068.6393,6286428.537,-6.137371063
102,342912.1278,6285334.528,-9.981442451
103,343135.634,6286805.29,-3.949259996
104,342889.3527,6284969.515,-10.69866276
105,343155.0529,6287334.202,-7.526832104
106,343040.1667,6287111.833,-7.292452812
107,342866.5756,6284604.498,-10.43264389
108,343290.8333,6287614.167,-6.858586788
109,342843.7991,6284239.476,-10.16714001
110,343692.2619,6288270.88,-6.506925583
111,343412.1667,6288206.5,-2.70262289
112,342821.0224,6283874.451,-9.590424538
113,345476.7341,6289115.092,-2.628933907
114,345029.1416,6289126.332,-0.958702028
115,345784.1667,6288981.333,-1.25E-07
116,344580.9056,6289065.419,-2.235937119
117,344135.5011,6288966.74,-4.365570068
118,343727.1314,6288774.999,-2.679048777
119,343825.6795,6282058.941,-2.715838909
120,344152.3442,6282077.928,-1.266152978
121,343331.1061,6282057.842,-4.69419384
122,342863.1443,6282054.844,-4.372159004
123,342511.0183,6282056.973,-9.030993462
124,342601.2548,6285587.936,-7.938302994
125,342587.8854,6285260.622,-10.54508591
126,342574.5155,6284933.287,-11.01098156
127,342561.1464,6284605.928,-11.5
128,342547.776,6284278.542,-11.5
129,342534.4024,6283951.125,-9.391965866
130,343452.1667,6288649.167,-2.162821054
131,343348.5,6288475.167,-1.941859961
132,343746.1676,6281795.254,-2.771833897
133,344062.9193,6281872.833,-1.373700738
134,343251.808,6281760.176,-4.281722069
135,342788.5702,6281724.624,-5.147008896
136,342493,6281761.333,-5.13014698
137,342244.8848,6285580.787,-7.918139935
138,342244.7118,6285273.848,-11.31888103
139,342244.5388,6284966.906,-11.03292274
140,342244.367,6284659.967,-12
141,342244.1925,6284353.032,-12
142,342244.0212,6284046.099,-9.046944618
143,343667.3911,6281444.273,-7.187263966
144,343934.3057,6281381.97,-4.198865891
145,343200.3461,6281390.191,-16.44256592
146,342767.6081,6281336.366,-15.19296074
147,342430.9892,6281247.251,-7.087835789
148,341880.1107,6285612.125,-8.349437714
149,341893.2827,6285275.134,-12.7628212
150,341963.4053,6285018.173,-10.86459637
151,341910.1065,6284790.268,-11.99999905
152,341923.2699,6284453.493,-12
