ID,WL,U,V,SAL,TEMP,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21
1,3.0700,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
2,3.2138,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
3,2.7346,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
4,3.1181,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
5,3.1338,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
6,2.6621,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
7,3.2884,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
8,3.1782,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
9,2.7432,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
10,3.3276,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
11,3.1881,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
12,2.7807,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
13,3.5481,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
14,3.1002,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
15,2.7361,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
16,3.6707,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
17,3.3308,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
18,3.0630,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
19,3.7681,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
20,3.7331,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
21,3.2073,0.0000,0.0000,0.2000,14.5000,10.4000,251.0000,254.8043,2.5000,150.0000,0.7000,0.0700,208.3333,208.3333,20.2500,20.2500,0.5480,0.5480,4.7188,4.7188,4.7188,4.7188,0.0000,0.0000,585.0000,930.0000
