Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
25/02/1983,,,,,,,,,,,,,,,,,,,0
28/02/1983,,,,,,,,,,,,,,,,,,,
16/03/1983,,,,,,,,,,,,,,,,,,,
17/03/1983,7,93,24.7,9.1,,,9.2,,,0.29,0.28,0.8,1.09,,,,6,,
23/03/1983,7,81,20.5,6.7,,,94,,,0.04,0.01,,0.04,,,5.62,7.9,,
28/03/1983,6,76.6,23.8,6.9,,,110,0.05,0.02,1.14,2.04,2.04,3.18,,,11.65,11.1,,
06/04/1983,3,41.7,20.4,6.8,,,44,,,,,,,,,14,12.4,,
20/04/1983,,,,,,,,,,,,,,,,,,,
27/04/1983,,,,,,,,,,,,,,,,,,,
11/05/1983,,,,,,,,,,,,,,,,,,,
25/05/1983,5,58.9,16.4,6.9,,,32,0.36,0.45,1.3,0.65,0.92,2.22,,,7.99,8.1,,
31/05/1983,8,80.8,14,7,,,11,,,0.25,0.1,1.32,1.57,,,4.24,,,
07/06/1983,8,84,14.2,7,,,17,,,,0.12,1.91,1.91,,,4.89,,,
14/06/1983,,,,,,,,,,,,,,,,,,,
20/06/1983,,,,,,,,,,,,,,,,,,,
28/06/1983,8,80,11,7,,,26,0.096,0.15,0.56,0.13,0.8,1.36,,,6.25,7.5,,
05/07/1983,,,,,,,,,,,,,,,,,,,
19/07/1983,,,,,,,,,,,,,,,,,,,
26/07/1983,,,,,,,,,,,,,,,,,,,
02/08/1983,,,,,,,,,,,,,,,,,,,
09/08/1983,,,,,,,,,,,,,,,,,,,
16/08/1983,,,,,,,,,,,,,,,,,,,
23/08/1983,,,,,,,,,,,,,,,,,,,
30/08/1983,,,,,,,,,,,,,,,,,,,
06/09/1983,,,,,,,,,,,,,,,,,,,
13/09/1983,,,,,,,,,,,,,,,,,,,
19/09/1983,9,105,17.5,7.9,,,8.3,0.43,0.51,1.69,0.25,1.1,2.79,,,41.54,27.8,,
04/10/1983,8,95.6,20.4,7.6,,,30,0.3,0.36,0.95,0.1,1.05,2,,,20.15,1.3,,
11/10/1983,,,,,,,,,,,,,,,,,,,
25/10/1983,7,82,21.1,7,,,17.5,0.01,0.13,0.17,0.27,1.6,1.77,,,9.18,4.3,,
02/11/1983,,,,,,,,,,,,,,,,,,,
08/11/1983,,,,,,,,,,,,,,,,,,,
14/11/1983,8,98,25,8.6,54.5,,7,0.13,0.2,0.63,0.25,2.55,3.18,,,27.06,0.6,,
29/11/1983,6,79,22.1,7.2,46,,6.4,0.27,0.31,0.78,0.22,2.3,3.08,,,16.6,1.3,,
06/12/1983,5,68,22.7,7.1,33,,33,0.28,0.33,1.1,0.18,3.1,4.2,,,20.09,7.3,,
13/12/1983,6,76,23,7,28.2,,42,0.084,0.16,0.48,0.18,1.9,2.38,,,13.07,7.5,,
28/12/1983,6,78,24.4,7.3,30,,14.8,,0.044,,,,,,,36.49,4.9,,
03/01/1984,7,90,25,8,33.7,,10.6,0.2,0.27,0.58,0.06,1.05,1.63,,,58.91,3.2,,
10/01/1984,,,,,,,,,,,,,,,,,,,
24/01/1984,,,,,,,,,,,,,,,,,,,
27/01/1984,,,,,,,,,,,,,,,,,,,
31/01/1984,6,80,23.5,7.5,22,,14,0.08,0.18,0.43,0.17,0.7,1.13,,,30.31,8.6,,
07/02/1984,9,114,26.5,8.5,24.3,,6.8,0.13,0.21,0.3,0.24,0.7,1,,,32.67,7.9,,
14/02/1984,,,,,,,,,,,,,,,,,,,
05/03/1984,7,92,24,7.1,15.7,24,24,0.085,0.14,0.32,0.34,1.4,1.72,,,19.05,7.9,,
13/03/1984,,,,,,,,,,,,,,,,,,,
20/03/1984,,,,,,,,,,,,,,,,,,,
17/04/1984,8,91,19.7,6.6,12.3,,22,,0.084,0.24,0.12,0.3,0.54,,,5.4,,,
01/05/1984,8,87,16.6,6.6,18,,23,,0.13,,,,,,,3.4,,,
05/06/1984,,,,,,,,,,,,,,,,,,,
12/06/1984,9,93,13.5,7.3,22,,10.1,,0.39,,,,,,,38.72,,,
03/07/1984,10,96,11.1,7.4,24.1,10,9.9,0.032,0.088,0.45,0.38,0.75,1.2,,,8.39,9,,
04/07/1984,9,,11.1,7.2,,10,,0.03,0.09,0.45,0.38,0.75,1.2,,,,,,
23/07/1984,9,90,12.5,7,15.6,,6,0.02,0.04,,,,,,,3.36,9.6,,
10/09/1984,6,64,12.8,6.9,18,,15,0.035,0.065,0.3,,0.35,0.65,,,3.36,10.5,,
02/10/1984,,,,,,,,,,,,,,,,,,,
16/10/1984,10,131,24.1,9.1,24.8,,5.2,0.35,0.42,,,,,,,13.2,1.5,,
10/12/1984,10,122,22.4,9,21,,9,0.156,0.22,0.03,0.04,0.85,0.88,,,20.78,,,
27/12/1984,,,,,,,,,,,,,,,,,,,
15/01/1985,9,128,28.2,8.8,25,,8.9,0.18,0.23,,0.01,0.7,0.7,,,29.35,7.1,,
22/01/1985,,,,,,,,,,,,,,,,,,,
23/01/1985,,,,,,,,,,,,,,,,21.78,,,
25/01/1985,,,,,,,,,,,,,,,,,,,
26/01/1985,,,,,,,,,,,,,,,,18.98,,,
28/01/1985,,,,,,,,,,,,,,,,,,,
30/01/1985,,,,,,,,,,,,,,,,8.44,,,
01/02/1985,,,,,,,,,,,,,,,,,,,
03/02/1985,8,,18.1,7.3,18,,10.7,0.028,0.044,0.28,0.02,0.35,0.63,,,5.86,11.8,,
08/02/1985,,,,,,,,,,,,,,,,,,,
12/02/1985,11,133,23.7,9.1,19,,8.6,0.068,0.098,0.01,0.03,0.95,0.96,,,32.94,7.7,,
19/02/1985,,,,,,,,,,,,,,,,,,,
26/02/1985,,,,,,,,,,,,,,,,,,,
05/03/1985,10,134,24.9,9.1,28,,9.6,,0.14,0.28,0.04,1,1.28,,,45.57,7.3,,
12/03/1985,7,89,26.1,8.6,27,,7,0.39,0.44,0.28,0.01,0.8,1.08,,,35.77,8.1,,
19/03/1985,,,,,,,,,,,,,,,,,,,
01/04/1985,,,,,,,,,,,,,,,,,,,
11/04/1985,5,60,23.1,6.9,18,,115,0.26,0.35,0.66,0.09,0.6,1.26,,,16.13,9.2,,
22/04/1985,,,,,,,,,,,,,,,,,,,
07/05/1985,8,93,18,6.6,12,,65,0.04,0.084,0.16,0.02,0.4,0.56,,,3.16,6.6,,
20/05/1985,,,,,,,,,,,,,,,,,,,
03/06/1985,8,83,15.4,6.7,18,,47,0.18,0.26,0.2,0.01,0.75,0.95,,,12.52,8.6,,
