Depth,Sal,Temp,TSS,DO,Si,NH3,NOx,FRP,FRP_ADS,DON,PON,DOP,POP,DOC,POC,PHY_GRN,PHY_BGA,PHY_FDIA,PHY_MDIA
  0.0,27.9,26.4, 7.0,193.8, 24.2, 0.35, 14.30,0.419,0.0,0.0,14.30,0.040, 0.110, 240.0,  60.0, 2.90, 0.83, 0.21, 16.56
100.0,27.9,26.4, 7.0,193.8, 24.2, 0.35, 14.30,0.419,0.0,0.0,14.30,0.040, 0.110, 240.0,  60.0, 2.90, 0.83, 0.21, 16.56
