,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,101,102
Fsed_oxy  ,-5,-15,-15,-20,-20,-20,-20,-20,-20,-20,-30,-35,-15,-5,-5,-15,-5,-5,-5,-5,-5,-5,-5,-15,-20,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-5,-30,-5
Fsed_rsi  ,2,4,4,4,4,4,4,4,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2
Fsed_amm  ,0.1,0.7,0.7,0.7,0.7,1.9,0.7,0.7,1.9,-0.23,-0.23,0,0.7,0.1,0.1,0.15,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.7,1.9,3.5,3.5,0.7,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1.2,0.7,0.7
Fsed_nit  ,-0.2,-0.2,-0.2,-0.2,-0.2,-0.305,-0.2,-0.2,-0.305,-3.28,-3.28,-0.4,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.305,-0.2,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.285,-0.2,-0.2
Fsed_frp  ,-0.004,-0.004,-0.004,0.015,0.015,0.14,0.015,0.015,1,0,-0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
Fsed_pon  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fsed_don  ,2,2,2,3,3,2,3,3,2,-3.051,-3.051,1.5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.3,3,3
Fsed_pop  ,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fsed_dop  ,0,0,0,0.024,0.024,-0.005,0.024,0.024,-0.005,-0.063,-0.063,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0
Fsed_poc  ,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
Fsed_doc  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fsed_dic  ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Fsed_ch4  ,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fsed_feii ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
