FVC file = HN_Cal_2017_2018_3D_wq.fvc, Simulation Execution: 19/10/2020 09:38:32
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.34612751429534E+06, 0.62868684843725E+07, -0.1566248E+02,           1,  0.1135961E+06,           1
, 0.34607429016828E+06, 0.62864688391190E+07, -0.1783214E+02,           1,  0.2231244E+06,           2
, 0.34584856328008E+06, 0.62859094650920E+07, -0.2005984E+02,           1,  0.2126366E+06,           3
, 0.34562283736153E+06, 0.62853500972738E+07, -0.2018027E+02,           1,  0.2021440E+06,           4
, 0.34539711304380E+06, 0.62847907374745E+07, -0.2041518E+02,           1,  0.1916566E+06,           5
, 0.34517139137748E+06, 0.62842313772646E+07, -0.2005671E+02,           1,  0.1811687E+06,           6
, 0.34494567172564E+06, 0.62836720243407E+07, -0.1440162E+02,           1,  0.1706776E+06,           7
, 0.34476995833333E+06, 0.62833543800000E+07, -0.4568203E+01,          20,  0.1846578E+05,           8
, 0.34565573417082E+06, 0.62867697064440E+07, -0.1626993E+02,           1,  0.1849738E+06,           9
, 0.34557111774185E+06, 0.62863432383311E+07, -0.1796272E+02,           1,  0.2720678E+06,          10
, 0.34602673270505E+06, 0.62871268841865E+07, -0.1304973E+02,           1,  0.8400153E+05,          11
, 0.34565140929015E+06, 0.62870979564044E+07, -0.1424906E+02,           1,  0.1253682E+06,          12
, 0.34538660110555E+06, 0.62858157487497E+07, -0.1879604E+02,           1,  0.2509742E+06,          13
, 0.34520209651889E+06, 0.62852882934550E+07, -0.1888589E+02,           1,  0.2298721E+06,          14
, 0.34501760663991E+06, 0.62847608817124E+07, -0.1900570E+02,           1,  0.2087779E+06,          15
, 0.34483313504181E+06, 0.62842335209356E+07, -0.1809529E+02,           1,  0.1876832E+06,          16
, 0.34464869099203E+06, 0.62837062354852E+07, -0.1314763E+02,           1,  0.1665849E+06,          17
, 0.34458462500000E+06, 0.62833860466667E+07, -0.6381575E+01,          20,  0.1859020E+05,          18
, 0.34446366666667E+06, 0.62833156666667E+07, -0.6042694E+01,          20,  0.3887750E+05,          19
, 0.34508518031159E+06, 0.62866559475100E+07, -0.1416550E+02,           1,  0.2482478E+06,          20
, 0.34498512032637E+06, 0.62862061071342E+07, -0.1567247E+02,           1,  0.2809460E+06,          21
, 0.34512944177271E+06, 0.62870306199244E+07, -0.1288957E+02,           1,  0.2112061E+06,          22
, 0.34484772491680E+06, 0.62857121530932E+07, -0.1670678E+02,           1,  0.2646818E+06,          23
, 0.34584400775099E+06, 0.62874054767949E+07, -0.1315372E+02,           1,  0.9908065E+05,          24
, 0.34559041833333E+06, 0.62873634000000E+07, -0.1286886E+02,           1,  0.6282215E+05,          25
, 0.34515756428341E+06, 0.62873789156916E+07, -0.1174815E+02,           1,  0.2177553E+06,          26
, 0.34471032939154E+06, 0.62852182061892E+07, -0.1690081E+02,           1,  0.2484123E+06,          27
, 0.34457293710667E+06, 0.62847242702691E+07, -0.1661786E+02,           1,  0.2321449E+06,          28
, 0.34443554838710E+06, 0.62842303420024E+07, -0.1617043E+02,           1,  0.2158804E+06,          29
, 0.34429816197955E+06, 0.62837364271261E+07, -0.1213895E+02,           1,  0.1996115E+06,          30
, 0.34419103091499E+06, 0.62833592658478E+07, -0.7018375E+01,          20,  0.9730880E+05,          31
, 0.34414252470835E+06, 0.62830989648452E+07, -0.5269567E+01,          20,  0.9592066E+05,          32
, 0.34436700000000E+06, 0.62830493333333E+07, -0.1726796E+01,          20,  0.1847950E+05,          33
, 0.34445239611006E+06, 0.62865118517894E+07, -0.1163393E+02,           1,  0.2579823E+06,          34
, 0.34437477034963E+06, 0.62860754302876E+07, -0.1308274E+02,           1,  0.2724948E+06,          35
, 0.34449834211343E+06, 0.62869023337971E+07, -0.1095370E+02,           1,  0.2303184E+06,          36
, 0.34428030771646E+06, 0.62856141160869E+07, -0.7366297E+01,           1,  0.2552373E+06,          37
, 0.34453423641760E+06, 0.62872743747628E+07, -0.1023111E+02,           1,  0.2323222E+06,          38
, 0.34418584454691E+06, 0.62851528081264E+07, -0.1365532E+02,           1,  0.2379830E+06,          39
, 0.34570363567094E+06, 0.62876761197596E+07, -0.1250565E+02,           1,  0.1095831E+06,          40
, 0.34525185988293E+06, 0.62877435589944E+07, -0.1048117E+02,           1,  0.2087631E+06,          41
, 0.34470067263816E+06, 0.62876711423630E+07, -0.9581603E+01,           1,  0.2060421E+06,          42
, 0.34409138214894E+06, 0.62846915052506E+07, -0.1413900E+02,           1,  0.2207290E+06,          43
, 0.34399692048049E+06, 0.62842302065244E+07, -0.1426528E+02,           1,  0.2034766E+06,          44
