Date,Q_m3s,TN_mgperL,TP_mgperL,Ecoli_cfuper100mL,Enterococci_cfuper100mL
18/02/2017,8.25639407728237,1.50834313090706,0.113841081604254,1378.93585090173,1404.62759775889
19/02/2017,9.19982732251818,1.55942639616894,0.122174687099621,1451.2310855482,1455.38969370161
20/02/2017,10.5611952966768,1.63053209305028,0.137365186688479,1636.19568594833,1635.52849557574
21/02/2017,11.3256772902523,1.65198326005373,0.143683307105054,1711.36617075688,1713.66713840694
22/02/2017,10.4928004482116,1.65981177119614,0.142895938078065,1704.31567997512,1710.80238045595
23/02/2017,9.16885818121447,1.63337398867698,0.13476135834612,1604.33062293115,1614.82085837187
24/02/2017,7.90434787535481,1.57905654192475,0.121778957759452,1443.12171493702,1457.05406036128
25/02/2017,7.15783747704646,1.5225399484301,0.10998200614292,1292.77705348362,1309.67562650201
26/02/2017,11.7974648778681,1.61932894975223,0.148292655831011,1828.66245817306,1764.85746565517
27/02/2017,20.8051157010237,1.72823521131434,0.181619881292762,2276.04362391894,2169.90343668116
28/02/2017,26.7924578595644,1.77924348380813,0.192499611033965,2418.39410753974,2320.61677081575
01/03/2017,31.7327057080347,1.77242916080431,0.19186482805605,2404.06221345757,2356.2107262554
02/03/2017,38.5583402657688,1.71959867565071,0.186187606056978,2313.9344036665,2311.81880813453
03/03/2017,42.0285210867863,1.71998001905812,0.183244975465525,2385.27982769304,2265.59288520209
04/03/2017,68.4246148637932,1.66290370580343,0.179071009883664,2507.21749150503,2409.91440325912
05/03/2017,95.9311028944454,1.52019075609349,0.163236912069682,2262.23111481959,2220.00184253269
06/03/2017,93.557955894818,1.43987803057868,0.153400737784324,2100.63035347736,2072.05091196859
07/03/2017,77.0766163221081,1.34799350676002,0.141180966845,1907.66121837111,1891.00164975246
08/03/2017,59.978699809697,1.23897205160889,0.1251545055236,1665.17952002571,1666.40073853263
09/03/2017,46.267923076801,1.12533393468543,0.108024216078413,1409.04621273981,1428.44949371687
10/03/2017,36.4708874049006,1.01677749020903,0.0916434541496472,1163.45161579421,1195.59080019769
11/03/2017,28.795611549278,0.946358738789648,0.0786274827184498,967.500343878472,1006.02852993558
12/03/2017,22.6561702527044,0.909877331741193,0.0685527681705575,813.435844431874,853.867204032388
13/03/2017,18.0060107180676,0.890239907538856,0.0600614731785474,680.070935541135,719.566721685842
14/03/2017,17.6328807300491,1.04132782163164,0.0782700321352767,1532.95934531948,800.791577564566
15/03/2017,50.2765018904218,1.55408979654443,0.171862847208774,2798.01385249934,1979.91949888148
16/03/2017,123.937692388772,1.60761324962751,0.185789515104414,2797.19386952049,2324.56111055756
17/03/2017,187.60460133792,1.51240942705378,0.172293317821898,2512.71979189006,2251.17176447303
18/03/2017,265.313592692326,1.40363334579599,0.157052084661241,2337.64763876388,2166.85232180201
