Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
9/07/2018,,17.9,,8.2,0.3,0.63,0.98,0.079,,0.07,,,,0.4,,40,35
3/08/2018,,18.6,,6.8,6.16,1.67,8.29,0.1,,0.049,,,,1,,160,51
23/08/2018,,18.5,,9.1,0.12,1.39,1.87,0.028,,0.012,,,,0.9,,49,35
14/09/2018,,22,,8.1,0.02,1.94,2.89,0.056,,0.031,,,,0.4,,78,85
4/10/2018,,20,,9,0.08,0.15,0.29,0.009,,0.006,,,,0.4,,310,500
29/10/2018,,22.6,,8.8,0.08,0.13,0.21,0.004,,0.003,,,,0.3,,28,28
16/11/2018,,22.9,,8.8,0.06,0.09,0.18,0.003,,0.002,,,,0.4,,49,15
11/12/2018,,25.4,,8.4,0.13,0.21,0.37,0.005,,0.004,,,,0.7,,45,65
24/12/2018,,24.7,,8.4,0.1,0.19,0.35,0.008,,0.007,,,,0.4,,33,28
