Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
10/04/2013 00:00,,,,,0.005,0.13,0.36,0.023,,,,,,,,,
1/05/2013 00:00,,,,,0.01,0.13,0.37,0.018,,,,,,,,,
22/05/2013 00:00,,,,,0.01,0.08,0.32,0.024,,,,,,,,,
6/11/2013 00:00,,,,,0.02,0.02,0.31,0.035,,,,,,,,,
4/12/2013 00:00,,,,,0.01,0.02,0.31,0.031,,,,,,,,,
10/01/2014 00:00,,,,,0.005,0.06,0.3,0.015,,,,,,,,,
5/02/2014 00:00,,,,,0.01,0.05,0.39,0.022,,,,,,,,,
26/02/2014 00:00,,,,,0.005,0.07,0.34,0.018,,,,,,,,,
19/03/2014 00:00,,,,,0.005,0.07,0.32,0.017,,,,,,,,,
9/04/2014 00:00,,,,,0.005,0.05,0.28,0.022,,,,,,,,,
30/04/2014 00:00,,,,,0.01,0.1,0.42,0.028,,,,,,,,,
21/05/2014 00:00,,,,,0.005,0.17,0.41,0.022,,,,,,,,,
18/06/2014 00:00,,,,,0.005,0.18,0.43,0.026,,,,,,,,,
9/07/2014 00:00,,,,,0.01,0.1,0.32,0.016,,,,,,,,,
6/08/2014 00:00,,,,,0.01,0.08,0.31,0.016,,,,,,,,,
9/09/2014 00:00,,,,,0.02,0.15,0.41,0.015,,,,,,,,,
1/10/2014 00:00,,,,,0.04,0.24,0.54,0.016,,,,,,,,,
22/10/2014 00:00,,,,,0.02,0.14,0.43,0.016,,,,,,,,,
12/11/2014 00:00,,,,,0.01,0.13,0.36,0.018,,,,,,,,,
3/12/2014 00:00,,,,,0.01,0.08,0.31,0.017,,,,,,,,,
18/12/2014 00:00,,,,,0.01,0.04,0.31,0.017,,,,,,,,,
14/01/2015 00:00,,,,,0.01,0.09,0.36,0.022,,,,,,,,,
5/02/2015 00:00,,,,,0.01,0.11,0.35,0.063,,,,,,,,,
25/02/2015 00:00,,,,,0.005,0.07,0.46,0.032,,0.01,,,,,,,
18/03/2015 00:00,,,,,0.01,0.04,0.29,0.029,,0.006,,,,,,,
20/05/2015 00:00,,,,,0.14,0.25,0.73,0.024,,0.012,,,,,,,
16/06/2015 00:00,,,,,0.04,0.17,0.47,0.019,,0.01,,,,,,,
8/07/2015 00:00,,,,,0.02,0.21,0.52,0.02,,0.007,,,,,,,
12/08/2015 00:00,,,,,0.01,0.1,0.37,0.015,,0.003,,,,,,,
