Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL
09/07/2008 00:00,,12.8,,11,0.02,0.8,1.12,0.023,,0.007,,,,8.4,,
09/07/2008 00:00,,,,,0.01,0.82,1.12,0.022,,0.007,,,,7.9,,
30/07/2008 00:00,,12.3,,12.9,0.02,1.28,1.51,0.019,,0.007,,,,3.6,,
30/07/2008 00:00,,,,,0.02,1.27,1.52,0.021,,0.007,,,,4.5,,
13/08/2008 00:00,,12.2,,12.5,0.02,0.85,1.16,0.023,,0.008,,,,4.5,,
13/08/2008 00:00,,,,,0.02,0.85,1.16,0.024,,0.008,,,,4.9,,
02/09/2008 00:00,,15.5,,11,0.01,0.53,0.9,0.027,,0.007,,,,9.3,,
02/09/2008 00:00,,,,,0.01,0.52,0.92,0.028,,0.007,,,,8.1,,
26/09/2008 00:00,,18.8,,9.4,0.005,0.22,0.55,0.023,,0.008,,,,5.9,,
26/09/2008 00:00,,,,,0.005,0.23,0.56,0.023,,0.009,,,,5.6,,
17/10/2008 00:00,,21.4,,9.1,0.02,0.33,0.74,0.026,,0.012,,,,3.5,,
17/10/2008 00:00,,,,,0.02,0.33,0.74,0.027,,0.013,,,,3.6,,
06/11/2008 00:00,,22.5,,11,0.01,0.22,0.6,0.022,,0.01,,,,7,,
06/11/2008 00:00,,,,,0.01,0.22,0.57,0.022,,0.009,,,,7,,
27/11/2008 00:00,,21.5,,10.7,0.01,0.34,0.65,0.017,,0.01,,,,3.3,,
27/11/2008 00:00,,,,,0.01,0.34,0.66,0.017,,0.01,,,,2.9,,
18/12/2008 00:00,,25.2,,8.5,0.01,0.04,0.33,0.019,,0.012,,,,2.9,,
18/12/2008 00:00,,,,,0.01,0.04,0.33,0.018,,0.011,,,,3,,
13/01/2009 00:00,,24.4,,7.6,0.01,0.06,0.42,0.017,,0.01,,,,1.8,,
13/01/2009 00:00,,,,,0.01,0.06,0.42,0.017,,0.011,,,,1.6,,
29/01/2009 00:00,,27,,7.1,0.01,0.02,0.42,0.017,,0.012,,,,1.1,,
29/01/2009 00:00,,,,,0.01,0.02,0.4,0.018,,0.012,,,,1,,
19/02/2009 00:00,,22.6,,7.1,0.01,0.13,0.47,0.028,,0.014,,,,7.3,,
19/02/2009 00:00,,,,,0.01,0.14,0.47,0.028,,0.013,,,,6.5,,
12/03/2009 00:00,,23.5,,8.3,0.01,0.13,0.48,0.02,,0.011,,,,2.7,,
12/03/2009 00:00,,,,,0.01,0.13,0.48,0.021,,0.011,,,,2.7,,
31/03/2009 00:00,,22.6,,5.5,0.02,0.21,0.58,0.025,,0.013,,,,3.1,,
