Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_checkunit,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL
23/01/2012 00:00,,25.2,,7.5,,,,,,,,,,,,
23/01/2012 00:00,,,,,,,,,,,,,,,,
23/01/2012 00:00,,,,,,,,,,,,,,,,
23/01/2012 00:00,,,,,,,,,,,,,,,,
23/01/2012 00:00,,,,,,,,,,,,,,,,
17/05/2012 00:00,,15.6,,9.2,,,,,,,,,,,,
17/05/2012 00:00,,,,,,,,,,,,,,,,
17/05/2012 00:00,,,,,,,,,,,,,,,,
17/05/2012 00:00,,,,,,,,,,,,,,,,
17/05/2012 00:00,,,,,,,,,,,,,,,,
8/06/2012 00:00,,13.8,,9.4,,,,,,,,,,,,
8/06/2012 00:00,,,,,,,,,,,,,,,,
8/06/2012 00:00,,,,,,,,,,,,,,,,
8/06/2012 00:00,,,,,,,,,,,,,,,,
8/06/2012 00:00,,,,,,,,,,,,,,,,
25/06/2012 00:00,,11.1,,10.7,,,,,,,,,,,,
25/06/2012 00:00,,,,,,,,,,,,,,,,
25/06/2012 00:00,,,,,,,,,,,,,,,,
25/06/2012 00:00,,,,,,,,,,,,,,,,
25/06/2012 00:00,,,,,,,,,,,,,,,,
2/08/2012 00:00,,13,,10.8,,,,,,,,,,,,
2/08/2012 00:00,,,,,,,,,,,,,,,,
2/08/2012 00:00,,,,,,,,,,,,,,,,
2/08/2012 00:00,,,,,,,,,,,,,,,,
20/12/2012 00:00,,25.1,,7.9,,,,,,,,,,,,
20/12/2012 00:00,,,,,,,,,,,,,,,,
20/12/2012 00:00,,,,,,,,,,,,,,,,
20/12/2012 00:00,,,,,,,,,,,,,,,,
24/01/2013 00:00,,25,,5.1,,,,,,,,,,,,
24/01/2013 00:00,,,,,,,,,,,,,,,,
24/01/2013 00:00,,,,,,,,,,,,,,,,
24/01/2013 00:00,,,,,,,,,,,,,,,,
11/02/2016 00:00,,26.5,,8.2,,,,,,,,,,,,
11/02/2016 00:00,,,,,,,,,,,,,,,,
11/02/2016 00:00,,,,,,,,,,,,,,,,
11/02/2016 00:00,,,,,,,,,,,,,,,,
11/02/2016 00:00,,,,,,,,,,,,,,,,
