Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL
21/01/2005 00:00,,25.3,,8,0.01,0.01,0.38,0.022,,0.013,,,,3.4,,88
21/01/2005 00:00,,,,,0.01,0.01,0.43,0.037,,0.015,,,,6.6,,100
04/02/2005 00:00,,24.6,,7.9,0.005,0.13,0.5,0.045,,0.019,,,,,,330
04/02/2005 00:00,,,,,0.005,0.13,0.5,0.047,,0.019,,,,,,250
14/02/2005 00:00,,26.2,,9,0.01,0.02,0.26,0.018,,0.011,,,,2.4,,47
14/02/2005 00:00,,,,,0.01,0.01,0.25,0.018,,0.01,,,,1.8,,42
10/03/2005 00:00,,,,,,,,,,,,,,,,
10/03/2005 00:00,,,,,,,,,,,,,,,,
10/03/2005 00:00,,24.4,,7.8,0.01,0.28,0.62,0.02,,0.011,,,,6.5,,71
10/03/2005 00:00,,,,,0.01,0.28,0.62,0.018,,0.011,,,,4.1,,51
21/04/2005 00:00,,20.8,,7.4,0.02,0.22,0.55,0.019,,0.01,,,,4,,31
21/04/2005 00:00,,,,,0.02,0.22,0.54,0.018,,0.01,,,,4,,33
27/05/2005 00:00,,15.4,,10.7,0.01,0.42,0.71,0.014,,0.007,,,,3.4,,55
27/05/2005 00:00,,,,,0.01,0.42,0.7,0.013,,0.008,,,,3.6,,42
20/06/2005 00:00,,14,,12,0.005,0.62,0.92,0.014,,0.005,,,,9.9,,1
20/06/2005 00:00,,,,,0.005,0.61,0.89,0.013,,0.006,,,,6.6,,3
02/07/2005 00:00,,14.5,,9.2,0.02,0.22,0.47,0.024,,0.011,,,,,,420
02/07/2005 00:00,,,,,0.02,0.22,0.53,0.024,,0.011,,,,,,310
20/07/2005 00:00,,14,,9.9,0.005,0.43,0.63,0.021,,0.009,,,,9.8,,24
20/07/2005 00:00,,,,,,,,,,,,,,10.5,,
19/08/2005 00:00,,,,,,,,,,,,,,,,
19/08/2005 00:00,,,,,,,,,,,,,,,,
19/08/2005 00:00,,,,,,,,,,,,,,,,
19/08/2005 00:00,,,,,,,,,,,,,,,,
24/09/2005 00:00,,,,,,,,,,,,,,,,
24/09/2005 00:00,,,,,,,,,,,,,,,,
30/10/2005 00:00,,22.8,,8.2,0.02,0.11,0.55,0.021,,0.012,,,,4.4,,80
30/10/2005 00:00,,,,,0.02,0.11,0.56,0.019,,0.01,,,,3,,82
29/11/2005 00:00,,20.8,,8.2,0.02,0.22,0.49,0.025,,0.01,,,,4.4,,160
29/11/2005 00:00,,,,,0.02,0.22,0.5,0.026,,0.01,,,,3.8,,230
17/12/2005 00:00,,26.5,,8.3,0.03,0.1,0.66,0.056,,0.02,,,,5.9,,360
17/12/2005 00:00,,,,,0.02,0.1,0.57,0.054,,0.019,,,,8.8,,390
16/01/2006 00:00,,,,,0.01,0.02,0.54,0.026,,0.017,,,,10,,1300
16/01/2006 00:00,,,,,,,,,,,,,,13.4,,
15/02/2006 00:00,,25.3,,8.5,0.01,0.02,0.36,0.022,,0.013,,,,6.1,,130
15/02/2006 00:00,,,,,0.01,0.02,0.36,0.021,,0.012,,,,5.7,,94
23/03/2006 00:00,,22.8,,6.8,0.01,0.06,1.01,0.138,,0.019,,,,44.9,,27
23/03/2006 00:00,,,,,,,,,,,,,,57.3,,
10/04/2006 00:00,,,,,,,,,,,,,,,,
10/04/2006 00:00,,,,,,,,,,,,,,,,
10/04/2006 00:00,,22.4,,11.7,0.005,0.04,0.82,0.072,,0.034,,,,41.8,,16
10/04/2006 00:00,,,,,,,,,,,,,,50.8,,
10/05/2006 00:00,,18.2,,9.9,0.04,0.05,0.82,0.095,,0.008,,,,40.5,,34
10/05/2006 00:00,,,,,,,,,,,,,,58.5,,
15/06/2006 00:00,,11.7,,8.6,0.03,0.38,0.85,0.019,,0.005,,,,9.4,,15
15/06/2006 00:00,,,,,0.03,0.38,0.88,0.019,,0.005,,,,8,,11
10/07/2006 00:00,,13.2,,10.1,0.03,0.43,0.89,0.037,,0.006,,,,39.2,,3
10/07/2006 00:00,,,,,,,,,,,,,,41.4,,
09/08/2006 00:00,,,,,0.03,0.4,0.75,0.03,,0.007,,,,12.7,,5
09/08/2006 00:00,,,,,,,,,,,,,,13.8,,
08/09/2006 00:00,,15.6,,8.8,0.05,0.42,0.87,0.041,,0.007,,,,,,53
08/09/2006 00:00,,,,,0.05,0.43,0.9,0.041,,0.008,,,,,,52
14/09/2006 00:00,,16.1,,8.4,0.04,0.57,0.94,0.032,,0.01,,,,12.2,,14
14/09/2006 00:00,,,,,0.04,0.58,0.98,0.034,,0.01,,,,12.8,,20
25/09/2006 00:00,,,,,,,,,,,,,,,,
25/09/2006 00:00,,,,,,,,,,,,,,,,
27/09/2006 00:00,,22.2,,10.5,0.04,0.22,0.57,0.02,,0.009,,,,3.9,,33
27/09/2006 00:00,,,,,0.05,0.22,0.58,0.022,,0.01,,,,4,,32
08/10/2006 00:00,,24.7,,8.9,0.03,0.15,0.5,0.018,,0.009,,,,2,,10
08/10/2006 00:00,,,,,0.03,0.15,0.51,0.018,,0.009,,,,3,,16
07/11/2006 00:00,,22.4,,8.2,0.02,0.12,0.49,0.017,,0.008,,,,3.9,,12
07/11/2006 00:00,,,,,0.02,0.12,0.5,0.017,,0.008,,,,4.1,,16
07/12/2006 00:00,,24.1,,8,0.02,0.03,0.45,0.022,,0.01,,,,5.3,,9
07/12/2006 00:00,,,,,0.01,0.03,0.42,0.017,,0.009,,,,3.8,,6
12/01/2007 00:00,,28.2,,9.2,0.02,0.01,0.41,0.02,,0.012,,,,2.1,,9
12/01/2007 00:00,,,,,0.02,0.01,0.41,0.019,,0.012,,,,2.5,,18
05/02/2007 00:00,,27,,8.4,0.01,0.01,0.43,0.026,,0.014,,,,5.3,,19
05/02/2007 00:00,,,,,0.01,0.01,0.42,0.025,,0.015,,,,5.1,,46
13/02/2007 00:00,,23.4,,5.9,0.02,0.14,0.5,0.049,,0.012,,,,,,3300
13/02/2007 00:00,,,,,0.01,0.14,0.51,0.047,,0.013,,,,,,2900
07/03/2007 00:00,,24.5,,6.3,0.03,0.44,0.88,0.048,,0.017,,,,4.8,,25
07/03/2007 00:00,,,,,0.03,0.44,0.95,0.053,,0.017,,,,4.7,,15
12/04/2007 00:00,,22.6,,9.6,0.02,0.07,0.49,0.018,,0.012,,,,1.9,,15
12/04/2007 00:00,,,,,0.01,0.07,0.48,0.018,,0.012,,,,1.9,,9
18/05/2007 00:00,,18.1,,7.7,0.02,0.22,0.65,0.023,,0.01,,,,9.7,,500
18/05/2007 00:00,,,,,0.01,0.22,0.62,0.021,,0.011,,,,5,,510
05/06/2007 00:00,,15.4,,11,0.01,0.18,0.56,0.018,,0.007,,,,12.5,,7
05/06/2007 00:00,,,,,0.01,0.2,0.54,0.012,,0.007,,,,1.5,,3
