Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
08/03/2018 00:00,,,,,,,,,,,,,,,,100,72
28/03/2018 00:00,,,,,,,,,,,,,,,,26,45
11/05/2018 00:00,,,,,,,,,,,,,,,,42,1200
01/06/2018 00:00,,,,,,,,,,,,,,,,27,120
20/06/2018 00:00,,,,,,,,,,,,,,,,46,14
10/07/2018 00:00,,,,,,,,,,,,,,,,15,30
31/07/2018 00:00,,,,,,,,,,,,,,,,4,7
20/08/2018 00:00,,,,,,,,,,,,,,,,10,500
10/09/2018 00:00,,,,,,,,,,,,,,,,40,55
05/10/2018 00:00,,,,,,,,,,,,,,,,660,500
29/10/2018 00:00,,,,,,,,,,,,,,,,32,48
13/11/2018 00:00,,,,,,,,,,,,,,,,32,13
05/12/2018 00:00,,,,,,,,,,,,,,,,60,65
21/12/2018 00:00,,,,,,,,,,,,,,,,430,290
