Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
28/09/2006 00:00,,18.4,,9.1,0.02,0.38,0.72,0.013,,0.004,,,,2.3,1,4,1
28/09/2006 00:00,,,,,0.02,0.4,0.69,0.01,,0.004,,,,2.4,1,5,1
29/05/2008 00:00,,12.3,3,11.4,0.005,0.35,0.59,0.007,3.57,0.003,,,,1.3,9,1,9
29/05/2008 00:00,,,3,,0.005,0.35,0.57,0.008,3.57,0.004,,,,1.3,11,5,11
24/06/2008 00:00,,13.7,2,12.5,0.01,0.32,0.59,0.01,4.92,0.004,,,,1.2,2,0.5,2
24/06/2008 00:00,,,2,,0.01,0.32,0.58,0.009,4.92,0.004,,,,1,5,0.5,5
22/07/2008 00:00,,10.7,,11.2,0.01,0.21,0.45,0.009,,0.005,,,,1.7,1,1,1
22/07/2008 00:00,,,,,0.01,0.21,0.43,0.008,,0.004,,,,1.5,2,0.5,2
04/08/2008 00:00,,11.3,,12,0.01,0.19,0.42,0.008,,0.003,,,,1.9,5,0.5,5
04/08/2008 00:00,,,,,0.01,0.19,0.43,0.008,,0.003,,,,1.5,7,0.5,7
09/09/2008 00:00,,12.6,,11.3,0.01,0.14,0.38,0.011,,0.004,,,,2,54,34,54
09/09/2008 00:00,,,,,0.01,0.14,0.39,0.011,,0.004,,,,1.9,47,21,47
09/10/2008 00:00,,13.8,,10.3,0.01,0.11,0.33,0.007,,0.003,,,,1.1,26,2,26
09/10/2008 00:00,,,,,0.01,0.11,0.34,0.007,,0.003,,,,1.3,17,7,17
13/11/2008 00:00,,18.8,,10.5,0.01,0.07,0.33,0.009,,0.003,,,,3,21,16,21
13/11/2008 00:00,,,,,0.005,0.08,0.34,0.007,,0.003,,,,2,17,7,17
12/12/2008 00:00,,16.3,,11,0.01,0.11,0.33,0.007,,0.003,,,,1.6,560,300,560
12/12/2008 00:00,,,,,0.01,0.12,0.34,0.008,,0.004,,,,1.5,640,330,640
15/01/2009 00:00,,21.7,,8.2,0.01,0.09,0.35,0.008,,0.003,,,,2.2,60,4,60
15/01/2009 00:00,,,,,0.01,0.09,0.35,0.009,,0.003,,,,1.9,60,6,60
09/02/2009 00:00,,21.8,,8.7,0.01,0.14,0.4,0.009,,0.003,,,,1.8,410,12,410
09/02/2009 00:00,,,,,0.01,0.14,0.37,0.008,,0.003,,,,2.5,450,12,450
17/03/2009 00:00,,16.2,,8.5,0.01,0.2,0.46,0.012,,0.004,,,,1.8,580,620,580
17/03/2009 00:00,,,,,0.01,0.2,0.44,0.012,,0.004,,,,1.7,580,670,580
15/04/2009 00:00,,15.9,,9.9,0.01,0.19,0.41,0.007,,0.004,,,,1.4,34,53,34
15/04/2009 00:00,,,,,0.01,0.18,0.42,0.007,,0.003,,,,1.4,44,87,44
07/05/2009 00:00,,13,,10.6,0.005,0.17,0.37,0.006,,0.004,,,,1.2,5,1,5
07/05/2009 00:00,,,,,0.005,0.17,0.37,0.006,,0.003,,,,0.9,5,2,5
10/06/2009 00:00,,11.3,,10.5,0.01,0.26,0.42,0.007,,0.002,,,,0.6,3,0.5,3
10/06/2009 00:00,,,,,0.01,0.26,0.42,0.007,,0.002,,,,0.2,0.5,2,0.5
08/07/2009 00:00,,11.2,,10.7,0.005,0.08,0.32,0.007,,0.003,,,,1.4,1,0.5,1
08/07/2009 00:00,,,,,0.01,0.08,0.3,0.007,,0.003,,,,1.4,0.5,0.5,0.5
12/08/2009 00:00,,10.4,,11.4,0.005,0.12,0.3,0.006,,0.003,,,,0.6,2,1,2
12/08/2009 00:00,,,,,0.005,0.12,0.32,0.006,,0.002,,,,0.8,1,0.5,1
08/09/2009 00:00,,13.2,,11.9,0.005,0.09,0.3,0.006,,0.003,,,,1.4,5,2,5
08/09/2009 00:00,,,,,0.005,0.09,0.32,0.007,,0.003,,,,1.4,4,1,4
21/10/2009 00:00,,16.1,,10.4,0.01,0.1,0.33,0.007,,0.003,,,,0.9,7,8,7
21/10/2009 00:00,,,,,0.01,0.1,0.32,0.007,,0.003,,,,1.3,10,9,10
10/11/2009 00:00,,17.6,,10.3,0.01,0.11,0.34,0.008,,0.003,,,,1.2,15,15,15
10/11/2009 00:00,,,,,0.01,0.12,0.35,0.006,,0.003,,,,1.2,21,8,21
