Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
10/04/2013 00:00,,,,,0.005,0.21,0.51,0.026,,,,,,,,,
1/05/2013 00:00,,,,,0.005,0.08,0.45,0.029,,,,,,,,,
22/05/2013 00:00,,,,,0.005,0.03,0.22,0.016,,,,,,,,,
6/11/2013 00:00,,,,,0.01,0.02,0.29,0.024,,,,,,,,,
4/12/2013 00:00,,,,,0.005,0.01,0.33,0.021,,,,,,,,,
10/01/2014 00:00,,,,,0.005,0.01,0.45,0.037,,,,,,,,,
5/02/2014 00:00,,,,,0.01,0.005,0.4,0.028,,,,,,,,,
26/02/2014 00:00,,,,,0.005,0.06,0.39,0.022,,,,,,,,,
19/03/2014 00:00,,,,,0.03,0.12,0.48,0.021,,,,,,,,,
9/04/2014 00:00,,,,,0.01,0.08,0.4,0.032,,,,,,,,,
30/04/2014 00:00,,,,,0.01,0.28,0.61,0.033,,,,,,,,,
21/05/2014 00:00,,,,,0.005,0.18,0.51,0.031,,,,,,,,,
18/06/2014 00:00,,,,,0.005,0.15,0.41,0.019,,,,,,,,,
9/07/2014 00:00,,,,,0.01,0.1,0.33,0.015,,,,,,,,,
6/08/2014 00:00,,,,,0.005,0.07,0.3,0.012,,,,,,,,,
9/09/2014 00:00,,,,,0.03,0.53,0.86,0.031,,,,,,,,,
1/10/2014 00:00,,,,,0.04,0.5,0.86,0.035,,,,,,,,,
22/10/2014 00:00,,,,,0.01,0.35,0.63,0.018,,,,,,,,,
12/11/2014 00:00,,,,,0.01,0.16,0.42,0.02,,,,,,,,,
3/12/2014 00:00,,,,,0.01,0.15,0.5,0.026,,,,,,,,,
18/12/2014 00:00,,,,,0.005,0.02,0.32,0.026,,,,,,,,,
14/01/2015 00:00,,,,,0.005,0.08,0.45,0.034,,,,,,,,,
5/02/2015 00:00,,,,,0.005,0.01,0.49,0.058,,,,,,,,,
25/02/2015 00:00,,,,,0.005,0.005,0.39,0.05,,0.003,,,,,,,
