Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
16/07/2009 00:00,,13,,8.6,0.01,0.12,0.41,0.017,,0.013,,,,2.3,,,
16/07/2009 00:00,,,,,0.005,0.12,0.39,0.017,,0.012,,,,2.2,,,
07/08/2009 00:00,,14.3,,9.7,0.005,0.005,0.3,0.013,,0.005,,,,4.2,,,
07/08/2009 00:00,,,,,0.01,0.005,0.32,0.012,,0.005,,,,3.9,,,
27/08/2009 00:00,,16.4,,8.5,0.01,0.005,0.19,0.017,,0.009,,,,2.5,,,
27/08/2009 00:00,,,,,0.01,0.01,0.22,0.018,,0.011,,,,3,,,
18/09/2009 00:00,,18.6,,7.2,0.01,0.01,0.28,0.021,,0.012,,,,2.9,,,
18/09/2009 00:00,,,,,0.01,0.01,0.24,0.024,,0.011,,,,3.1,,,
09/10/2009 00:00,,16.9,,7.7,0.005,0.01,0.36,0.028,,0.015,,,,4.7,,,
09/10/2009 00:00,,,,,0.005,0.01,0.4,0.027,,0.016,,,,4.5,,,
29/10/2009 00:00,,21,,6.1,0.005,0.005,0.3,0.023,,0.008,,,,4.2,,,
29/10/2009 00:00,,,,,0.01,0.005,0.38,0.022,,0.008,,,,4.6,,,
20/11/2009 00:00,,26.7,,6.6,0.005,0.005,0.3,0.019,,0.01,,,,2.5,,,
20/11/2009 00:00,,,,,0.005,0.01,0.28,0.02,,0.011,,,,3.5,,,
10/12/2009 00:00,,25.8,,6.3,0.005,0.01,0.28,0.023,,0.014,,,,2.8,,,
10/12/2009 00:00,,,,,0.005,0.005,0.23,0.023,,0.013,,,,2.7,,,
22/12/2009 00:00,,27.2,,7.1,0.005,0.005,0.24,0.025,,0.015,,,,5.3,,,
22/12/2009 00:00,,,,,0.005,0.005,0.23,0.026,,0.014,,,,5.3,,,
18/01/2010 00:00,,26.3,,5.9,0.005,0.005,0.29,0.025,,0.011,,,,5.6,,,
18/01/2010 00:00,,,,,0.005,0.005,0.25,0.024,,0.012,,,,5.4,,,
11/02/2010 00:00,,26.7,,5.8,0.01,0.26,0.8,0.037,,0.015,,,,20,,,
11/02/2010 00:00,,,,,0.005,0.26,0.76,0.035,,0.011,,,,23.3,,,
18/02/2010 00:00,,25,,5.3,0.03,0.25,0.63,0.036,,0.013,,,,13.3,,,
18/02/2010 00:00,,,,,0.03,0.26,0.65,0.039,,0.011,,,,11.7,,,
05/03/2010 00:00,,23.9,,7.2,0.01,0.01,0.38,0.028,,0.009,,,,20.8,,,
05/03/2010 00:00,,,,,0.005,0.02,0.37,0.025,,0.009,,,,18.7,,,
26/03/2010 00:00,,25.6,,6.9,0.01,0.005,0.35,0.026,,0.012,,,,6.6,,,
26/03/2010 00:00,,,,,0.01,0.005,0.36,0.024,,0.01,,,,5.5,,,
16/04/2010 00:00,,21.8,,6.6,0.01,0.005,0.3,0.016,,0.007,,,,5.8,,,
16/04/2010 00:00,,,,,0.01,0.005,0.33,0.015,,0.009,,,,5.1,,,
04/05/2010 00:00,,20.1,,6.9,0.01,0.01,0.23,0.018,,0.009,,,,4.8,,,
04/05/2010 00:00,,,,,0.01,0.01,0.23,0.018,,0.01,,,,5,,,
27/05/2010 00:00,,16.8,,7.7,0.01,0.04,0.29,0.022,,0.013,,,,6.9,,,
27/05/2010 00:00,,,,,0.02,0.04,0.28,0.022,,0.013,,,,6.9,,,
18/06/2010 00:00,,14.6,,8.2,0.005,0.1,0.29,0.023,,0.014,,,,5.9,,,
18/06/2010 00:00,,,,,0.005,0.11,0.31,0.023,,0.014,,,,5.8,,,
07/07/2010 00:00,,13,,8.5,0.01,0.12,0.38,0.019,,0.013,,,,1.7,,,
07/07/2010 00:00,,,,,0.01,0.12,0.36,0.02,,0.012,,,,2.1,,,
26/07/2010 00:00,,13.6,,8.8,0.005,0.04,0.31,0.013,,0.008,,,,2.5,,,
26/07/2010 00:00,,,,,0.005,0.03,0.27,0.014,,0.008,,,,2.5,,,
20/08/2010 00:00,,14.5,,9.9,0.005,0.005,0.27,0.018,,0.004,,,,8.2,,,
20/08/2010 00:00,,,,,0.005,0.005,0.23,0.016,,0.005,,,,7.8,,,
10/09/2010 00:00,,15.8,,8.4,0.005,0.02,0.2,0.016,,0.008,,,,3.8,,,
10/09/2010 00:00,,,,,0.01,0.02,0.19,0.015,,0.009,,,,3.9,,,
01/10/2010 00:00,,17.9,,7.8,0.01,0.005,0.26,0.016,,0.008,,,,2.6,,,
01/10/2010 00:00,,,,,0.01,0.005,0.23,0.016,,0.007,,,,3.1,,,
20/10/2010 00:00,,19.5,,7.5,0.005,0.005,0.24,0.018,,0.007,,,,3.3,,,
20/10/2010 00:00,,,,,0.005,0.005,0.29,0.018,,0.007,,,,3.7,,,
10/11/2010 00:00,,22.1,,7.6,0.01,0.01,0.26,0.019,,0.007,,,,6.9,,,
10/11/2010 00:00,,,,,0.01,0.01,0.24,0.02,,0.008,,,,5.5,,,
01/12/2010 00:00,,22.9,,6.3,0.01,0.01,0.34,0.029,,0.012,,,,9,,,
01/12/2010 00:00,,,,,0.01,0.01,0.3,0.027,,0.011,,,,9.2,,,
22/12/2010 00:00,,22.4,,6.3,0.01,0.02,0.46,0.03,,0.008,,,,13.1,,,
22/12/2010 00:00,,,,,0.01,0.02,0.47,0.029,,0.008,,,,12.9,,,
14/01/2011 00:00,,26.5,,7.3,0.01,0.005,0.35,0.022,,0.006,,,,6.4,,,
14/01/2011 00:00,,,,,0.01,0.005,0.32,0.022,,0.006,,,,5.7,,,
02/02/2011 00:00,,29.3,,6.8,0.01,0.005,0.36,0.027,,0.009,,,,6.3,,,
02/02/2011 00:00,,,,,0.01,0.01,0.41,0.031,,0.01,,,,7.2,,,
23/02/2011 00:00,,24.8,,6.6,0.005,0.01,0.29,0.028,,,,,,16.7,,,
23/02/2011 00:00,,,,,0.005,0.01,0.28,0.028,,0.009,,,,17.4,,,
16/03/2011 00:00,,25.7,,6.4,0.01,0.005,0.35,0.028,,,,,,8.6,,,
16/03/2011 00:00,,,,,0.01,0.005,0.36,0.028,,0.008,,,,8.5,,,
06/04/2011 00:00,,21.9,,6.9,0.01,0.01,0.3,0.022,,,,,,7.2,,,
06/04/2011 00:00,,,,,0.01,0.01,0.32,0.021,,0.009,,,,5.9,,,
27/04/2011 00:00,,19.9,,7.5,0.01,0.04,0.33,0.022,,0.009,,,,7.3,,,
27/04/2011 00:00,,,,,0.005,0.04,0.34,0.023,,0.011,,,,8.3,,,
16/05/2011 00:00,,16.1,,8.8,0.01,0.01,0.24,0.017,,0.007,,,,5.2,,,
16/05/2011 00:00,,,,,0.01,0.01,0.26,0.016,,0.007,,,,5.4,,,
07/06/2011 00:00,,14.8,,7.7,0.01,0.11,0.36,0.023,,,,,,5.2,,,
07/06/2011 00:00,,,,,0.01,0.11,0.39,0.016,,0.01,,,,5.1,,,
29/06/2011 00:00,,14.1,,8.6,0.01,0.2,0.49,0.022,,,,,,5.4,,,
29/06/2011 00:00,,,,,0.01,0.2,0.48,0.021,,0.013,,,,5.3,,,
21/07/2011 00:00,,12.8,,9.7,0.02,0.14,0.39,0.02,,,,,,2,,,
21/07/2011 00:00,,,,,0.03,0.14,0.38,0.021,,0.014,,,,1.9,,,
11/08/2011 00:00,,14.2,,8.3,0.02,0.14,0.37,0.022,,,,,,1.7,,,
11/08/2011 00:00,,,,,0.02,0.14,0.37,0.021,,0.015,,,,2.4,,,
31/08/2011 00:00,,16.2,,8,0.01,0.09,0.32,0.026,,0.01,,,,5.3,,,
