Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonium_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL,Conductivity_microSpercm
10/01/2005 0:00,0.365612337,21.1,,4,0.005,0.01,0.78,0.063,,0.022,,,,13.8,270,140,140,838
10/01/2005 0:00,,,,,,,,,,,,,,16.3,,,,
3/02/2005 0:00,0.175389212,22,,4.6,0.09,0.58,1.8,0.271,,0.09,,,,,7000,13000,13000,402
3/02/2005 0:00,,,,,0.07,0.58,1.74,0.224,,0.087,,,,,9000,13000,13000,
9/02/2005 0:00,0.509152264,24.4,,4.2,0.07,0.57,1.87,0.138,,0.038,,,,15.2,180,170,170,1167
9/02/2005 0:00,,,,,,,,,,,,,,19.1,,,,
11/03/2005 0:00,0.384372874,24,,5.7,0.01,0.06,1.12,0.061,,0.018,,,,24.2,76,270,270,881
11/03/2005 0:00,,,,,,,,,,,,,,33.4,,,,
4/04/2005 0:00,0.314566223,18.3,,4,0.02,0.06,0.77,0.049,,0.016,,,,20.2,100,910,910,721
4/04/2005 0:00,,,,,,,,,,,,,,20.7,,,,
4/05/2005 0:00,0.380009958,15.3,,1.2,0.05,0.03,0.58,0.036,,0.013,,,,1.6,210,140,140,871
4/05/2005 0:00,,,,,0.06,0.03,0.58,0.036,,0.012,,,,3.6,200,160,160,
9/06/2005 0:00,0.24170553,9.3,,3,0.07,0.12,0.47,0.034,,0.007,,,,2.8,26,26,26,554
9/06/2005 0:00,,,,,0.05,0.12,0.48,0.036,,0.008,,,,2.2,30,40,40,
1/07/2005 0:00,0.103401102,14.1,,8,0.06,1.49,2.03,0.213,,0.133,,,,,12000,9000,9000,237
1/07/2005 0:00,,,,,0.05,1.53,2.19,0.223,,0.136,,,,,12000,8700,8700,
21/07/2005 0:00,0.477302979,8.5,,7.8,0.05,2.4,3.23,0.056,,0.013,,,,1.7,78,56,56,1094
21/07/2005 0:00,,,,,0.05,2.5,3.27,0.056,,0.013,,,,2,74,58,58,
21/07/2005 0:00,,,,,,,,,,,,,,,,,,
21/07/2005 0:00,,,,,,,,,,,,,,,,,,
25/08/2005 0:00,0.429747198,13.7,,6.8,0.005,0.4,1.06,0.04,,0.008,,,,27.3,22,54,54,985
25/08/2005 0:00,,,,,,,,,,,,,,28.9,,,,
