Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
10/04/2013 00:00,,,,,0.01,0.03,0.23,0.021,,,,,,,,,
1/05/2013 00:00,,,,,0.01,0.03,0.26,0.021,,,,,,,,,
22/05/2013 00:00,,,,,0.01,0.02,0.19,0.019,,,,,,,,,
23/10/2013 00:00,,,,,0.02,0.005,0.19,0.021,,,,,,,,,
6/11/2013 00:00,,,,,0.01,0.01,0.18,0.022,,,,,,,,,
4/12/2013 00:00,,,,,0.01,0.01,0.19,0.023,,,,,,,,,
10/01/2014 00:00,,,,,0.01,0.02,0.27,0.02,,,,,,,,,
5/02/2014 00:00,,,,,0.02,0.01,0.22,0.02,,,,,,,,,
26/02/2014 00:00,,,,,0.01,0.01,0.2,0.016,,,,,,,,,
19/03/2014 00:00,,,,,0.02,0.03,0.25,0.016,,,,,,,,,
9/04/2014 00:00,,,,,0.005,0.08,0.25,0.033,,,,,,,,,
30/04/2014 00:00,,,,,0.02,0.03,0.24,0.02,,,,,,,,,
21/05/2014 00:00,,,,,0.01,0.03,0.21,0.019,,,,,,,,,
18/06/2014 00:00,,,,,0.005,0.06,0.2,0.018,,,,,,,,,
9/07/2014 00:00,,,,,0.01,0.01,0.17,0.016,,,,,,,,,
6/08/2014 00:00,,,,,0.005,0.005,0.21,0.016,,,,,,,,,
9/09/2014 00:00,,,,,0.01,0.03,0.25,0.017,,,,,,,,,
1/10/2014 00:00,,,,,0.005,0.01,0.21,0.013,,,,,,,,,
22/10/2014 00:00,,,,,0.005,0.005,0.21,0.017,,,,,,,,,
12/11/2014 00:00,,,,,0.01,0.02,0.23,0.02,,,,,,,,,
3/12/2014 00:00,,,,,0.02,0.01,0.2,0.016,,,,,,,,,
18/12/2014 00:00,,,,,0.01,0.005,0.26,0.014,,,,,,,,,
14/01/2015 00:00,,,,,0.01,0.02,0.23,0.019,,,,,,,,,
5/02/2015 00:00,,,,,0.02,0.02,0.19,0.018,,,,,,,,,
25/02/2015 00:00,,,,,0.01,0.01,0.27,0.022,,0.006,,,,,,,
18/03/2015 00:00,,,,,0.02,0.01,0.2,0.021,,0.006,,,,,,,
29/04/2015 00:00,,,,,0.08,0.2,0.64,0.034,,0.013,,,,,,,
20/05/2015 00:00,,,,,0.02,0.06,0.25,0.024,,0.011,,,,,,,
16/06/2015 00:00,,,,,0.01,0.05,0.23,0.014,,0.009,,,,,,,
