Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3, BGA _ugL,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL
01/01/2018 00:00:00,0.25,27.85,,7.75,,,,,,,,,,7.58,0,,
01/01/2018 00:30:00,0.25,27.86,,7.71,,,,,,,,,,8.86,0,,
01/01/2018 01:00:00,0.25,27.77,,7.7,,,,,,,,,,8.46,0,,
01/01/2018 01:30:00,0.25,27.7,,7.68,,,,,,,,,,13.4,0,,
01/01/2018 02:00:00,0.25,27.64,,7.63,,,,,,,,,,7.53,0,,
01/01/2018 02:30:00,0.25,27.58,,7.61,,,,,,,,,,10,0,,
01/01/2018 03:00:00,0.24,27.55,,7.58,,,,,,,,,,9.76,0,,
01/01/2018 03:30:00,0.24,27.51,,7.55,,,,,,,,,,10.95,0,,
01/01/2018 04:00:00,0.24,27.43,,7.53,,,,,,,,,,10.35,0,,
01/01/2018 04:30:00,0.24,27.37,,7.5,,,,,,,,,,10.36,0,,
01/01/2018 05:00:00,0.24,27.33,,7.47,,,,,,,,,,8.8,0,,
01/01/2018 05:30:00,0.24,27.27,,7.45,,,,,,,,,,5.91,0,,
01/01/2018 06:00:00,0.24,27.27,,7.44,,,,,,,,,,9.5,0,,
01/01/2018 06:30:00,0.24,27.3,,7.42,,,,,,,,,,8.55,0,,
01/01/2018 07:00:00,0.24,27.37,,7.45,,,,,,,,,,7.43,0,,
01/01/2018 07:30:00,0.24,27.52,,7.47,,,,,,,,,,9.19,0,,
01/01/2018 08:00:00,0.24,27.65,,7.47,,,,,,,,,,8.32,0,,
01/01/2018 08:30:00,0.24,27.76,,7.48,,,,,,,,,,7.08,0,,
01/01/2018 09:00:00,0.25,27.88,,7.51,,,,,,,,,,6.17,0,,
01/01/2018 09:30:00,0.25,28.01,,7.54,,,,,,,,,,6.8,0,,
01/01/2018 10:00:00,0.25,28.09,,7.55,,,,,,,,,,6.37,0,,
01/01/2018 10:30:00,0.26,28.2,,7.61,,,,,,,,,,6.33,0,,
01/01/2018 11:00:00,0.26,28.22,,7.64,,,,,,,,,,6.42,0,,
01/01/2018 11:30:00,0.27,28.28,,7.61,,,,,,,,,,6.79,0,,
01/01/2018 12:00:00,0.27,28.31,,7.69,,,,,,,,,,6.05,0,,
01/01/2018 12:30:00,0.27,28.34,,7.74,,,,,,,,,,6.31,0,,
01/01/2018 13:00:00,0.27,28.86,,7.88,,,,,,,,,,4.28,0,,
01/01/2018 13:30:00,0.27,28.62,,8.01,,,,,,,,,,6.1,0,,
01/01/2018 14:00:00,0.26,28.69,,8.08,,,,,,,,,,7.16,0,,
01/01/2018 14:30:00,0.26,28.77,,8.17,,,,,,,,,,6.66,0,,
01/01/2018 15:00:00,0.26,28.74,,8.12,,,,,,,,,,6.93,0,,
01/01/2018 15:30:00,0.25,28.69,,8.06,,,,,,,,,,8.11,0,,
01/01/2018 16:00:00,0.25,28.64,,8.04,,,,,,,,,,8.08,0,,
01/01/2018 16:30:00,0.25,28.68,,8.12,,,,,,,,,,8.92,0,,
01/01/2018 17:00:00,0.25,28.61,,8.13,,,,,,,,,,8.09,0,,
01/01/2018 17:30:00,0.24,28.55,,8.14,,,,,,,,,,9.45,0,,
01/01/2018 18:00:00,0.24,28.48,,8.11,,,,,,,,,,10.31,0,,
01/01/2018 18:30:00,0.24,28.26,,8.1,,,,,,,,,,10.45,0,,
01/01/2018 19:00:00,0.24,28.15,,8.05,,,,,,,,,,10.04,0,,
01/01/2018 19:30:00,0.24,28.09,,8.03,,,,,,,,,,8.75,0,,
01/01/2018 20:00:00,0.24,28.09,,7.99,,,,,,,,,,10.26,0,,
01/01/2018 20:30:00,0.24,28.08,,7.98,,,,,,,,,,10.92,0,,
01/01/2018 21:00:00,0.24,28.11,,7.97,,,,,,,,,,9.52,0,,
01/01/2018 21:30:00,0.25,28.08,,7.93,,,,,,,,,,9.94,0,,
01/01/2018 22:00:00,0.25,28.09,,7.89,,,,,,,,,,10.6,0,,
01/01/2018 22:30:00,0.25,28.12,,7.85,,,,,,,,,,10.48,0,,
01/01/2018 23:00:00,0.25,28.12,,7.83,,,,,,,,,,7.88,0,,
01/01/2018 23:30:00,0.25,28.14,,7.8,,,,,,,,,,14.29,0,,
02/01/2018 00:00:00,0.26,28.14,,7.79,,,,,,,,,,9.24,0,,
02/01/2018 00:30:00,0.26,28.13,,7.77,,,,,,,,,,9.15,0,,
02/01/2018 01:00:00,0.26,28.11,,7.75,,,,,,,,,,9.61,0,,
02/01/2018 01:30:00,0.26,27.98,,7.72,,,,,,,,,,8.38,0,,
02/01/2018 02:00:00,0.25,27.95,,7.68,,,,,,,,,,9.49,0,,
02/01/2018 02:30:00,0.25,27.86,,7.65,,,,,,,,,,10.21,0,,
02/01/2018 03:00:00,0.25,27.83,,7.61,,,,,,,,,,7.42,0,,
02/01/2018 03:30:00,0.25,27.8,,7.6,,,,,,,,,,8.16,0,,
02/01/2018 04:00:00,0.25,27.74,,7.57,,,,,,,,,,9.53,0,,
02/01/2018 04:30:00,0.24,27.72,,7.56,,,,,,,,,,21.89,0,,
