Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
08/03/2018 00:00,,20.7,,8,0.03,0.11,0.37,0.032,,0.014,,,,0.8,,1200,110
29/03/2018 00:00,,19.2,,8.1,0.02,0.31,0.68,0.029,,0.009,,,,14,,520,100
18/04/2018 00:00,,18.1,,9.1,0.01,0.04,0.31,0.019,,0.005,,,,0.9,,72,47
07/05/2018 00:00,,14.9,,9.3,0.04,0.26,0.55,0.029,,0.008,,,,1.3,,76,68
01/06/2018 00:00,,11.5,,9.5,0.01,0.13,0.52,0.048,,0.019,,,,2.3,,1500,770
20/06/2018 00:00,,12,,10.5,0.01,0.32,0.56,0.042,,0.026,,,,0.5,,2600,2500
10/07/2018 00:00,,10.1,,10.9,0.01,0.22,0.45,0.03,,0.006,,,,0.8,,370,120
30/07/2018 00:00,,9.9,,10.2,0.01,0.42,0.73,0.032,,0.011,,,,2,,590,340
24/08/2018 00:00,,11.6,,10.4,0.05,0.83,1.12,0.021,,0.007,,,,7.2,,380,100
11/09/2018 00:00,,14.5,,8.8,0.04,0.31,0.6,0.04,,0.014,,,,1,,280,97
04/10/2018 00:00,,16.2,,9.3,0.17,0.6,1.09,0.095,,0.037,,,,4.3,,2600,4000
22/10/2018 00:00,,19,,9.1,0.05,0.94,1.25,0.036,,0.012,,,,0.7,,790,530
15/11/2018 00:00,,19,,7.8,0.04,0.2,0.62,0.034,,0.01,,,,1.5,,420,370
10/12/2018 00:00,,22.4,,7.8,0.04,0.24,0.65,0.026,,0.009,,,,4.8,,450,130
31/12/2018 00:00,,23.9,,7.6,0.56,0.3,1.29,0.057,,0.009,,,,1,,2700,93
