Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_checkunit,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
21/01/2005 00:00,,26.6,4,6.7,,,0.41,0.017,1.3,0.006,,,,6.1,,,
14/02/2005 00:00,,26.8,13,7.4,,,0.46,0.042,0.8,0.012,,,,27.8,,,
10/03/2005 00:00,,22,9,6.4,,,0.49,0.031,0.8,0.013,,,,12.8,,,
21/04/2005 00:00,,22.6,3,6.8,,,0.38,0.031,0.9,0.012,,,,8.1,,,
27/05/2005 00:00,,17.8,30,8,,,0.41,0.022,1.2,0.009,,,,6.9,,,
20/06/2005 00:00,,15.3,11,9.5,,,0.34,0.021,1.1,0.008,,,,4.5,,,
20/07/2005 00:00,,12.6,32,8.6,,,0.83,0.05,3.7,0.008,,,,7.3,,,
31/08/2005 00:00,,16.9,7,9.9,,,0.51,0.014,0.4,0.004,,,,17.4,,,
22/09/2005 00:00,,18,38,9.7,,,0.41,0.036,0.5,0.004,,,,6.4,,,
30/10/2005 00:00,,22.3,12,7.2,,,0.35,0.012,0.8,0.004,,,,5.3,,,
29/11/2005 00:00,,22.9,21,8.1,,,0.2,0.01,1.61,0.005,,,,5.2,,,
17/12/2005 00:00,,25.9,18,6.4,,,0.3,0.02,1.74,0.005,,,,14.7,,,
16/01/2006 00:00,,27.3,30,5.3,,,0.5,0.05,2.37,0.009,,,,5.4,,,
15/02/2006 00:00,,26.9,12,5.7,,,0.3,0.01,2.34,0.005,,,,5.6,,,
23/03/2006 00:00,,25.1,10,5.8,,,0.4,0.01,2.58,0.006,,,,4.2,,,
10/04/2006 00:00,,22.5,14,7.3,,,0.3,0.02,1.74,0.005,,,,7.2,,,
10/05/2006 00:00,,18.2,19,8.1,,,0.3,0.01,1.13,0.005,,,,4.6,,,
15/06/2006 00:00,,14.2,30,9,,,0.6,0.01,0.22,0.005,,,,8.8,,,
10/07/2006 00:00,,12.9,14,9,,,0.4,0.01,0.66,0.005,,,,2.5,,,
09/08/2006 00:00,,13.2,9,9.6,,,0.3,0.01,0.88,0.005,,,,3.6,,,
14/09/2006 00:00,,16.7,9,9.6,,,0.4,0.01,1.92,0.005,,,,7.1,,,
08/10/2006 00:00,,21,11,8.4,,,0.4,0.01,0.64,0.005,,,,5.3,,,
07/11/2006 00:00,,21.4,19,6.4,,,0.3,0.01,1.21,0.006,,,,5,,,
07/12/2006 00:00,,24.5,14,7.1,,,0.3,0.01,1.21,0.005,,,,5.8,,,
12/01/2007 00:00,,26.9,,7,,,,,,,,,,4.4,,,
05/02/2007 00:00,,27.7,16,5.5,,,0.4,0.01,1.68,0.005,,,,3.1,,,
07/03/2007 00:00,,26,26,5.3,,,0.8,0.04,2.79,0.015,,,,9.1,,,
12/04/2007 00:00,,23.1,9,7.2,,,0.4,0.01,1.79,0.006,,,,6.4,,,
18/05/2007 00:00,,20.2,16,6.8,,,0.5,0.01,2.16,0.006,,,,5,,,
05/06/2007 00:00,,17.1,7,8.8,,,0.5,0.01,0.96,0.005,,,,8.5,,,
10/07/2007 00:00,,11.8,10,10,,,0.8,0.05,6.25,0.005,,,,2.1,,,
10/08/2007 00:00,,12.7,32,9.8,,,0.8,0.01,4.97,0.005,,,,4.6,,,
03/09/2007 00:00,,15.9,21,9,,,0.8,0.06,2.57,0.005,,,,20.1,,,
03/10/2007 00:00,,19.9,6,10.1,,,0.8,0.01,0.34,0.005,,,,13,,,
06/11/2007 00:00,,21.4,25,7.6,,,0.4,0.01,0.45,0.005,,,,8.4,,,
28/11/2007 00:00,,24.4,12,6.9,,,0.3,0.02,2.65,0.005,,,,18.6,,,
07/01/2008 00:00,,26.2,15,6.1,,,0.4,0.02,1.08,0.005,,,,5.7,,,
08/01/2008 00:00,,26.9,1,8.6,,,0.4,0.01,1.98,0.022,,,,10.1,,,
06/02/2008 00:00,,24.8,7,6.5,,,0.6,0.03,3.11,0.005,,,,15.8,,,
10/02/2008 00:00,,19.8,43,9.2,,,1.1,0.13,5.83,0.053,,,,3,,,
05/03/2008 00:00,,21.7,20,7.5,,,0.5,0.01,3.32,0.005,,,,3.5,,,
07/03/2008 00:00,,24.2,7,5,,,0.6,0.01,2.49,0.005,,,,3.7,,,
31/03/2008 00:00,,23.7,6,7,,,0.4,0.03,2.38,0.005,,,,8.3,,,
01/04/2008 00:00,,20.5,5,8.2,,,0.6,0.01,3.37,0.005,,,,10,,,
30/04/2008 00:00,,18.3,12,9,,,0.4,0.02,1.61,0.005,,,,7,,,
04/05/2008 00:00,,14.5,,9.1,,,,,,,,,,1,,,
29/05/2008 00:00,,13.2,4,10.3,,,0.6,0.01,2.7,0.005,,,,8.9,,,
30/05/2008 00:00,,16.7,11,9.7,,,0.3,0.01,2.55,0.005,,,,14.6,,,
23/06/2008 00:00,,14.9,14,9.3,,,0.7,0.03,3.91,0.005,,,,8.6,,,
24/06/2008 00:00,,12.3,3,13.6,,,0.9,0.01,3.99,0.005,,,,7.4,,,
22/07/2008 00:00,,13.4,34,10.6,,,0.5,0.01,1.04,0.005,,,,10.3,,,
24/07/2008 00:00,,10,2,11,,,0.6,0.01,2.5,0.005,,,,2.2,,,
20/08/2008 00:00,,9.9,3,11.7,,,0.5,0.01,1.95,0.005,,,,3.8,,,
22/08/2008 00:00,,13.3,11,11.2,,,0.3,0.01,0.96,0.005,,,,10.4,,,
16/09/2008 00:00,,16.1,14,9.9,,,0.4,0.01,2.16,0.005,,,,11,,,
19/09/2008 00:00,,15.6,3,11.5,,,0.4,0.01,1.37,0.005,,,,10.1,,,
14/10/2008 00:00,,20.9,6,7.7,,,0.3,0.01,3.28,0.005,,,,10.1,,,
16/10/2008 00:00,,19.9,1,9.5,,,0.6,0.01,1.58,0.005,,,,2.3,,,
11/11/2008 00:00,,22.8,1,10,,,0.3,0.01,2.7,0.005,,,,2.4,,,
12/11/2008 00:00,,23.3,6,7.5,,,0.3,0.01,1.22,0.005,,,,5.2,,,
09/12/2008 00:00,,24.8,1,8.7,,,0.3,0.01,1.26,0.005,,,,2.5,,,
10/12/2008 00:00,,24.7,16,7.2,,,0.4,0.01,0.74,0.005,,,,7,,,
06/01/2009 00:00,,26.5,10,6.7,,,0.36,0.019,0.1,0.001,,,,15,,,
07/01/2009 00:00,,26.1,1,8.1,,,0.26,0.005,0.32,0.001,,,,4.4,,,
03/02/2009 00:00,,28.8,2,7.6,,,0.28,0.005,0.62,0.001,,,,3.5,,,
04/02/2009 00:00,,28.5,11,6.4,,,0.37,0.005,0.97,0.003,,,,19.5,,,
03/03/2009 00:00,,25.4,2,8.5,,,0.23,0.005,3.01,0.002,,,,4.3,,,
04/03/2009 00:00,,25.2,9,7.4,,,0.56,0.005,0.26,0.002,,,,37.6,,,
31/03/2009 00:00,,23.3,2,8.7,,,0.24,0.009,1.96,0.003,,,,7.2,,,
01/04/2009 00:00,,24.2,13,6.4,,,0.42,0.01,0.92,0.005,,,,9.1,,,
28/04/2009 00:00,,17,1,9.2,,,0.32,0.005,1.98,0.002,,,,4.1,,,
29/04/2009 00:00,,19.4,25,7.2,,,0.51,0.042,2.94,0.007,,,,9.2,,,
26/05/2009 00:00,,14.9,2,10,,,0.74,0.013,1.74,0.004,,,,4.9,,,
