Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
10/01/2005 00:00,,21.8,,6.5,0.02,0.4,0.9,0.053,,0.022,,,,3.1,,160,70
10/01/2005 00:00,,,,,0.02,0.4,0.89,0.047,,0.023,,,,2.9,,110,61
03/02/2005 00:00,,22.6,,6.4,0.03,1.11,1.81,0.153,,0.047,,,,,,2200,1100
03/02/2005 00:00,,,,,0.03,1.11,1.81,0.153,,0.046,,,,,,2200,1500
09/02/2005 00:00,,22.6,,5.8,0.05,0.93,1.41,0.083,,0.021,,,,3.7,,52,72
09/02/2005 00:00,,,,,0.05,0.93,1.42,0.084,,0.021,,,,3.5,,76,76
11/03/2005 00:00,,20.5,,5.8,0.04,1.48,2.07,0.059,,0.021,,,,5,,44,70
11/03/2005 00:00,,,,,0.04,1.49,2.11,0.061,,0.02,,,,4.3,,72,85
04/04/2005 00:00,,17.6,,7.4,0.03,2.6,3.41,0.047,,0.016,,,,1.9,,240,94
04/04/2005 00:00,,,,,0.03,2.6,3.43,0.046,,0.017,,,,1.4,,200,100
04/05/2005 00:00,,15.2,,8.4,0.02,4.2,4.68,0.037,,0.016,,,,1.5,,80,46
04/05/2005 00:00,,,,,0.02,4.3,4.75,0.037,,0.015,,,,1.6,,84,42
09/06/2005 00:00,,11.1,,10.6,0.02,5.8,6.4,0.036,,0.016,,,,0.1,,90,36
09/06/2005 00:00,,,,,0.02,6,6.3,0.036,,0.016,,,,0.7,,80,32
02/07/2005 00:00,,13.6,,8.5,0.03,1.41,1.76,0.105,,0.046,,,,,,950,3000
02/07/2005 00:00,,,,,0.03,1.4,1.75,0.113,,0.046,,,,,,1100,3000
21/07/2005 00:00,,9,,12.3,0.02,5.2,6.4,0.046,,0.014,,,,1.4,,54,22
21/07/2005 00:00,,,,,0.02,5.2,6.2,0.047,,0.014,,,,0.9,,72,22
21/07/2005 00:00,,,,,,,,,,,,,,,,,
21/07/2005 00:00,,,,,,,,,,,,,,,,,
25/08/2005 00:00,,8.6,,12.2,0.01,8,8.8,0.036,,0.013,,,,2.4,,61,35
25/08/2005 00:00,,,,,0.01,8,8.9,0.038,,0.013,,,,1.6,,64,33
12/09/2005 00:00,,,,,0.01,1.97,2.33,0.056,,0.01,,,,10.2,,66,70
12/09/2005 00:00,,,,,,,,,,,,,,10.5,,,
