Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonium_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL,Conductivity_microSpercm
10/07/2008 0:00,,11.3,,9.2,0.05,2.8,3.57,0.074,,0.022,,,,3.3,,,,
29/07/2008 0:00,,11.1,,9.7,0.18,3.3,4.14,0.058,,0.016,,,,18.2,,,,
14/08/2008 0:00,,12,,10.9,0.005,2.5,3.3,0.06,,0.015,,,,26.8,,,,
3/09/2008 0:00,,14.7,,8.6,0.14,2,2.71,0.067,,0.022,,,,5,,,,
24/09/2008 0:00,,18.1,,6,0.06,2,2.57,0.075,,0.025,,,,6.4,,,,
15/10/2008 0:00,,18.9,,6.7,0.11,1.41,2.15,0.125,,0.04,,,,5.5,,,,
4/11/2008 0:00,,21.5,,4.8,0.08,1.63,2.33,0.075,,0.028,,,,7.1,,,,
25/11/2008 0:00,,20.4,,4.4,0.15,0.99,1.57,0.107,,0.042,,,,2.5,,,,
17/12/2008 0:00,,22.5,,4.2,0.06,1.05,1.61,0.141,,0.041,,,,2.8,,,,
7/01/2009 0:00,,26.4,,4.7,0.02,1.06,1.69,0.091,,0.029,,,,12.4,,,,
27/01/2009 0:00,,26.1,,4.1,0.02,0.76,1.49,0.102,,0.033,,,,32.8,,,,
18/02/2009 0:00,,19.9,,5.9,0.14,1.36,2.26,0.159,,0.061,,,,2.1,,,,
9/03/2009 0:00,,22.8,,4.4,0.05,1.13,1.76,0.093,,0.035,,,,3.8,,,,
1/04/2009 0:00,,20.4,,6.8,0.05,0.68,1.36,0.217,,0.096,,,,5.9,,,,
23/04/2009 0:00,,18.4,,6.5,0.07,1.32,1.85,0.11,,0.034,,,,19.6,,,,
15/05/2009 0:00,,14.7,,6.8,0.03,2.3,2.92,0.072,,0.024,,,,2.4,,,,
2/06/2009 0:00,,15.1,,7.7,0.06,1.94,2.76,0.126,,0.041,,,,0.7,,,,
23/06/2009 0:00,,13.6,,8.3,0.16,1.39,2.35,0.218,,0.11,,,,3.6,,,,
15/07/2009 0:00,,11.6,,8.8,0.05,2.2,2.85,0.069,,0.024,,,,3.4,,,,
3/08/2009 0:00,,11.5,,10.2,0.01,1.72,2.35,0.067,,0.02,,,,24.7,,,,
27/08/2009 0:00,,14.9,,8.4,0.06,2,2.71,0.066,,0.024,,,,16.4,,,,
15/09/2009 0:00,,17.2,,6.4,0.08,1.87,2.59,0.078,,0.027,,,,4.5,,,,
6/10/2009 0:00,,16.2,,8.2,0.05,1.16,1.83,0.191,,0.058,,,,5.7,,,,
27/10/2009 0:00,,17.6,,6.5,0.27,1.08,1.94,0.144,,0.069,,,,5.1,,,,
17/11/2009 0:00,,24.6,,4.4,0.04,1.05,1.7,0.094,,0.03,,,,6.6,,,,
10/12/2009 0:00,,25.6,,4.1,0.01,0.82,1.41,0.09,,0.027,,,,11.8,,,,
21/12/2009 0:00,,24.7,,4.1,0.06,0.95,1.58,0.082,,0.031,,,,7.5,,,,
19/01/2010 0:00,,25.1,,4.3,0.02,1.43,1.87,0.069,,0.025,,,,12.5,,,,
13/02/2010 0:00,,25.4,,5.1,0.11,1.71,2.44,0.183,,0.061,,,,9.9,,,,
3/03/2010 0:00,,22.4,,4.5,0.05,1.65,2.42,0.087,,0.035,,,,5.2,,,,
24/03/2010 0:00,,24.1,,4.7,0.01,1.11,1.69,0.066,,0.022,,,,13.8,,,,
14/04/2010 0:00,,19.7,,4.8,0.03,1.47,1.92,0.075,,0.026,,,,3.9,,,,
7/05/2010 0:00,,16.5,,5.5,0.03,1.46,2,0.055,,0.024,,,,3.7,,,,
