Site Name,ECLOI Start,ECLOI End,ECLOI Num,ENT Start,ENT End,ENT Num,FC Start,FC End,FC Num,SAL Start,SAL End,SAL Num,TEMP Start,TEMP End,TEMP Num,WQ_DIAG_PHY_TCHLA Start,WQ_DIAG_PHY_TCHLA End,WQ_DIAG_PHY_TCHLA Num,WQ_DIAG_TOT_TN Start,WQ_DIAG_TOT_TN End,WQ_DIAG_TOT_TN Num,WQ_DIAG_TOT_TOC Start,WQ_DIAG_TOT_TOC End,WQ_DIAG_TOT_TOC Num,WQ_DIAG_TOT_TON Start,WQ_DIAG_TOT_TON End,WQ_DIAG_TOT_TON Num,WQ_DIAG_TOT_TP Start,WQ_DIAG_TOT_TP End,WQ_DIAG_TOT_TP Num,WQ_DIAG_TOT_TSS Start,WQ_DIAG_TOT_TSS End,WQ_DIAG_TOT_TSS Num,WQ_NCS_SS1 Start,WQ_NCS_SS1 End,WQ_NCS_SS1 Num,WQ_NIT_AMM Start,WQ_NIT_AMM End,WQ_NIT_AMM Num,WQ_NIT_NIT Start,WQ_NIT_NIT End,WQ_NIT_NIT Num,WQ_OGM_DOC Start,WQ_OGM_DOC End,WQ_OGM_DOC Num,WQ_OXY_OXY Start,WQ_OXY_OXY End,WQ_OXY_OXY Num,WQ_PHS_FRP Start,WQ_PHS_FRP End,WQ_PHS_FRP Num,WQ_SIL_RSI Start,WQ_SIL_RSI End,WQ_SIL_RSI Num,
EES_Sackville_Buoy,01/01/2018,31/12/2018,17340,,,,,,,01/01/2018,31/12/2018,17340,01/01/2018,31/12/2018,17340,01/01/2018,31/12/2018,17340,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2018,31/12/2018,17340,,,,,,,
Hornsby_061_Calabash,,,,,,,,,,01/01/2012,08/11/2012,29991,01/01/2012,08/11/2012,29991,01/01/2012,08/11/2012,29991,10/01/2012,18/12/2018,155,,,,,,,10/01/2012,18/12/2018,155,,,,,,,10/01/2012,18/12/2018,155,10/01/2012,18/12/2018,155,10/01/2012,18/12/2018,0,,,,10/01/2012,18/12/2018,107,,,,
Hornsby_151_Bar_Island,,,,,,,,,,01/01/2012,08/11/2012,29999,01/01/2012,08/11/2012,29999,01/01/2012,08/11/2012,29997,10/04/2013,18/12/2018,84,,,,,,,10/04/2013,18/12/2018,84,,,,,,,10/04/2013,18/12/2018,83,10/04/2013,18/12/2018,84,,,,,,,10/04/2013,18/12/2018,59,,,,
Hornsby_HAWK1_Gunyah_Point,,,,,,,,,,01/01/2013,28/10/2013,29999,01/01/2013,28/10/2013,29999,01/01/2013,28/10/2013,29999,10/04/2013,18/12/2018,85,,,,,,,10/04/2013,18/12/2018,85,,,,,,,10/04/2013,18/12/2018,85,10/04/2013,18/12/2018,85,,,,,,,10/04/2013,18/12/2018,60,,,,
Hornsby_HAWK2_Courangra,,,,,,,,,,01/01/2012,08/11/2012,22268,01/01/2012,08/11/2012,22268,01/01/2012,08/11/2012,22268,10/04/2013,18/12/2018,84,10/04/2013,18/12/2018,5,10/04/2013,18/12/2018,3,10/04/2013,18/12/2018,84,,,,,,,10/04/2013,18/12/2018,84,10/04/2013,18/12/2018,84,10/04/2013,18/12/2018,3,,,,10/04/2013,18/12/2018,60,,,,
Hornsby_HAWK3_Laughtondale,,,,,,,,,,01/01/2012,08/11/2012,29999,01/01/2012,08/11/2012,29999,01/01/2012,08/11/2012,29999,10/04/2013,18/12/2018,82,10/04/2013,18/12/2018,4,10/04/2013,18/12/2018,3,10/04/2013,18/12/2018,82,,,,,,,10/04/2013,18/12/2018,82,10/04/2013,18/12/2018,82,10/04/2013,18/12/2018,3,,,,10/04/2013,18/12/2018,58,,,,
GR4301,,,,,,,,,,,,,23/01/2012,11/02/2016,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/01/2012,11/02/2016,8,,,,,,,
N14,05/01/2005,23/06/2008,91,05/01/2005,23/06/2008,91,05/01/2005,23/06/2008,91,,,,05/01/2005,23/06/2008,139,05/01/2005,23/06/2008,83,05/01/2005,23/06/2008,91,,,,,,,05/01/2005,23/06/2008,91,05/01/2005,23/06/2008,156,05/01/2005,23/06/2008,156,05/01/2005,23/06/2008,91,05/01/2005,23/06/2008,91,,,,05/01/2005,23/06/2008,139,05/01/2005,23/06/2008,91,05/01/2005,23/06/2008,156,
N18,05/01/2005,21/12/2018,98,05/01/2005,21/12/2018,98,05/01/2005,21/12/2018,98,05/01/2005,21/12/2018,361,05/01/2005,21/12/2018,325,05/01/2005,21/12/2018,445,05/01/2005,21/12/2018,449,05/01/2005,21/12/2018,8,,,,05/01/2005,21/12/2018,449,05/01/2005,21/12/2018,10,05/01/2005,21/12/2018,10,05/01/2005,21/12/2018,451,05/01/2005,21/12/2018,451,05/01/2005,21/12/2018,8,05/01/2005,21/12/2018,315,05/01/2005,21/12/2018,449,,,,
N2202,,,,,,,,,,,,,10/07/2008,28/12/2018,183,10/07/2008,28/12/2018,366,10/07/2008,28/12/2018,366,10/07/2008,28/12/2018,9,,,,10/07/2008,28/12/2018,366,,,,,,,10/07/2008,28/12/2018,366,10/07/2008,28/12/2018,366,10/07/2008,28/12/2018,9,10/07/2008,28/12/2018,183,10/07/2008,28/12/2018,366,,,,
N26,05/01/2005,21/12/2018,86,05/01/2005,21/12/2018,86,05/01/2005,21/12/2018,86,05/01/2005,21/12/2018,365,05/01/2005,21/12/2018,309,05/01/2005,21/12/2018,446,05/01/2005,21/12/2018,437,05/01/2005,21/12/2018,8,,,,05/01/2005,21/12/2018,437,05/01/2005,21/12/2018,10,05/01/2005,21/12/2018,10,05/01/2005,21/12/2018,439,05/01/2005,21/12/2018,439,05/01/2005,21/12/2018,8,05/01/2005,21/12/2018,314,05/01/2005,21/12/2018,437,,,,
N3001,,,,,,,,,,,,,13/07/2009,21/12/2018,162,13/07/2009,21/12/2018,326,13/07/2009,21/12/2018,326,,,,,,,13/07/2009,21/12/2018,326,,,,,,,13/07/2009,21/12/2018,326,13/07/2009,21/12/2018,326,,,,13/07/2009,21/12/2018,163,13/07/2009,21/12/2018,326,,,,
N35,05/01/2005,21/12/2018,91,05/01/2005,21/12/2018,91,05/01/2005,21/12/2018,91,,,,05/01/2005,21/12/2018,330,05/01/2005,21/12/2018,449,05/01/2005,21/12/2018,442,05/01/2005,21/12/2018,8,,,,05/01/2005,21/12/2018,442,05/01/2005,21/12/2018,246,05/01/2005,21/12/2018,246,05/01/2005,21/12/2018,444,05/01/2005,21/12/2018,444,05/01/2005,21/12/2018,8,05/01/2005,21/12/2018,320,05/01/2005,21/12/2018,442,05/01/2005,21/12/2018,246,
N38,05/01/2005,28/11/2016,86,05/01/2005,28/11/2016,86,05/01/2005,28/11/2016,86,,,,05/01/2005,28/11/2016,139,05/01/2005,28/11/2016,84,05/01/2005,28/11/2016,87,,,,,,,05/01/2005,28/11/2016,87,,,,,,,05/01/2005,28/11/2016,87,05/01/2005,28/11/2016,87,,,,05/01/2005,28/11/2016,139,05/01/2005,28/11/2016,86,,,,
N39,21/01/2005,24/12/2018,87,21/01/2005,24/12/2018,87,21/01/2005,24/12/2018,87,,,,21/01/2005,24/12/2018,234,21/01/2005,24/12/2018,438,21/01/2005,24/12/2018,445,21/01/2005,24/12/2018,9,,,,21/01/2005,24/12/2018,445,21/01/2005,24/12/2018,11,21/01/2005,24/12/2018,11,21/01/2005,24/12/2018,445,21/01/2005,24/12/2018,445,21/01/2005,24/12/2018,9,21/01/2005,24/12/2018,224,21/01/2005,24/12/2018,444,,,,
