Date,Q_m3s,TN_mgperL,TP_mgperL,Ecoli_cfuper100mL,Enterococci_cfuper100mL
04/12/2016,3.34620328009259,0.973442928,0.037205703,313.183178,345.7730523
05/12/2016,3.38255419212963,0.992306471,0.038548769,321.9807562,354.73739
06/12/2016,3.54779974652778,1.030256394,0.044455217,391.1018841,424.1667662
07/12/2016,4.08575247569444,1.115370605,0.061853506,626.5297296,663.5978695
08/12/2016,4.8220716724537,1.200122731,0.081758556,890.2033594,926.4518531
09/12/2016,5.41760758912037,1.247788889,0.09526184,1074.221964,1107.428529
10/12/2016,5.63091564814815,1.255525415,0.10017883,1150.334163,1181.191804
11/12/2016,5.4858639212963,1.239124802,0.098591449,1141.50694,1171.609479
12/12/2016,5.13661677662037,1.218020323,0.093439545,1082.413963,1113.051529
13/12/2016,4.7285283912037,1.206367194,0.087136174,999.7809225,1031.576448
14/12/2016,4.38162181365741,1.219491442,0.082132469,924.0457248,956.8511904
15/12/2016,4.59786837037037,1.293472823,0.086074596,951.6804764,995.6143786
16/12/2016,8.8049983587963,1.485171336,0.127799548,1554.608338,1620.557999
17/12/2016,18.117793275463,1.612302967,0.164770923,2022.917218,2061.791512
18/12/2016,24.6206524652778,1.668896638,0.181300918,2247.632643,2279.63189
19/12/2016,25.1301869560185,1.657013317,0.182355052,2279.859916,2316.174548
20/12/2016,21.7148821412037,1.600971603,0.174223185,2196.7823,2240.6074
21/12/2016,17.499989837963,1.518823917,0.160647123,2045.149867,2096.262055
22/12/2016,13.89025375,1.424070424,0.144393805,1855.981348,1912.669042
23/12/2016,11.1087286006944,1.328189615,0.127667886,1652.317883,1712.295436
24/12/2016,9.14677262847222,1.239588797,0.111939993,1453.604664,1515.995493
25/12/2016,8.79033878356482,1.188486634,0.103352576,1332.809674,1404.728924
26/12/2016,9.25701706828704,1.191190999,0.104876627,1330.955229,1407.41162
27/12/2016,9.44670601736111,1.207581235,0.108735263,1359.542463,1430.709019
28/12/2016,8.78822530208333,1.204271092,0.108472581,1337.14565,1399.161516
29/12/2016,7.6534327662037,1.183222653,0.103242254,1252.88633,1305.653157
30/12/2016,6.50561425231481,1.157931083,0.094037423,1118.643841,1163.621644
31/12/2016,5.58043473611111,1.141974023,0.082594588,955.9932638,995.1453133
01/01/2017,4.92490236342593,1.139908618,0.070910042,790.8548759,826.1299628
02/01/2017,4.49532435300926,1.151284455,0.060890925,648.5517411,681.5406871
03/01/2017,4.23066061458333,1.17393041,0.053868447,547.7842363,579.483059
04/01/2017,4.09330579282407,1.204776339,0.050511276,499.1326766,530.0142804
05/01/2017,4.06941029976852,1.238771315,0.050862309,505.1162971,535.1141985
06/01/2017,4.556641,1.325672609,0.06603838,692.8131027,721.6551495
07/01/2017,6.32670383796296,1.467110092,0.107084536,1179.049132,1204.342264
08/01/2017,8.66562647453704,1.553612348,0.141018638,1602.405174,1624.430402
09/01/2017,9.92050745023148,1.572795643,0.155050537,1803.64405,1823.847578
10/01/2017,9.42787390856481,1.543888794,0.15424775,1815.568991,1835.212376
11/01/2017,8.17291547569444,1.488515426,0.144505019,1706.075179,1726.11138
12/01/2017,6.98501655092593,1.428130609,0.130605939,1540.098788,1561.101564
13/01/2017,6.10010520717593,1.381962125,0.116934735,1378.964375,1401.06913
14/01/2017,5.37476947569444,1.352431089,0.105058677,1237.782865,1261.055989
15/01/2017,4.72212137268519,1.330456282,0.094429735,1104.71441,1129.315255
16/01/2017,4.14491510185185,1.307927928,0.084430453,971.1789176,997.292836
17/01/2017,3.66936779050926,1.2867796,0.07497224,836.7790148,864.5453987
18/01/2017,3.29950189236111,1.277858903,0.066377916,706.9385052,736.3800547
19/01/2017,3.03184124189815,1.293718076,0.059062885,589.3484717,620.2650692
20/01/2017,2.88773804398148,1.337441338,0.054048646,501.9564943,533.8121223
21/01/2017,3.12016775115741,1.435401488,0.062030572,588.0239581,620.3525205
22/01/2017,3.74610013657407,1.542146322,0.081980914,838.6383073,866.9309702
23/01/2017,4.44483342592593,1.597503273,0.099151832,1071.472633,1095.82471
24/01/2017,4.90292316435185,1.599639451,0.106898754,1192.62389,1214.631619
25/01/2017,5.78769666087963,1.509508217,0.104932852,1213.027411,1256.082603
26/01/2017,7.15535489930556,1.35219019,0.093713887,1030.47305,1075.303017
27/01/2017,7.25684409259259,1.288235063,0.086343956,927.71721,971.7697488
28/01/2017,6.91079832986111,1.257939062,0.080351195,852.3042689,895.6284918
29/01/2017,6.38493805902778,1.247981566,0.07510931,786.8699025,829.8156363
30/01/2017,5.77903077314815,1.256579939,0.070535212,728.1386706,770.5961446
31/01/2017,5.18437347800926,1.280622663,0.066585503,674.8425527,716.3678034
01/02/2017,4.66084625462963,1.315469436,0.063287799,627.7322536,667.8736866
02/02/2017,4.78536977893519,1.417641912,0.075340766,802.2290246,808.2611781
03/02/2017,5.45919464583333,1.531655006,0.098872402,1132.164496,1103.976951
04/02/2017,5.96065812268519,1.595222411,0.116361059,1374.466805,1340.49186
05/02/2017,5.78376558912037,1.608498054,0.121700555,1441.042604,1417.726673
06/02/2017,5.15146971296296,1.592260425,0.116888314,1358.154526,1349.760939
07/02/2017,4.49101212731481,1.569791059,0.105802065,1181.544301,1186.996567
08/02/2017,5.11101151967593,1.617604472,0.114617338,1283.049995,1293.827036
09/02/2017,7.73862095833333,1.670314234,0.142569081,1641.523683,1656.980176
10/02/2017,10.8195625949074,1.696184709,0.161868053,1936.398234,1966.037936
11/02/2017,14.0480067361111,1.703957876,0.173573727,2118.48019,2160.519042
12/02/2017,16.0628119907407,1.69773579,0.178153223,2193.472267,2242.602495
13/02/2017,15.8195321990741,1.675775664,0.175422891,2175.686915,2229.39499
14/02/2017,13.8704764699074,1.637742453,0.166687071,2084.356239,2141.99974
15/02/2017,11.41032490625,1.587653479,0.153652451,1933.497007,1994.435611
16/02/2017,9.19750816087963,1.532400054,0.138242886,1739.104009,1801.936039
17/02/2017,7.4783506087963,1.481957502,0.122445345,1523.116218,1585.712505
18/02/2017,6.56215305671296,1.471522618,0.112461,1365.29502,1409.980676
19/02/2017,6.66325250810185,1.505661633,0.114457677,1334.440379,1353.012433
20/02/2017,7.14963377430556,1.566328994,0.125139115,1444.787137,1454.156146
21/02/2017,7.66698815162037,1.575015907,0.130447688,1498.208584,1507.131725
22/02/2017,7.2659842337963,1.578120205,0.13031636,1503.082478,1515.528951
23/02/2017,6.62133736342593,1.558256518,0.123648501,1427.146151,1444.03259
