Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonia mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL,TN_mgperL,TP_mgperL
21/01/2012 00:00:00,0.173935,0.436896,22.868834,2.016228,199.601286,0.000000,1.428571,450.434161,0.128311,   NaN,3938.160817,228.505850,413.847833,7.412603,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,451.862732,0.193548
22/01/2012 00:00:00,0.165249,0.450245,22.889431,1.000000,199.195035,0.000000,72.618181,377.359868,0.419492,   NaN,4053.333333,113.333333,341.895767,3.676471,0.008561,0.204721,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.876084,1.000000,449.978049,0.632775
23/01/2012 00:00:00,0.159067,0.488759,22.908286,1.000000,198.808448,0.000000,1.428571,491.424832,0.199485,   NaN,4053.333333,113.333333,486.319790,3.676471,0.004071,0.097353,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,492.853404,0.300909
24/01/2012 00:00:00,0.164371,0.524000,22.925391,1.000000,198.441640,0.000000,5.715706,584.618812,0.320778,   NaN,4053.333333,113.333333,579.513770,3.676471,0.006546,0.156546,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,5.857473,1.000000,590.334518,0.483871
25/01/2012 00:00:00,0.399657,0.408522,22.940743,2.583220,198.094720,0.000000,3.542550,418.924708,1.172034,   NaN,3873.901716,292.764950,362.286427,9.497133,0.023919,0.571977,0.000000,0.000000,0.000000,0.000000,   NaN,2208.183998,171.432703,126.623693,422.467258,1.767930
26/01/2012 00:00:00,0.646744,0.392957,22.954335,2.950376,197.767790,0.000000,26.239293,334.340194,2.285444,   NaN,3832.290703,334.375963,273.569783,10.846971,0.046642,1.115346,0.000000,0.000000,0.000000,0.000000,   NaN,4624.796846,357.109723,264.167200,360.579487,3.447432
27/01/2012 00:00:00,0.379295,0.456439,22.966166,1.000000,197.460948,0.000000,18.386331,451.317782,0.844879,   NaN,4053.333333,113.333333,446.212740,3.676471,0.017242,0.412319,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,3.560209,1.000000,469.704113,1.274440
28/01/2012 00:00:00,0.249130,0.433812,22.976230,1.000000,197.174283,0.000000,83.487151,187.274481,0.190725,   NaN,4053.333333,113.333333,182.169439,3.676471,0.003892,0.093078,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.420063,1.000000,270.761632,0.287695
29/01/2012 00:00:00,0.185296,0.481141,22.984525,3.180981,196.907882,0.000000,1.428571,528.477322,1.229152,   NaN,3806.155520,360.511147,473.016957,11.694782,0.025085,0.599852,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,529.905893,1.854089
30/01/2012 00:00:00,0.217930,0.576000,22.991048,1.000000,196.661822,0.000000,53.783801,425.502397,0.235237,   NaN,4053.333333,113.333333,416.073378,3.676471,0.004801,0.114801,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,479.286198,0.354839
31/01/2012 00:00:00,0.206459,0.410054,22.995798,2.445838,196.436176,0.000000,68.402163,317.716280,0.128311,   NaN,3889.471728,277.194938,250.875155,8.992050,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.569307,1.000000,386.118443,0.193548
