ISOTIME,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2012 00:00:00, NaN,0.4500,25.9058,10.0470,143.1300,138.6911,3.6008,14.4030,0.8235,0.0000,1066.6667,158.3333,9.6020,32.4068,0.3467,0.9969,0.0138,0.0110,0.0138,0.0138,0.0000,376.1957,0.0000,530.0610
02/01/2012 00:00:00, NaN,0.4500,25.9257,9.9938,142.2779,138.6481,3.5957,14.3827,0.8195,0.0000,1066.6667,158.3333,9.5885,32.3611,0.3450,0.9920,0.0138,0.0110,0.0138,0.0138,0.0000,371.3438,0.0000,522.9692
03/01/2012 00:00:00, NaN,0.4500,25.9433,9.9794,141.4439,138.6438,3.5915,14.3661,0.8150,0.0000,1066.6667,158.3333,9.5774,32.3237,0.3432,0.9866,0.0138,0.0110,0.0138,0.0138,0.0000,368.1086,0.0000,516.8178
04/01/2012 00:00:00, NaN,0.4500,25.9584,9.9760,140.6281,138.6544,3.5872,14.3488,0.8098,0.0000,1066.6667,158.3333,9.5659,32.2848,0.3410,0.9803,0.0138,0.0110,0.0138,0.0138,0.0000,365.5114,0.0000,510.7596
05/01/2012 00:00:00, NaN,0.4500,25.9713,9.9758,139.8308,138.6724,3.5825,14.3300,0.8040,0.0000,1066.6667,158.3333,9.5533,32.2425,0.3385,0.9733,0.0138,0.0110,0.0138,0.0138,0.0000,363.1734,0.0000,504.5242
06/01/2012 00:00:00, NaN,0.4500,25.9817,34.0782,139.0523,157.1614,4.6269,18.5077,1.2390,0.0000,1066.6667,158.3333,12.3385,41.6424,0.5217,1.4998,0.0138,0.0110,0.0138,0.0138,0.0000,950.2862,0.0000,1057.2933
07/01/2012 00:00:00, NaN,0.4500,25.9899,39.6979,138.2927,161.3022,4.8411,19.3643,1.2944,0.0000,1066.6667,158.3333,12.9095,43.5697,0.5450,1.5669,0.0138,0.0110,0.0138,0.0138,0.0000,1080.0945,0.0000,1176.6277
08/01/2012 00:00:00, NaN,0.4500,25.9956,33.4367,137.5523,156.5322,4.5633,18.2531,1.1728,0.0000,1066.6667,158.3333,12.1687,41.0694,0.4938,1.4197,0.0138,0.0110,0.0138,0.0138,0.0000,924.6777,0.0000,1024.6872
09/01/2012 00:00:00, NaN,0.4500,25.9990,92.4100,136.8313,201.8890,7.1609,28.6437,2.2971,0.0000,1066.6667,158.3333,19.0958,64.4483,0.9672,2.7807,0.0138,0.0110,0.0138,0.0138,0.0000,2373.7339,0.0000,2403.2257
10/01/2012 00:00:00, NaN,0.4500,26.0000,94.8828,136.1299,203.2492,7.1914,28.7657,2.2201,0.0000,1066.6667,158.3333,19.1771,64.7228,0.9348,2.6875,0.0138,0.0110,0.0138,0.0138,0.0000,2416.7653,0.0000,2442.7699
11/01/2012 00:00:00, NaN,0.4500,25.9986,85.4016,135.4484,195.9257,6.7635,27.0541,2.0241,0.0000,1066.6667,158.3333,18.0361,60.8718,0.8523,2.4503,0.0138,0.0110,0.0138,0.0138,0.0000,2180.8785,0.0000,2215.1864
12/01/2012 00:00:00, NaN,0.4500,25.9949,66.2780,134.7869,181.4382,5.9408,23.7630,1.6926,0.0000,1066.6667,158.3333,15.8420,53.4669,0.7127,2.0490,0.0138,0.0110,0.0138,0.0138,0.0000,1713.4416,0.0000,1764.6445
13/01/2012 00:00:00, NaN,0.4500,25.9888,43.1749,134.1457,163.9912,4.9522,19.8090,1.3012,0.0000,1066.6667,158.3333,13.2060,44.5702,0.5479,1.5751,0.0138,0.0110,0.0138,0.0138,0.0000,1148.6787,0.0000,1219.4753
14/01/2012 00:00:00, NaN,0.4500,25.9804,31.4807,133.5248,155.1746,4.4500,17.8001,1.1010,0.0000,1066.6667,158.3333,11.8667,40.0502,0.4636,1.3328,0.0138,0.0110,0.0138,0.0138,0.0000,861.1473,0.0000,940.3278
15/01/2012 00:00:00, NaN,0.4500,25.9695,117.2112,132.9246,220.2497,8.1507,32.6027,2.5929,0.0000,1066.6667,158.3333,21.7351,73.3560,1.0918,3.1388,0.0138,0.0110,0.0138,0.0138,0.0000,2952.6871,0.0000,2955.2357
16/01/2012 00:00:00, NaN,0.4500,25.9564,117.5694,132.3451,220.7072,8.1850,32.7401,2.6220,0.0000,1066.6667,158.3333,21.8267,73.6652,1.1040,3.1740,0.0138,0.0110,0.0138,0.0138,0.0000,2961.1832,0.0000,2963.5961
17/01/2012 00:00:00, NaN,0.4500,25.9408,116.9556,131.7866,220.0070,8.1328,32.5312,2.5768,0.0000,1066.6667,158.3333,21.6875,73.1952,1.0850,3.1193,0.0138,0.0110,0.0138,0.0138,0.0000,2947.9241,0.0000,2953.3822
18/01/2012 00:00:00, NaN,0.4500,25.9229,114.1733,131.2492,217.9144,8.0159,32.0634,2.5304,0.0000,1066.6667,158.3333,21.3756,72.1428,1.0654,3.0631,0.0138,0.0110,0.0138,0.0138,0.0000,2883.7759,0.0000,2897.1968
19/01/2012 00:00:00, NaN,0.4500,25.9027,106.5497,130.7331,212.2925,7.7119,30.8475,2.4236,0.0000,1066.6667,158.3333,20.5650,69.4069,1.0205,2.9339,0.0138,0.0110,0.0138,0.0138,0.0000,2705.1551,0.0000,2738.8274
