#Station Long Name,CATTAI CREEK AT MURPHYS BRIDGE
#Station Number,212059
#Station Location Latitude,-33.658933
#Station Location Longitude,150.930414
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,NSW - NSW Department of Industry – Lands and Water
#Rows,3725
#Timestamp,Value,Quality Code,Interpolation Type
2011-02-01T00:00:00.000+10:00,,-1,603
2011-02-02T00:00:00.000+10:00,,-1,603
2011-02-03T00:00:00.000+10:00,,-1,603
2011-02-04T00:00:00.000+10:00,,-1,603
2011-02-05T00:00:00.000+10:00,,-1,603
2011-02-06T00:00:00.000+10:00,,-1,603
2011-02-07T00:00:00.000+10:00,,-1,603
2011-02-08T00:00:00.000+10:00,,-1,603
2011-02-09T00:00:00.000+10:00,,-1,603
2011-02-10T00:00:00.000+10:00,,-1,603
2011-02-11T00:00:00.000+10:00,,-1,603
2011-02-12T00:00:00.000+10:00,,-1,603
2011-02-13T00:00:00.000+10:00,,-1,603
2011-02-14T00:00:00.000+10:00,,-1,603
2011-02-15T00:00:00.000+10:00,,-1,603
2011-02-16T00:00:00.000+10:00,,-1,603
2011-02-17T00:00:00.000+10:00,,-1,603
2011-02-18T00:00:00.000+10:00,,-1,603
2011-02-19T00:00:00.000+10:00,,-1,603
2011-02-20T00:00:00.000+10:00,,-1,603
2011-02-21T00:00:00.000+10:00,,-1,603
2011-02-22T00:00:00.000+10:00,,-1,603
2011-02-23T00:00:00.000+10:00,,-1,603
2011-02-24T00:00:00.000+10:00,,-1,603
2011-02-25T00:00:00.000+10:00,,-1,603
2011-02-26T00:00:00.000+10:00,,-1,603
2011-02-27T00:00:00.000+10:00,,-1,603
2011-02-28T00:00:00.000+10:00,,-1,603
2011-03-01T00:00:00.000+10:00,,-1,603
2011-03-02T00:00:00.000+10:00,,-1,603
2011-03-03T00:00:00.000+10:00,,-1,603
2011-03-04T00:00:00.000+10:00,,-1,603
2011-03-05T00:00:00.000+10:00,,-1,603
2011-03-06T00:00:00.000+10:00,,-1,603
2011-03-07T00:00:00.000+10:00,,-1,603
2011-03-08T00:00:00.000+10:00,,-1,603
2011-03-09T00:00:00.000+10:00,,-1,603
2011-03-10T00:00:00.000+10:00,,-1,603
2011-03-11T00:00:00.000+10:00,,-1,603
2011-03-12T00:00:00.000+10:00,,-1,603
2011-03-13T00:00:00.000+10:00,,-1,603
2011-03-14T00:00:00.000+10:00,,-1,603
2011-03-15T00:00:00.000+10:00,,-1,603
2011-03-16T00:00:00.000+10:00,,-1,603
2011-03-17T00:00:00.000+10:00,,-1,603
2011-03-18T00:00:00.000+10:00,,-1,603
2011-03-19T00:00:00.000+10:00,,-1,603
2011-03-20T00:00:00.000+10:00,,-1,603
2011-03-21T00:00:00.000+10:00,,-1,603
2011-03-22T00:00:00.000+10:00,,-1,603
2011-03-23T00:00:00.000+10:00,,-1,603
2011-03-24T00:00:00.000+10:00,,-1,603
2011-03-25T00:00:00.000+10:00,,-1,603
2011-03-26T00:00:00.000+10:00,,-1,603
2011-03-27T00:00:00.000+10:00,,-1,603
2011-03-28T00:00:00.000+10:00,,-1,603
2011-03-29T00:00:00.000+10:00,,-1,603
2011-03-30T00:00:00.000+10:00,,-1,603
2011-03-31T00:00:00.000+10:00,,-1,603
2011-04-01T00:00:00.000+10:00,,-1,603
2011-04-02T00:00:00.000+10:00,,-1,603
2011-04-03T00:00:00.000+10:00,,-1,603
2011-04-04T00:00:00.000+10:00,,-1,603
2011-04-05T00:00:00.000+10:00,,-1,603
2011-04-06T00:00:00.000+10:00,,-1,603
2011-04-07T00:00:00.000+10:00,,-1,603
