Name,Latitude,Longitude
CATTAI CREEK at CATTAI RIDGE ROAD,-33.5808,150.9427
CATTAI CREEK AT MARAYLYA,-33.59861589,150.9312505
CATTAI CREEK AT MURPHYS BRIDGE,-33.658933,150.930414
