Var,1,2,3,4,5,
WQ_NCS_SS1,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OXY_OXY,251.1574,268.1743,295.0000,251.3889,285.8333,
WQ_SIL_RSI,Unknown,167.2598,Unknown,Unknown,Unknown,
WQ_NIT_AMM,2.5249,2.2086,11.8571,3.5591,4.6429,
WQ_NIT_NIT,150.9250,179.0038,371.0714,105.1497,172.0000,
WQ_PHS_FRP,0.7071,1.4839,0.5129,0.4237,0.8462,
WQ_PHS_FRP_ADS,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_DOC,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_POC,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_DON,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_PON,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_DOP,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_OGM_POP,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_GRN,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_BGA,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_FDIAT,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_PHY_MDIAT,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_TRC_AGE,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_DIAG_TOT_TN,193.1178,221.4850,414.0000,182.7221,200.5000,
WQ_DIAG_TOT_TP,1.8660,1.7716,1.1419,1.6001,1.5731,
WQ_DIAG_PHY_TCHLA,4.5328,3.4816,1.8700,12.9233,2.0400,
ECLOI,Unknown,Unknown,Unknown,Unknown,Unknown,
ENT,938.9730,Unknown,490.5000,560.3333,1024.0000,
FC,585.2297,Unknown,573.0000,270.7333,637.6000,
